Dataset,MajorityClass,Grassland,Cropland,Bareland,Built-up,Forest,Water,Wetland,Shrubland,Non_Wetland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24LZR_M_R,Shrubland,0,0,0,0,0,0,0,0,47,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24LZR_M_R,Cropland,0,0,0,0,0,6,145,0,224,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24LZR_M_R,Bareland,0,0,0,0,0,1,25,0,8,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24LZR_M_R,Built-up,0,0,0,0,0,3,105,0,81,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24LZR_M_R,Forest,0,0,0,0,0,61,522,0,618,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24LZR_M_R,Water,0,0,0,0,0,0,842,0,427,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24LZR_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,0,4,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_24LZR_M_R,Grassland,0,0,0,0,0,234,0,0,0,191,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_24LZR_M_R,Bareland,0,0,0,0,0,42,0,0,0,17,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_24LZR_M_R,Shrubland,0,0,0,0,0,17,0,0,0,14,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_24LZR_M_R,Cropland,0,0,0,0,0,146,0,0,0,131,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_24LZR_M_R,Water,0,0,0,0,0,0,0,0,0,903,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_24LZR_M_R,Wetland,0,0,0,0,0,171,0,0,0,277,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_24LZR_M_R,Built-up,0,0,0,0,0,98,0,0,0,81,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_24LZR_M_R,Forest,0,0,0,0,0,285,0,0,0,256,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_24LZR_M_R,Permanent_ice_and_snow,0,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24LZR_M_R,Grassland,0,734,235,210,666,29,247,618,0,0,23,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24LZR_M_R,Wetland,40,98,23,13,125,7,0,77,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24LZR_M_R,Bareland,33,326,0,156,167,1,25,137,0,0,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24LZR_M_R,Built-up,143,472,75,0,257,3,105,336,0,0,7,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24LZR_M_R,Forest,535,644,211,168,0,61,522,631,0,0,6,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24LZR_M_R,Cropland,259,0,119,193,478,6,145,421,0,0,12,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24LZR_M_R,Water,233,786,248,148,627,0,842,512,0,0,4,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24LZR_M_R,Shrubland,17,45,1,10,42,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24LZR_M_R,Permanent_ice_and_snow,8,29,5,3,18,0,0,23,0,0,0,0
