Dataset,MajorityClass,Grassland,Cropland,Forest,Built-up,Water,Bareland,Wetland,Shrubland,Non_Wetland,Non_Water,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KDG_M_R,Bareland,128,9,1,9,23,0,0,18,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KDG_M_R,Built-up,180,8,20,0,8,175,25,109,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KDG_M_R,Cropland,587,0,124,80,54,423,103,347,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KDG_M_R,Grassland,0,0,0,0,38,0,27,0,295,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KDG_M_R,Wetland,0,0,0,0,21,0,0,0,262,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KDG_M_R,Water,0,0,0,0,0,0,286,0,364,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KDG_M_R,Shrubland,0,0,0,0,0,0,0,0,154,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KDG_M_R,Forest,0,0,0,0,146,0,129,0,905,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KDG_M_R,Cropland,0,0,0,0,10,0,9,0,290,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KDG_M_R,Bareland,0,0,0,0,14,0,3,0,10,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KDG_M_R,Built-up,0,0,0,0,3,0,0,0,29,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KDG_M_R,Grassland,0,0,0,0,147,0,0,0,0,40,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KDG_M_R,Wetland,0,0,0,0,124,0,0,0,0,60,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KDG_M_R,Shrubland,0,0,0,0,61,0,0,0,0,25,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KDG_M_R,Bareland,0,0,0,0,43,0,0,0,0,31,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KDG_M_R,Cropland,0,0,0,0,78,0,0,0,0,19,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KDG_M_R,Water,0,0,0,0,0,0,0,0,0,497,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KDG_M_R,Built-up,0,0,0,0,12,0,0,0,0,3,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KDG_M_R,Forest,0,0,0,0,381,0,0,0,0,262,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KDG_M_R,Grassland,0,612,213,143,38,33,27,478,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KDG_M_R,Wetland,0,72,59,3,21,10,0,61,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KDG_M_R,Water,12,754,313,150,0,150,286,517,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KDG_M_R,Forest,9,1071,0,302,146,105,129,891,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KDG_M_R,Bareland,0,299,22,175,14,0,3,154,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KDG_M_R,Built-up,0,217,20,0,3,1,0,118,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KDG_M_R,Cropland,0,0,210,193,10,7,9,421,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KDG_M_R,Shrubland,0,50,23,19,0,8,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KDG_M_R,Grassland,0,499,211,100,91,14,107,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KDG_M_R,Forest,0,641,0,281,525,0,115,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KDG_M_R,Shrubland,0,156,81,59,46,0,35,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KDG_M_R,Wetland,0,64,22,2,10,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KDG_M_R,Bareland,0,173,22,86,77,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KDG_M_R,Built-up,0,66,4,0,3,1,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KDG_M_R,Water,0,287,97,32,0,4,239,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KDG_M_R,Cropland,0,0,178,127,12,4,5,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22KDG_M_R,Forest,130,161,0,0,94,66,4,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22KDG_M_R,Shrubland,89,63,220,0,51,35,8,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22KDG_M_R,Cropland,149,0,273,0,56,141,1,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_22KDG_M_R,Water,99,28,693,0,0,62,53,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22KDG_M_R,Wetland,40,6,108,0,27,5,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22KDG_M_R,Bareland,4,26,86,0,26,0,0,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_22KDG_M_R,Built-up,24,72,135,0,11,61,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22KDG_M_R,Grassland,0,81,169,0,62,77,3,0,0,0,0
