Dataset,MajorityClass,Grassland,Cropland,Forest,Bareland,Water,Wetland,Built-up,Shrubland,Non_Wetland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23KMB_M_R,Wetland,168,64,176,72,224,0,0,519,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23KMB_M_R,Bareland,169,48,26,0,15,23,4,36,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23KMB_M_R,Water,308,53,241,360,0,267,15,670,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23KMB_M_R,Forest,637,254,0,465,488,547,20,1127,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23KMB_M_R,Non_Water,2,0,0,2,5,0,0,3,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23KMB_M_R,Shrubland,108,18,44,88,39,72,6,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23KMB_M_R,Cropland,560,0,215,292,74,155,24,359,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23KMB_M_R,Built-up,143,1,8,93,5,11,0,75,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23KMB_M_R,Permanent_ice_and_snow,6,0,0,11,1,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23KMB_M_R,Shrubland,0,0,0,0,0,0,0,0,297,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23KMB_M_R,Wetland,0,0,0,0,34,0,0,0,666,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23KMB_M_R,Grassland,0,0,0,0,75,107,0,0,296,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23KMB_M_R,Bareland,0,0,0,0,18,87,0,0,62,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23KMB_M_R,Water,0,0,0,0,0,582,0,0,290,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23KMB_M_R,Forest,0,0,0,0,220,569,0,0,1255,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23KMB_M_R,Cropland,0,0,0,0,17,24,0,0,342,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23KMB_M_R,Built-up,0,0,0,0,7,15,0,0,30,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23KMB_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,0,14,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23KMB_M_R,Shrubland,0,0,0,0,59,0,0,0,0,64,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23KMB_M_R,Grassland,0,0,0,0,112,0,0,0,0,134,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23KMB_M_R,Water,0,0,0,0,0,0,0,0,0,1217,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23KMB_M_R,Bareland,0,0,0,0,83,0,0,0,0,87,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23KMB_M_R,Cropland,0,0,0,0,81,0,0,0,0,99,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23KMB_M_R,Wetland,0,0,0,0,271,0,0,0,0,414,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23KMB_M_R,Forest,0,0,0,0,353,0,0,0,0,624,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23KMB_M_R,Built-up,0,0,0,0,10,0,0,0,0,15,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23KMB_M_R,Grassland,0,578,249,8,75,107,82,476,0,0,9,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23KMB_M_R,Wetland,2,156,163,2,34,0,5,175,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23KMB_M_R,Bareland,1,316,41,0,18,87,114,217,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23KMB_M_R,Built-up,1,151,18,0,7,15,0,67,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23KMB_M_R,Forest,64,1198,0,38,220,569,153,989,0,0,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23KMB_M_R,Water,15,689,289,70,0,582,70,494,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23KMB_M_R,Cropland,8,0,200,1,17,24,66,346,0,0,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23KMB_M_R,Shrubland,4,70,36,5,0,0,13,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23KMB_M_R,Permanent_ice_and_snow,0,29,0,0,0,0,0,17,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23KMB_M_R,Grassland,0,440,169,9,52,23,90,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23KMB_M_R,Forest,0,552,0,2,456,286,208,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23KMB_M_R,Shrubland,0,157,126,0,57,36,56,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23KMB_M_R,Wetland,0,79,95,11,79,0,46,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23KMB_M_R,Bareland,0,139,65,0,64,0,64,0,0,0,0,4
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23KMB_M_R,Water,0,109,170,62,0,120,39,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23KMB_M_R,Built-up,0,19,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23KMB_M_R,Cropland,0,0,105,4,24,16,63,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23KMB_M_R,Permanent_ice_and_snow,0,1,15,0,3,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_23KMB_M_R,Forest,201,190,0,136,94,108,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_23KMB_M_R,Shrubland,99,83,281,53,61,64,0,0,0,0,0,17
AMAZON_EXTENSION_2024_DynamicWorld_2024_23KMB_M_R,Wetland,225,61,471,57,99,0,0,0,0,0,0,5
AMAZON_EXTENSION_2024_DynamicWorld_2024_23KMB_M_R,Cropland,160,0,282,118,21,61,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_23KMB_M_R,Water,188,89,935,231,0,166,0,0,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_23KMB_M_R,Built-up,1,24,74,26,10,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_23KMB_M_R,Grassland,0,109,205,126,53,44,0,0,0,0,0,35
AMAZON_EXTENSION_2024_DynamicWorld_2024_23KMB_M_R,Bareland,0,35,58,0,11,2,0,0,0,0,0,19
