Dataset,MajorityClass,Grassland,Forest,Wetland,Cropland,Bareland,Built-up,Water,Shrubland,Non_Wetland,Lichens_and_Mosses,Non_Water,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KUS_M_R,Wetland,29,125,0,88,19,6,26,53,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KUS_M_R,Shrubland,8,10,0,5,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KUS_M_R,Forest,101,0,177,243,52,70,61,130,0,9,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KUS_M_R,Bareland,3,47,16,80,0,44,12,21,0,1,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KUS_M_R,Built-up,18,50,1,114,2,0,13,31,0,1,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KUS_M_R,Water,14,241,237,190,74,55,0,52,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KUS_M_R,Cropland,21,79,4,0,18,21,14,50,0,6,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KUS_M_R,Permanent_ice_and_snow,0,7,0,18,1,4,0,3,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KUS_M_R,Shrubland,0,0,0,0,0,0,5,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KUS_M_R,Grassland,0,0,0,0,0,0,46,0,0,0,28,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KUS_M_R,Cropland,0,0,0,0,0,0,47,0,0,0,19,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KUS_M_R,Wetland,0,0,0,0,0,0,256,0,0,0,233,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KUS_M_R,Water,0,0,0,0,0,0,0,0,0,0,366,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KUS_M_R,Forest,0,0,0,0,0,0,137,0,0,0,96,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KUS_M_R,Built-up,0,0,0,0,0,0,7,0,0,0,5,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KUS_M_R,Bareland,0,0,0,0,0,0,45,0,0,0,11,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KUS_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,2,0,0,0,1,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KUS_M_R,Grassland,0,99,17,123,0,116,18,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KUS_M_R,Shrubland,0,9,3,9,0,7,2,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KUS_M_R,Wetland,0,210,0,50,1,73,170,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KUS_M_R,Bareland,0,16,0,57,0,28,29,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KUS_M_R,Built-up,0,4,0,8,1,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KUS_M_R,Water,0,132,62,161,15,122,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KUS_M_R,Forest,0,0,82,124,4,165,146,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KUS_M_R,Cropland,0,30,0,0,0,42,7,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KUS_M_R,Permanent_ice_and_snow,0,6,0,5,1,1,7,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21KUS_M_R,Shrubland,9,40,0,13,3,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21KUS_M_R,Wetland,168,421,0,65,28,0,140,0,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_21KUS_M_R,Forest,35,0,22,34,18,0,38,0,0,0,0,2
AMAZON_EXTENSION_2024_DynamicWorld_2024_21KUS_M_R,Cropland,24,33,13,0,25,0,14,0,0,0,0,4
AMAZON_EXTENSION_2024_DynamicWorld_2024_21KUS_M_R,Built-up,5,69,0,45,34,0,20,0,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_21KUS_M_R,Water,63,255,74,39,54,0,0,0,0,0,0,10
AMAZON_EXTENSION_2024_DynamicWorld_2024_21KUS_M_R,Grassland,0,129,8,72,20,0,14,0,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_21KUS_M_R,Bareland,0,4,4,2,0,0,6,0,0,0,0,1
