Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20LMM_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20LMM_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20LMM_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20LMM_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LMM_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LMM_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LMM_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20LMM_M_R
28,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
29,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
30,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
31,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
32,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
33,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
34,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
35,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Wetland
36,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
37,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
38,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Built-up
39,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
40,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
41,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Wetland
42,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
43,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
44,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
45,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
46,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Wetland
47,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
48,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
49,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Wetland
50,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Forest
51,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,NULL
52,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
53,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Wetland
54,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
55,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
56,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
57,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
58,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
59,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Grassland
60,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Forest
61,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,NULL
62,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
63,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Wetland
64,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
65,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
66,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
67,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
68,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
69,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Wetland
70,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
71,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
72,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
73,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
74,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Wetland
75,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Forest
76,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
77,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
78,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
79,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
80,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Built-up
81,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Grassland
82,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
83,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
84,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
85,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
86,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
87,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
88,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
89,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Grassland
90,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Wetland
91,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
92,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
93,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
94,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
95,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
96,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Wetland
97,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
98,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
99,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Wetland
100,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
101,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Wetland
102,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
103,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
104,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
105,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
106,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,NULL
107,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
108,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Wetland
109,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
110,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
111,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Wetland
112,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Forest
113,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,NULL
114,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
115,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Forest
116,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
117,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
118,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
119,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Wetland
120,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
121,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Wetland
122,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
123,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
124,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
125,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
126,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Wetland
127,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
128,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
129,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
130,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
131,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Wetland
132,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
133,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,NULL
134,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
135,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Built-up
136,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
137,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
138,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
139,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
140,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
141,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Wetland
142,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
143,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,Grassland
144,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
145,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Forest
146,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
147,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Wetland
148,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Forest
149,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
150,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Wetland
151,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Forest
152,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,NULL
153,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
154,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Wetland
155,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Built-up
156,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
157,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
158,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
159,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
160,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
161,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,NULL
162,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Grassland
163,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Forest
164,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
165,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Wetland
166,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
167,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
168,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Cropland
169,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
170,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Wetland
171,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,NULL
172,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
173,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Wetland
174,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Bareland
175,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Built-up
176,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
177,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
178,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Wetland
179,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Built-up
180,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Forest
181,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
182,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Wetland
183,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Bareland
184,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Built-up
185,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
186,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Grassland
187,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Grassland
188,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
189,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Wetland
190,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
191,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Grassland
192,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Grassland
193,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
194,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Grassland
195,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,NULL
196,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Grassland
197,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Wetland
198,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Grassland
199,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
200,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,NULL
201,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
202,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Wetland
203,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
204,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,NULL,Forest
205,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
206,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Water
207,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
208,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
209,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
210,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Water,Grassland
211,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
212,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Wetland
213,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Grassland,Grassland
214,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Grassland,Wetland
215,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Grassland
216,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Wetland
217,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Water,Water
218,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Wetland,Grassland
219,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Wetland,Wetland
220,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Wetland,Wetland
221,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Wetland,Water
222,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
223,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
224,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
225,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
226,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Shrubland,Forest
227,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Grassland
228,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Forest
229,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland,Grassland
230,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland,Wetland
231,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland,Forest
232,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,NULL,Grassland
233,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,NULL,Wetland
234,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,NULL,Forest
235,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
236,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
237,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
238,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
239,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Grassland,NULL
240,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
241,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Grassland,Wetland
242,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Grassland,Built-up
243,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Grassland,Forest
244,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
245,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Wetland,Wetland
246,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Wetland,Forest
247,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Bareland,NULL
248,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
249,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Bareland,Forest
250,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Forest,Grassland
251,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Forest,Forest
252,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
253,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Wetland
254,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Built-up
255,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Forest
256,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
257,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Wetland
258,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Forest
259,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,NULL
260,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
261,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Cropland
262,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Wetland
263,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Bareland
264,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Built-up
265,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
266,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,NULL
267,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
268,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Wetland
269,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
270,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,NULL
271,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
272,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Built-up
273,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Forest
274,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Built-up,Grassland
275,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Water,Grassland
276,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,NULL
277,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
278,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Wetland
279,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Built-up
280,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
281,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,NULL,Grassland
282,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Shrubland,Grassland
283,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Grassland,Grassland
284,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Grassland,Cropland
285,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Grassland,Wetland
286,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Grassland,Bareland
287,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Grassland,Built-up
288,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Grassland,Forest
289,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Wetland,Grassland
290,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Wetland,Wetland
291,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,NULL,Grassland
292,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,NULL,Wetland
293,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,NULL,Forest
294,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Shrubland,NULL
295,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
296,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Shrubland,Wetland
297,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Shrubland,Forest
298,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,NULL
299,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
300,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Cropland
301,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Wetland
302,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Bareland
303,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Built-up
304,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Forest
305,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,NULL
306,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
307,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Wetland
308,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Forest
309,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Bareland,Grassland
310,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Bareland,Forest
311,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Built-up,Grassland
312,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,NULL
313,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Grassland
314,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Wetland
315,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Forest
316,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,NULL,Grassland
317,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
318,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Shrubland,Wetland
319,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Shrubland,Bareland
320,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Shrubland,Built-up
