Dataset,MajorityClass,Grassland,Bareland,Forest,Cropland,Wetland,Built-up,Water,Shrubland,Non_Wetland,Non_Water,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LHL_M_R,Water,95,756,206,0,282,21,0,579,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LHL_M_R,Non_Water,1,3,0,0,0,0,0,2,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LHL_M_R,Shrubland,71,111,19,10,28,21,13,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LHL_M_R,Built-up,105,72,10,1,0,0,1,78,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LHL_M_R,Cropland,199,127,17,0,1,24,5,125,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LHL_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,1,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LHL_M_R,Shrubland,0,0,0,0,0,0,0,0,138,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LHL_M_R,Wetland,0,0,0,0,0,0,13,0,169,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LHL_M_R,Grassland,0,0,0,0,3,0,13,0,85,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LHL_M_R,Bareland,0,0,0,0,39,0,20,0,8,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LHL_M_R,Forest,0,0,0,0,167,0,155,0,571,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LHL_M_R,Water,0,0,0,0,279,0,0,0,274,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LHL_M_R,Cropland,0,0,0,0,0,0,0,0,20,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LHL_M_R,Built-up,0,0,0,0,3,0,8,0,1,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LHL_M_R,Bareland,0,0,0,0,0,0,102,0,0,89,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LHL_M_R,Water,0,0,0,0,0,0,0,0,0,456,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LHL_M_R,Grassland,0,0,0,0,0,0,39,0,0,9,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LHL_M_R,Shrubland,0,0,0,0,0,0,79,0,0,37,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LHL_M_R,Wetland,0,0,0,0,0,0,51,0,0,49,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LHL_M_R,Cropland,0,0,0,0,0,0,12,0,0,12,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LHL_M_R,Forest,0,0,0,0,0,0,333,0,0,235,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LHL_M_R,Built-up,0,0,0,0,0,0,8,0,0,4,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LHL_M_R,Grassland,0,11,177,228,3,28,13,241,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LHL_M_R,Bareland,1,0,76,202,39,58,20,211,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LHL_M_R,Water,1,79,349,240,279,32,0,486,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LHL_M_R,Forest,149,59,0,438,167,91,155,572,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LHL_M_R,Built-up,11,6,36,115,3,0,8,104,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LHL_M_R,Wetland,0,3,53,19,0,0,13,42,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LHL_M_R,Shrubland,10,3,36,40,0,10,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LHL_M_R,Cropland,8,1,109,0,0,4,0,121,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LHL_M_R,Permanent_ice_and_snow,0,0,0,1,0,0,0,1,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LHL_M_R,Grassland,0,0,92,151,11,68,20,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LHL_M_R,Shrubland,0,0,55,76,12,73,76,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LHL_M_R,Forest,0,0,0,166,76,196,469,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LHL_M_R,Bareland,0,0,26,31,0,46,129,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LHL_M_R,Water,0,29,80,14,46,46,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LHL_M_R,Wetland,0,1,15,10,0,11,52,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LHL_M_R,Built-up,0,3,0,0,0,0,5,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LHL_M_R,Cropland,0,0,14,0,0,12,3,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22LHL_M_R,Forest,76,26,0,78,2,0,83,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22LHL_M_R,Shrubland,58,30,182,60,16,0,69,0,0,0,2
AMAZON_EXTENSION_2024_DynamicWorld_2024_22LHL_M_R,Wetland,26,4,71,2,0,0,29,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22LHL_M_R,Bareland,5,0,52,30,0,0,29,0,0,0,8
AMAZON_EXTENSION_2024_DynamicWorld_2024_22LHL_M_R,Built-up,3,19,67,27,0,0,12,0,0,0,2
AMAZON_EXTENSION_2024_DynamicWorld_2024_22LHL_M_R,Water,10,103,503,8,44,0,0,0,0,0,6
AMAZON_EXTENSION_2024_DynamicWorld_2024_22LHL_M_R,Cropland,11,20,34,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22LHL_M_R,Grassland,0,51,106,61,10,0,31,0,0,0,3
