Dataset,MajorityClass,Grassland,Wetland,Bareland,Built-up,Water,Forest,Non_Wetland,Non_Water,Shrubland,Cropland,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NRM_M_R,Built-up,8,0,4,0,0,13,0,0,18,13,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NRM_M_R,Forest,46,31,28,20,21,0,0,0,94,77,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NRM_M_R,Grassland,0,5,4,0,4,19,0,0,22,13,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NRM_M_R,Permanent_ice_and_snow,7,0,4,2,0,14,0,0,28,12,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NRM_M_R,Water,0,143,89,104,0,91,0,0,0,20,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NRM_M_R,Wetland,0,0,24,58,60,25,0,0,0,10,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NRM_M_R,Grassland,0,32,6,21,14,25,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NRM_M_R,Bareland,0,53,0,41,22,33,0,0,0,2,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NRM_M_R,Forest,0,77,25,60,57,0,0,0,0,10,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NRM_M_R,Built-up,0,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NRM_M_R,Cropland,0,17,3,10,13,7,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NRM_M_R,Permanent_ice_and_snow,0,5,4,14,5,7,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20NRM_M_R,Water,12,74,79,0,0,91,0,0,0,32,43
AMAZON_EXTENSION_2024_DynamicWorld_2024_20NRM_M_R,Wetland,6,0,22,0,38,49,0,0,0,11,10
AMAZON_EXTENSION_2024_DynamicWorld_2024_20NRM_M_R,Forest,12,23,31,0,32,0,0,0,0,25,25
AMAZON_EXTENSION_2024_DynamicWorld_2024_20NRM_M_R,Grassland,0,6,11,0,9,9,0,0,0,3,5
AMAZON_EXTENSION_2024_DynamicWorld_2024_20NRM_M_R,Bareland,0,8,0,0,15,6,0,0,0,1,7
AMAZON_EXTENSION_2024_DynamicWorld_2024_20NRM_M_R,Built-up,0,0,2,0,12,4,0,0,0,2,2
AMAZON_EXTENSION_2024_DynamicWorld_2024_20NRM_M_R,Cropland,0,0,1,0,3,2,0,0,0,0,0
