Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_24KUF_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24KUF_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24KUF_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_24KUF_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24KUF_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24KUF_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24KUF_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_24KUF_M_R
25,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
26,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
27,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
28,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
29,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Built-up
30,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
31,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
32,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
33,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
34,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
35,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
36,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
37,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
38,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
39,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
40,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Cropland
41,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
42,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
43,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
44,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
45,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
46,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Forest
47,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
48,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
49,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
50,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
51,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Wetland
52,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
53,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
54,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
55,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
56,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Forest
57,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
58,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
59,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
60,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
61,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
62,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
63,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
64,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
65,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
66,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
67,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
68,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
69,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
70,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Forest
71,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
72,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Built-up
73,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Forest
74,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Wetland,Cropland
75,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
76,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Built-up
77,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Forest
78,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Forest
79,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,NULL
80,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
81,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
82,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Grassland
83,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
84,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
85,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Cropland
86,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
87,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,NULL
88,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Grassland
89,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
90,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Forest
91,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
92,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Cropland
93,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
94,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
95,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Wetland
96,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
97,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Grassland
98,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Water
99,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Forest
100,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Grassland
101,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Forest
102,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Grassland
103,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Forest
104,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Forest,Grassland
105,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
106,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,NULL
107,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
108,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Forest
109,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
110,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Grassland
111,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Forest,Grassland
112,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
113,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Grassland
114,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
115,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Grassland
116,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Water
117,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Wetland,Water
118,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Bareland
119,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,NULL,Forest
120,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Grassland,Grassland
121,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Grassland,Forest
122,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Wetland,Grassland
123,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Forest,Grassland
124,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Grassland
125,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Forest
126,NULL,NULL,NULL,Water,Non_Wetland,NULL,Wetland,Grassland
127,NULL,NULL,NULL,Water,Non_Wetland,Grassland,NULL,Grassland
128,NULL,NULL,NULL,Water,Non_Wetland,Grassland,NULL,Forest
129,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
130,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Built-up,Forest
131,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Water,Grassland
132,NULL,NULL,NULL,Water,Non_Wetland,Water,NULL,Water
133,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
134,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
135,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
136,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
137,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
138,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
139,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
140,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
141,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
142,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Cropland
143,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Bareland
144,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Built-up
145,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Water
146,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
147,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,NULL
148,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
149,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Wetland
150,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
151,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
152,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Bareland
153,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Built-up
154,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Forest
155,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Grassland
156,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Built-up
157,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Grassland
158,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Forest
159,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,NULL
160,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
161,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
162,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
163,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
164,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
165,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
166,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
167,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
168,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
169,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
170,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Built-up
171,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
172,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,NULL
173,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
174,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
175,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
176,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
177,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
178,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
179,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
180,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
181,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
182,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
183,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
184,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
185,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Forest
186,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
187,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Forest
188,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
189,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
190,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
191,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Wetland
192,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Forest
193,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
194,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
195,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
196,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
197,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
198,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
199,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
200,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Bareland
201,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Forest
202,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
203,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Forest
204,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
205,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Bareland
206,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Built-up
207,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Water
208,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
209,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
210,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
211,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Bareland
212,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
213,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Grassland
214,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Forest
215,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Grassland
216,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Bareland
217,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
218,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
219,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,NULL,Grassland
220,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,NULL,Built-up
221,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,NULL,Forest
222,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Grassland
223,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Built-up
224,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Forest
225,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
226,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Cropland
227,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Built-up
228,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Forest
229,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,NULL,Water
230,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,NULL,Forest
231,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Grassland
232,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Forest
233,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Water,Forest
234,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,NULL
235,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Grassland
236,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Wetland
237,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Forest
238,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Shrubland,Grassland
239,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Shrubland,Forest
240,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Grassland
241,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Cropland
242,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
243,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Wetland,NULL
244,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Wetland,Grassland
245,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Wetland,Forest
246,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Water,Grassland
247,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Grassland
248,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
249,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
250,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Wetland
251,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
252,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Grassland,Grassland
253,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Grassland,Forest
254,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Wetland,NULL
255,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Wetland,Grassland
256,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Wetland,Wetland
257,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Wetland,Forest
258,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Bareland,Grassland
259,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Water,Grassland
260,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Water,Forest
261,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Forest,Grassland
262,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Forest,Forest
263,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,NULL,Grassland
264,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,NULL,Forest
265,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
266,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Forest
267,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
268,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Water,Grassland
269,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Water,Forest
270,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Forest,Grassland
271,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,NULL,Grassland
272,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,NULL,Forest
273,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
274,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Water
275,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,NULL,Grassland
276,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
277,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
278,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
279,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Water,Grassland
280,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Water,Water
281,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest,NULL,Grassland
282,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest,NULL,Wetland
283,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest,NULL,Forest
284,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest,Grassland,Grassland
285,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest,Wetland,Grassland
286,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest,Wetland,Forest
287,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Water
288,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,Grassland,Grassland
289,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,Water,Grassland
290,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,Water,Water
291,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,Water,Forest
292,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,NULL,Grassland
293,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Grassland
294,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Grassland
295,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Water,Grassland
296,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Grassland,Grassland
297,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Water,Grassland
298,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Water,Water
299,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
300,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
301,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
302,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Shrubland,Grassland
303,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Shrubland,Forest
304,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Grassland
305,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Forest
306,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland,Grassland
307,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Bareland,Bareland
308,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Forest,Grassland
309,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Forest,Forest
310,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
311,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Forest
312,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
313,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Forest
314,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
315,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Cropland
316,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Bareland
317,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Built-up
318,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
319,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
320,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
321,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
322,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
323,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
324,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,NULL,Grassland
