Dataset,MajorityClass,Forest,Wetland,Bareland,Built-up,Water,Grassland,Shrubland,Cropland,Non_Wetland,Non_Water,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NQG_M_R,Wetland,245,0,0,17,98,188,298,1,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NQG_M_R,Bareland,52,28,0,28,10,60,216,3,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NQG_M_R,Built-up,35,7,3,0,5,28,110,10,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NQG_M_R,Water,351,344,0,8,0,186,419,17,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NQG_M_R,Cropland,32,0,0,9,0,4,50,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NQG_M_R,Permanent_ice_and_snow,1,0,0,0,0,0,9,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NQG_M_R,Shrubland,0,0,0,0,0,0,0,0,62,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NQG_M_R,Grassland,0,60,0,0,23,0,0,0,675,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NQG_M_R,Wetland,0,0,0,0,98,0,0,0,750,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NQG_M_R,Forest,0,193,0,0,68,0,0,0,960,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NQG_M_R,Bareland,0,28,0,0,10,0,0,0,131,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NQG_M_R,Water,0,344,0,0,0,0,0,0,591,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NQG_M_R,Cropland,0,0,0,0,0,0,0,0,54,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NQG_M_R,Built-up,0,7,0,0,5,0,0,0,88,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NQG_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,0,6,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NQG_M_R,Grassland,0,0,0,0,238,0,0,0,0,17,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NQG_M_R,Shrubland,0,0,0,0,9,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NQG_M_R,Wetland,0,0,0,0,563,0,0,0,0,161,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NQG_M_R,Forest,0,0,0,0,259,0,0,0,0,58,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NQG_M_R,Bareland,0,0,0,0,74,0,0,0,0,7,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NQG_M_R,Built-up,0,0,0,0,21,0,0,0,0,2,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NQG_M_R,Water,0,0,0,0,0,0,0,0,0,229,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NQG_M_R,Cropland,0,0,0,0,4,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NQG_M_R,Permanent_ice_and_snow,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NQG_M_R,Grassland,145,96,24,157,85,0,0,215,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NQG_M_R,Shrubland,3,0,0,4,1,0,0,5,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NQG_M_R,Forest,0,123,16,154,174,0,0,125,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NQG_M_R,Wetland,189,0,44,42,116,0,0,73,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NQG_M_R,Bareland,31,4,0,38,26,0,0,25,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NQG_M_R,Built-up,0,0,2,0,0,0,0,7,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NQG_M_R,Water,191,305,114,28,0,0,0,40,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NQG_M_R,Cropland,0,0,0,1,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NQG_M_R,Permanent_ice_and_snow,0,0,0,3,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20NQG_M_R,Forest,0,58,67,0,95,71,0,70,0,0,11
AMAZON_EXTENSION_2024_DynamicWorld_2024_20NQG_M_R,Shrubland,14,1,3,0,2,3,0,4,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20NQG_M_R,Wetland,370,0,172,0,254,172,0,62,0,0,39
AMAZON_EXTENSION_2024_DynamicWorld_2024_20NQG_M_R,Bareland,8,0,0,0,2,2,0,2,0,0,4
AMAZON_EXTENSION_2024_DynamicWorld_2024_20NQG_M_R,Built-up,45,2,20,0,7,18,0,16,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20NQG_M_R,Water,326,129,270,0,0,112,0,12,0,0,2
AMAZON_EXTENSION_2024_DynamicWorld_2024_20NQG_M_R,Grassland,202,68,136,0,90,0,0,98,0,0,37
AMAZON_EXTENSION_2024_DynamicWorld_2024_20NQG_M_R,Cropland,1,0,1,0,0,0,0,0,0,0,0
