Dataset,MajorityClass,Grassland,Bareland,Forest,Built-up,Water,Wetland,Cropland,Shrubland,Non_Wetland,Non_Water,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LGL_M_R,Cropland,0,0,0,0,47,0,0,0,0,1,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LGL_M_R,Bareland,0,0,0,0,81,0,0,0,0,25,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LGL_M_R,Built-up,0,0,0,0,15,0,0,0,0,3,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LGL_M_R,Grassland,0,48,415,87,66,45,440,558,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LGL_M_R,Wetland,0,11,316,4,98,0,52,222,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LGL_M_R,Bareland,1,0,112,137,65,26,193,286,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LGL_M_R,Water,9,149,721,50,0,347,377,742,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LGL_M_R,Forest,167,103,0,156,248,203,560,867,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LGL_M_R,Built-up,21,10,60,0,25,6,154,199,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LGL_M_R,Cropland,15,1,259,65,33,1,0,357,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LGL_M_R,Shrubland,10,10,53,14,0,0,45,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LGL_M_R,Permanent_ice_and_snow,0,0,0,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LGL_M_R,Grassland,0,3,205,144,89,9,549,0,0,0,2
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LGL_M_R,Wetland,0,0,84,11,177,0,133,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LGL_M_R,Forest,0,0,0,321,578,126,534,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LGL_M_R,Shrubland,0,0,99,100,83,10,202,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LGL_M_R,Bareland,0,0,30,141,54,0,156,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LGL_M_R,Water,0,26,175,97,0,128,191,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LGL_M_R,Built-up,0,6,3,0,6,0,19,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LGL_M_R,Cropland,0,3,68,75,7,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22LGL_M_R,Wetland,124,6,307,0,138,0,7,0,0,0,3
AMAZON_EXTENSION_2024_DynamicWorld_2024_22LGL_M_R,Forest,144,90,0,0,151,46,154,0,0,0,2
AMAZON_EXTENSION_2024_DynamicWorld_2024_22LGL_M_R,Shrubland,116,56,281,0,107,41,79,0,0,0,2
AMAZON_EXTENSION_2024_DynamicWorld_2024_22LGL_M_R,Water,140,39,828,0,0,205,15,0,0,0,19
AMAZON_EXTENSION_2024_DynamicWorld_2024_22LGL_M_R,Cropland,79,132,122,0,12,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22LGL_M_R,Bareland,8,0,48,0,86,0,37,0,0,0,70
AMAZON_EXTENSION_2024_DynamicWorld_2024_22LGL_M_R,Built-up,11,58,111,0,21,0,84,0,0,0,7
AMAZON_EXTENSION_2024_DynamicWorld_2024_22LGL_M_R,Grassland,0,115,230,0,81,34,126,0,0,0,3
