Dataset,MajorityClass,Forest,Bareland,Built-up,Water,Grassland,Cropland,Wetland,Shrubland,Non_Wetland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MNT_M_R,Forest,0,22,0,261,586,0,570,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MNT_M_R,Grassland,1,8,0,41,0,0,116,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MNT_M_R,Non_Water,0,0,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MNT_M_R,Water,65,20,0,0,293,0,430,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MNT_M_R,Shrubland,0,1,0,4,8,0,5,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MNT_M_R,Cropland,0,1,0,5,23,0,6,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MNT_M_R,Bareland,0,0,0,14,33,0,4,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MNT_M_R,Built-up,0,4,0,10,46,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MNT_M_R,Grassland,0,0,0,10,0,0,27,0,287,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MNT_M_R,Wetland,0,0,0,29,0,0,0,0,320,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MNT_M_R,Forest,0,0,0,84,0,0,221,0,998,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MNT_M_R,Water,0,0,0,0,0,0,353,0,457,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MNT_M_R,Shrubland,0,0,0,0,0,0,0,0,11,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MNT_M_R,Cropland,0,0,0,0,0,0,0,0,15,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MNT_M_R,Bareland,0,0,0,0,0,0,7,0,17,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MNT_M_R,Built-up,0,0,0,0,0,0,0,0,19,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MNT_M_R,Grassland,0,0,0,80,0,0,0,0,0,18,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MNT_M_R,Wetland,0,0,0,386,0,0,0,0,0,196,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MNT_M_R,Cropland,0,0,0,0,0,0,0,0,0,1,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MNT_M_R,Water,0,0,0,0,0,0,0,0,0,285,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MNT_M_R,Forest,0,0,0,310,0,0,0,0,0,153,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MNT_M_R,Built-up,0,0,0,3,0,0,0,0,0,1,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MNT_M_R,Bareland,0,0,0,9,0,0,0,0,0,5,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MNT_M_R,Grassland,100,42,35,10,0,76,27,81,0,0,4,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MNT_M_R,Forest,0,197,96,84,196,103,221,191,0,0,9,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MNT_M_R,Wetland,44,56,20,29,58,15,0,50,0,0,2,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MNT_M_R,Water,161,181,77,0,146,30,353,140,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MNT_M_R,Bareland,2,0,7,0,1,7,7,8,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MNT_M_R,Cropland,1,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MNT_M_R,Built-up,0,2,0,0,0,7,0,3,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MNT_M_R,Grassland,62,0,46,46,0,61,27,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MNT_M_R,Bareland,1,0,1,4,0,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MNT_M_R,Forest,0,8,54,300,0,39,152,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MNT_M_R,Wetland,185,13,14,141,0,12,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MNT_M_R,Water,229,60,7,0,0,7,208,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MNT_M_R,Cropland,1,0,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MNT_M_R,Built-up,0,0,0,2,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20MNT_M_R,Wetland,451,29,0,143,116,43,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20MNT_M_R,Forest,0,14,0,21,32,15,2,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20MNT_M_R,Water,649,106,0,0,80,38,58,0,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_20MNT_M_R,Grassland,171,34,0,24,0,32,3,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20MNT_M_R,Built-up,8,6,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20MNT_M_R,Shrubland,1,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20MNT_M_R,Cropland,0,1,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20MNT_M_R,Bareland,2,0,0,1,0,0,0,0,0,0,0,0
