Dataset,MajorityClass,Forest,Wetland,Bareland,Built-up,Grassland,Water,Non_Wetland,Shrubland,Cropland,Non_Water,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22NDH_M_R,Wetland,0,0,0,0,0,101,0,0,0,86,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22NDH_M_R,Bareland,0,0,0,0,0,47,0,0,0,31,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22NDH_M_R,Shrubland,0,0,0,0,0,1,0,0,0,1,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22NDH_M_R,Grassland,0,0,0,0,0,10,0,0,0,7,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22NDH_M_R,Water,0,0,0,0,0,0,0,0,0,196,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22NDH_M_R,Forest,0,0,0,0,0,97,0,0,0,87,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22NDH_M_R,Built-up,0,0,0,0,0,5,0,0,0,2,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22NDH_M_R,Grassland,85,10,0,13,0,0,0,199,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22NDH_M_R,Wetland,68,0,0,14,13,8,0,228,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22NDH_M_R,Forest,0,174,0,28,85,56,0,388,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22NDH_M_R,Bareland,74,58,0,31,33,35,0,192,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22NDH_M_R,Built-up,24,14,0,0,10,2,0,78,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22NDH_M_R,Water,227,265,0,8,10,0,0,217,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22NDH_M_R,Cropland,3,0,0,0,1,0,0,19,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22NDH_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,11,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22NDH_M_R,Bareland,40,26,0,62,0,69,0,0,21,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22NDH_M_R,Grassland,88,7,0,22,0,6,0,0,15,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22NDH_M_R,Wetland,175,0,1,47,0,154,0,0,24,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22NDH_M_R,Forest,0,26,2,87,0,194,0,0,15,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22NDH_M_R,Water,116,39,6,41,0,0,0,0,3,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22NDH_M_R,Built-up,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22NDH_M_R,Cropland,2,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22NDH_M_R,Permanent_ice_and_snow,1,0,0,1,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22NDH_M_R,Wetland,177,0,31,0,91,259,0,0,36,0,38
AMAZON_EXTENSION_2024_DynamicWorld_2024_22NDH_M_R,Bareland,76,9,0,0,6,68,0,0,20,0,12
AMAZON_EXTENSION_2024_DynamicWorld_2024_22NDH_M_R,Forest,0,27,57,0,73,281,0,0,68,0,88
AMAZON_EXTENSION_2024_DynamicWorld_2024_22NDH_M_R,Water,198,29,9,0,9,0,0,0,2,0,21
AMAZON_EXTENSION_2024_DynamicWorld_2024_22NDH_M_R,Built-up,15,0,2,0,1,53,0,0,8,0,2
AMAZON_EXTENSION_2024_DynamicWorld_2024_22NDH_M_R,Grassland,50,8,9,0,0,76,0,0,20,0,17
AMAZON_EXTENSION_2024_DynamicWorld_2024_22NDH_M_R,Cropland,0,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22NDH_M_R,Shrubland,0,0,0,0,0,2,0,0,0,0,0
