Dataset,MajorityClass,Grassland,Forest,Bareland,Built-up,Wetland,Cropland,Water,Shrubland,Non_Wetland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MHU_M_R,Non_Water,0,0,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MHU_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,3,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MHU_M_R,Shrubland,0,0,0,0,0,0,0,0,108,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MHU_M_R,Wetland,0,0,0,0,0,0,18,0,390,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MHU_M_R,Grassland,0,0,0,0,153,0,46,0,580,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MHU_M_R,Forest,0,0,0,0,501,0,203,0,1190,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MHU_M_R,Water,0,0,0,0,640,0,0,0,560,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MHU_M_R,Built-up,0,0,0,0,50,0,16,0,93,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MHU_M_R,Cropland,0,0,0,0,20,0,4,0,104,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MHU_M_R,Bareland,0,0,0,0,112,0,20,0,32,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MHU_M_R,Grassland,0,136,324,122,218,85,90,262,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MHU_M_R,Non_Wetland,3,0,2,0,13,0,1,7,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MHU_M_R,Wetland,246,36,230,4,0,0,127,139,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MHU_M_R,Forest,1049,0,676,222,647,57,215,699,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MHU_M_R,Bareland,53,2,0,39,7,4,64,14,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MHU_M_R,Non_Water,1,0,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MHU_M_R,Water,442,215,448,39,565,1,0,250,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MHU_M_R,Shrubland,92,24,82,32,31,4,15,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MHU_M_R,Built-up,238,29,266,0,47,3,22,126,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MHU_M_R,Cropland,359,90,308,118,54,0,19,140,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MHU_M_R,Permanent_ice_and_snow,0,1,2,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MHU_M_R,Shrubland,0,0,0,0,0,0,19,0,0,7,0,0
