Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20NPJ_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NPJ_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NPJ_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NPJ_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NPJ_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NPJ_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NPJ_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20NPJ_M_R
69,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Water
70,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Forest
71,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
72,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
73,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Cropland
74,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Wetland
75,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Bareland
76,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Water
77,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
78,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,NULL
79,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Grassland
80,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Cropland
81,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Forest
82,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,NULL
83,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
84,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Cropland
85,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Bareland
86,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Built-up
87,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Water
88,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Forest
89,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Wetland,NULL
90,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Wetland,Grassland
91,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Wetland,Wetland
92,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Wetland,Water
93,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Wetland,Forest
94,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Bareland,Grassland
95,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Bareland,Built-up
96,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Built-up,Grassland
97,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Water,Grassland
98,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Forest,NULL
99,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Forest,Grassland
100,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Forest,Cropland
101,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Forest,Forest
102,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,NULL
103,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
104,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Wetland
105,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Forest
106,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,NULL
107,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
108,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Forest
109,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,NULL
110,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
111,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Wetland
112,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Bareland
113,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Built-up
114,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Water
115,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
116,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
117,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
118,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
119,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Bareland
120,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Water
121,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
122,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Built-up,NULL
123,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Built-up,Grassland
124,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,NULL
125,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Grassland
126,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Wetland
127,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Water
128,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Forest
129,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,NULL
130,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
131,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Wetland
132,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Water
133,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
134,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,NULL
135,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
136,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Built-up
137,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Forest
138,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,NULL
139,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
140,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Wetland
141,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Bareland
142,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Built-up
143,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Water
144,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
145,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,NULL
146,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
147,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Wetland
148,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Forest
149,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
150,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
151,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Grassland
152,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Forest
153,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Grassland
154,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Bareland
155,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Water
156,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,NULL
157,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
158,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Bareland
159,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
160,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Grassland
161,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Forest
162,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
163,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Bareland
164,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Built-up
165,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Forest
166,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,NULL
167,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Grassland
168,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Wetland
169,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Bareland
170,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Water
171,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Forest
172,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,NULL
173,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Grassland
174,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Wetland
175,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Bareland
176,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Water
177,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Forest
178,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Water,Grassland
179,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Water,Wetland
180,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Water,Water
181,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Water,Forest
182,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Forest,NULL
183,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Forest,Grassland
184,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Forest,Wetland
185,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Forest,Water
186,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Forest,Forest
187,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Grassland
188,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,NULL
189,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Grassland
190,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Wetland
191,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
192,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Wetland,NULL
193,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Wetland,Grassland
194,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Wetland,Forest
195,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,NULL
196,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Grassland
197,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Wetland
198,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
199,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Grassland,Grassland
200,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Grassland,Forest
201,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Wetland,NULL
202,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Wetland,Grassland
203,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Wetland,Wetland
204,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Wetland,Forest
205,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,NULL,Grassland
206,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,NULL,Forest
207,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,NULL
208,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
209,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Cropland
210,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
211,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Bareland
212,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Forest
213,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,NULL
214,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
215,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Wetland
216,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Forest
217,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Water,NULL
218,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Water,Grassland
219,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Water,Bareland
220,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Water,Water
221,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Water,Forest
222,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Forest,NULL
223,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Forest,Grassland
224,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Forest,Wetland
225,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Forest,Forest
226,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland,Grassland,Grassland
227,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland,Wetland,Grassland
228,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,NULL
229,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
230,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Wetland
231,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Bareland
232,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Water
233,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Forest
234,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,NULL
235,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
236,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
237,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Water
238,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Forest
239,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Water,NULL
240,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Water,Grassland
241,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Water,Wetland
242,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Water,Forest
243,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Forest,NULL
244,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Forest,Grassland
245,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Forest,Wetland
246,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Forest,Forest
247,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
248,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Grassland,Forest
249,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
250,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Water,Grassland
251,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Grassland,Grassland
252,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Grassland,Wetland
253,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Grassland,Bareland
254,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Grassland,Water
255,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Grassland,Forest
256,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Wetland,Grassland
257,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Wetland,Wetland
258,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Wetland,Water
259,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Wetland,Forest
260,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Water,Grassland
261,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Water,Wetland
262,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Water,Water
263,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Forest,Wetland
264,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest,Grassland,Wetland
265,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest,Wetland,Wetland
266,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest,Wetland,Forest
267,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,Grassland,Grassland
268,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,Wetland,Grassland
269,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,Wetland,Wetland
270,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,Wetland,Forest
271,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,NULL,Grassland
272,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Grassland
273,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Wetland
274,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Bareland
275,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Water
276,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Forest
277,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,NULL
278,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Grassland
279,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Wetland
280,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Bareland
281,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Water
282,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Forest
283,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Built-up,Grassland
284,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Water,Grassland
285,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Water,Wetland
286,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Water,Bareland
287,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Water,Water
288,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Water,Forest
289,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Forest,Grassland
290,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Forest,Water
291,NULL,NULL,Shrubland,Water,Non_Wetland,Cropland,Grassland,Grassland
292,NULL,NULL,Shrubland,Water,Non_Wetland,Cropland,Grassland,Water
293,NULL,NULL,Shrubland,Water,Non_Wetland,Cropland,Wetland,Grassland
294,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,NULL,Grassland
295,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Grassland,NULL
296,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Grassland,Grassland
297,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Grassland,Wetland
298,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Grassland,Bareland
299,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Grassland,Water
300,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Grassland,Forest
301,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,NULL
302,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Grassland
303,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Wetland
304,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Bareland
305,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Water
306,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Forest
307,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Built-up,Grassland
308,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Water,Grassland
309,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Water,Wetland
310,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Water,Water
311,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Forest,NULL
312,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Forest,Grassland
313,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Forest,Wetland
314,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Forest,Water
315,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Grassland,Grassland
316,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Grassland,Bareland
317,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Water,Grassland
318,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Forest,Grassland
319,NULL,NULL,Shrubland,Water,Non_Wetland,Water,NULL,Grassland
