Dataset,MajorityClass,Non_Wetland,Wetland,Water,Forest,Bareland,Built-up,Grassland,Non_Water,Shrubland,Cropland,Lichens_and_Mosses
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MHU_M_R,Shrubland,0,1,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MHU_M_R,Cropland,0,6,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MHU_M_R,Wetland,0,0,264,11,32,3,16,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MHU_M_R,Bareland,0,4,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MHU_M_R,Built-up,0,29,1,0,21,0,2,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MHU_M_R,Wetland,0,0,140,440,1,0,456,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MHU_M_R,Non_Wetland,0,0,0,1,0,0,2,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MHU_M_R,Bareland,0,0,0,8,0,0,6,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MHU_M_R,Water,0,148,0,417,6,0,384,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MHU_M_R,Shrubland,0,0,0,0,0,0,2,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MHU_M_R,Grassland,0,0,0,16,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MHU_M_R,Cropland,0,0,0,1,0,0,5,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MHU_M_R,Forest,0,13,50,0,0,3,164,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MHU_M_R,Built-up,0,0,18,72,6,0,38,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MHU_M_R,Wetland,0,0,390,0,0,0,0,208,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MHU_M_R,Grassland,0,0,21,0,0,0,0,11,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MHU_M_R,Bareland,0,0,0,0,0,0,0,1,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MHU_M_R,Water,0,0,0,0,0,0,0,241,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MHU_M_R,Forest,0,0,122,0,0,0,0,63,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MHU_M_R,Built-up,0,0,13,0,0,0,0,6,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MHU_M_R,Wetland,0,0,62,99,164,38,90,0,52,17,8
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MHU_M_R,Forest,0,115,47,0,140,54,132,0,76,28,12
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MHU_M_R,Water,0,213,0,167,210,34,134,0,55,7,3
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MHU_M_R,Grassland,0,2,8,23,25,11,0,0,13,7,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MHU_M_R,Built-up,0,5,6,14,10,0,20,0,31,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MHU_M_R,Bareland,0,0,0,1,0,0,1,0,2,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MHU_M_R,Cropland,0,0,0,1,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MHU_M_R,Water,0,309,0,121,33,41,0,0,0,2,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MHU_M_R,Wetland,0,0,109,120,13,27,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MHU_M_R,Forest,0,79,154,0,9,96,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MHU_M_R,Bareland,0,0,0,0,0,6,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MHU_M_R,Grassland,0,12,3,15,1,10,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MHU_M_R,Cropland,0,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MHU_M_R,Built-up,0,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19MHU_M_R,Wetland,0,0,176,408,2,0,114,0,0,87,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19MHU_M_R,Forest,0,2,16,0,0,0,17,0,0,14,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19MHU_M_R,Water,0,80,0,409,10,0,37,0,0,10,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19MHU_M_R,Grassland,0,0,1,38,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19MHU_M_R,Bareland,0,0,1,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19MHU_M_R,Built-up,0,0,7,18,0,0,0,0,0,0,0
