Dataset,MajorityClass,Grassland,Forest,Cropland,Bareland,Water,Wetland,Shrubland,Built-up,Non_Wetland,Non_Water
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LZL_M_R,Water,12,35,0,0,0,62,15,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LZL_M_R,Cropland,8,0,0,0,0,4,1,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LZL_M_R,Wetland,23,6,0,0,50,0,35,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LZL_M_R,Built-up,5,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LZL_M_R,Grassland,0,0,0,0,1,5,0,0,51,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LZL_M_R,Wetland,0,0,0,0,0,0,0,0,31,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LZL_M_R,Forest,0,0,0,0,57,103,0,0,300,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LZL_M_R,Shrubland,0,0,0,0,0,0,0,0,22,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LZL_M_R,Water,0,0,0,0,0,131,0,0,77,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LZL_M_R,Cropland,0,0,0,0,0,0,0,0,4,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LZL_M_R,Grassland,0,22,9,0,1,5,30,3,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LZL_M_R,Forest,95,0,10,16,57,103,99,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LZL_M_R,Wetland,2,9,0,0,0,0,13,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LZL_M_R,Bareland,0,0,0,0,0,0,4,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LZL_M_R,Water,6,65,3,17,0,131,23,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LZL_M_R,Shrubland,2,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LZL_M_R,Cropland,1,0,0,0,0,0,4,1,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LZL_M_R,Built-up,0,0,0,0,0,0,1,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LZL_M_R,Wetland,0,0,0,0,86,0,0,0,0,36
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LZL_M_R,Grassland,0,0,0,0,1,0,0,0,0,1
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LZL_M_R,Water,0,0,0,0,0,0,0,0,0,84
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LZL_M_R,Forest,0,0,0,0,104,0,0,0,0,53
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LZL_M_R,Grassland,0,25,17,0,1,0,0,2,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LZL_M_R,Shrubland,0,2,1,0,0,0,0,1,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LZL_M_R,Built-up,0,0,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LZL_M_R,Wetland,0,25,0,9,75,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LZL_M_R,Water,0,32,0,2,0,27,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LZL_M_R,Forest,0,0,1,0,128,12,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21LZL_M_R,Forest,6,0,0,0,7,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21LZL_M_R,Wetland,9,139,12,3,18,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21LZL_M_R,Water,4,167,1,3,0,15,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21LZL_M_R,Grassland,0,44,2,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21LZL_M_R,Built-up,0,0,0,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21LZL_M_R,Cropland,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21LZL_M_R,Shrubland,0,17,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21LZL_M_R,Bareland,0,1,0,0,0,0,0,0,0,0
