Dataset,MajorityClass,Grassland,Wetland,Forest,Water,Bareland,Built-up,Non_Wetland,Shrubland,Non_Water,Cropland,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KVA_M_R,Wetland,857,0,347,656,5,0,0,274,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KVA_M_R,Forest,643,416,0,283,12,3,0,329,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KVA_M_R,Non_Water,0,0,0,1,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KVA_M_R,Shrubland,28,17,8,10,3,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KVA_M_R,Cropland,87,27,14,37,2,1,0,31,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KVA_M_R,Water,439,403,133,0,7,4,0,53,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KVA_M_R,Bareland,12,4,4,23,0,0,0,6,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KVA_M_R,Built-up,3,2,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KVA_M_R,Grassland,0,0,0,68,0,0,0,0,62,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KVA_M_R,Wetland,0,0,0,611,0,0,0,0,595,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KVA_M_R,Shrubland,0,0,0,0,0,0,0,0,2,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KVA_M_R,Water,0,0,0,0,0,0,0,0,512,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KVA_M_R,Cropland,0,0,0,0,0,0,0,0,8,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KVA_M_R,Bareland,0,0,0,3,0,0,0,0,5,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KVA_M_R,Forest,0,0,0,176,0,0,0,0,162,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KVA_M_R,Grassland,0,97,167,53,31,16,0,187,0,199,4,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KVA_M_R,Wetland,17,0,406,198,94,5,0,187,0,172,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KVA_M_R,Forest,79,331,0,178,85,7,0,235,0,239,2,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KVA_M_R,Bareland,4,7,9,1,0,2,0,18,0,37,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KVA_M_R,Water,1,407,281,0,46,3,0,45,0,69,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KVA_M_R,Shrubland,4,0,6,0,0,0,0,0,0,7,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KVA_M_R,Cropland,0,5,19,4,0,0,0,21,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KVA_M_R,Built-up,0,0,2,0,0,0,0,3,0,4,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KVA_M_R,Grassland,0,129,93,13,0,16,0,0,0,83,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KVA_M_R,Wetland,0,0,309,272,1,15,0,0,0,120,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KVA_M_R,Shrubland,0,3,10,1,0,0,0,0,0,8,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KVA_M_R,Forest,0,376,0,191,0,16,0,0,0,56,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KVA_M_R,Water,0,520,146,0,7,2,0,0,0,59,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KVA_M_R,Cropland,0,2,7,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KVA_M_R,Bareland,0,3,4,6,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21KVA_M_R,Wetland,421,0,806,407,100,0,0,0,0,225,0,2
AMAZON_EXTENSION_2024_DynamicWorld_2024_21KVA_M_R,Forest,73,71,0,97,32,0,0,0,0,68,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21KVA_M_R,Bareland,6,0,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21KVA_M_R,Shrubland,10,1,38,6,9,0,0,0,0,6,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21KVA_M_R,Water,139,160,486,0,54,0,0,0,0,74,0,2
AMAZON_EXTENSION_2024_DynamicWorld_2024_21KVA_M_R,Cropland,2,0,5,2,4,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21KVA_M_R,Grassland,0,5,114,22,44,0,0,0,0,54,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21KVA_M_R,Built-up,0,0,1,0,0,0,0,0,0,0,0,0
