Dataset,MajorityClass,Grassland,Cropland,Bareland,Built-up,Forest,Wetland,Water,Non_Wetland,Shrubland,Non_Water,Lichens_and_Mosses
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MNM_M_R,Water,2,1,83,0,128,80,0,0,182,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MNM_M_R,Shrubland,41,28,77,28,22,11,11,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MNM_M_R,Built-up,42,38,138,0,4,1,4,0,171,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MNM_M_R,Cropland,172,0,271,65,51,4,2,0,355,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MNM_M_R,Wetland,1,1,42,0,27,0,56,0,103,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MNM_M_R,Lichens_and_Mosses,0,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23MNM_M_R,Forest,0,0,0,0,0,0,126,0,0,97,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23MNM_M_R,Shrubland,0,0,0,0,0,0,28,0,0,9,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23MNM_M_R,Grassland,0,0,0,0,0,0,39,0,0,22,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23MNM_M_R,Cropland,0,0,0,0,0,0,12,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23MNM_M_R,Wetland,0,0,0,0,0,0,57,0,0,62,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23MNM_M_R,Bareland,0,0,0,0,0,0,4,0,0,1,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23MNM_M_R,Built-up,0,0,0,0,0,0,4,0,0,1,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23MNM_M_R,Water,0,0,0,0,0,0,0,0,0,163,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23MNM_M_R,Grassland,0,134,0,55,164,22,0,0,199,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23MNM_M_R,Bareland,8,131,0,93,65,1,4,0,205,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23MNM_M_R,Forest,170,198,17,57,0,178,54,0,320,0,1
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23MNM_M_R,Cropland,85,0,9,152,175,0,1,0,385,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23MNM_M_R,Wetland,1,0,2,0,14,0,5,0,4,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23MNM_M_R,Built-up,18,113,10,0,43,2,1,0,134,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23MNM_M_R,Water,41,23,8,3,109,195,0,0,69,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23MNM_M_R,Shrubland,21,33,4,29,29,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23MNM_M_R,Grassland,0,280,0,89,85,0,25,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23MNM_M_R,Forest,0,237,0,102,0,55,196,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23MNM_M_R,Shrubland,0,152,3,100,98,6,35,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23MNM_M_R,Bareland,0,185,0,143,33,0,5,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23MNM_M_R,Built-up,0,54,16,0,5,0,2,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23MNM_M_R,Water,0,5,0,1,33,11,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23MNM_M_R,Cropland,0,0,2,122,66,0,1,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23MNM_M_R,Wetland,0,1,0,3,53,0,64,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_23MNM_M_R,Forest,97,90,42,0,0,13,34,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_23MNM_M_R,Shrubland,87,108,83,0,153,6,15,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_23MNM_M_R,Cropland,109,0,164,0,54,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_23MNM_M_R,Water,25,2,5,0,169,21,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_23MNM_M_R,Bareland,8,40,0,0,26,0,4,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_23MNM_M_R,Wetland,35,2,1,0,163,0,28,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_23MNM_M_R,Built-up,10,63,100,0,80,0,2,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_23MNM_M_R,Grassland,0,87,52,0,79,1,1,0,0,0,0
