Dataset,MajorityClass,Grassland,Forest,Wetland,Cropland,Bareland,Built-up,Water,Shrubland,Non_Wetland,Non_Water,Lichens_and_Mosses
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KXB_M_R,Non_Water,0,0,0,0,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KXB_M_R,Cropland,343,87,50,0,54,0,35,216,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KXB_M_R,Lichens_and_Mosses,0,0,0,0,0,0,0,1,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KXB_M_R,Built-up,66,6,2,0,23,0,7,33,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KXB_M_R,Shrubland,0,0,0,0,0,0,0,0,159,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KXB_M_R,Wetland,0,0,0,0,0,0,108,0,1073,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KXB_M_R,Grassland,0,0,72,0,0,0,82,0,678,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KXB_M_R,Water,0,0,312,0,0,0,0,0,592,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KXB_M_R,Forest,0,0,224,0,0,0,171,0,1378,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KXB_M_R,Cropland,0,0,2,0,0,0,19,0,211,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KXB_M_R,Bareland,0,0,25,0,0,0,1,0,13,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KXB_M_R,Built-up,0,0,0,0,0,0,1,0,29,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KXB_M_R,Grassland,0,69,210,16,63,1,137,155,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KXB_M_R,Non_Wetland,6,2,9,0,1,0,5,7,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KXB_M_R,Wetland,480,89,0,0,6,0,381,118,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KXB_M_R,Forest,848,0,560,19,212,5,339,544,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KXB_M_R,Non_Water,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KXB_M_R,Water,445,114,450,0,85,0,0,104,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KXB_M_R,Shrubland,76,10,35,1,45,0,11,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KXB_M_R,Cropland,304,88,78,0,166,0,38,110,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KXB_M_R,Bareland,36,0,6,1,0,0,28,5,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KXB_M_R,Lichens_and_Mosses,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KXB_M_R,Built-up,62,8,12,0,46,0,6,18,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KXB_M_R,Grassland,0,0,0,0,0,0,109,0,0,88,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KXB_M_R,Water,0,0,0,0,0,0,0,0,0,442,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KXB_M_R,Wetland,0,0,0,0,0,0,324,0,0,255,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KXB_M_R,Shrubland,0,0,0,0,0,0,1,0,0,3,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KXB_M_R,Cropland,0,0,0,0,0,0,3,0,0,7,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KXB_M_R,Bareland,0,0,0,0,0,0,18,0,0,20,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KXB_M_R,Built-up,0,0,0,0,0,0,0,0,0,2,0
