Dataset,MajorityClass,Grassland,Forest,Bareland,Built-up,Cropland,Water,Wetland,Shrubland,Non_Wetland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MPS_M_R,Permanent_ice_and_snow,2,3,3,1,0,2,0,7,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MPS_M_R,Non_Wetland,5,2,3,0,1,2,15,6,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MPS_M_R,Grassland,0,184,247,70,118,9,151,388,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MPS_M_R,Wetland,655,270,294,11,29,194,0,523,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MPS_M_R,Built-up,191,76,241,0,7,7,35,245,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MPS_M_R,Forest,1077,0,779,320,164,131,695,1349,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MPS_M_R,Water,549,279,373,9,2,0,486,320,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MPS_M_R,Shrubland,80,36,52,15,12,2,28,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MPS_M_R,Bareland,160,33,0,29,58,2,14,103,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MPS_M_R,Cropland,210,114,211,58,0,1,15,249,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MPS_M_R,Lichens_and_Mosses,2,0,0,0,0,0,0,2,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MPS_M_R,Permanent_ice_and_snow,18,0,22,0,0,0,1,17,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MPS_M_R,Wetland,0,0,0,0,0,65,0,0,1226,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MPS_M_R,Grassland,0,0,0,0,0,4,68,0,623,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MPS_M_R,Forest,0,0,0,0,0,109,557,0,1860,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MPS_M_R,Bareland,0,0,0,0,0,2,51,0,131,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MPS_M_R,Water,0,0,0,0,0,0,579,0,583,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MPS_M_R,Shrubland,0,0,0,0,0,0,0,0,158,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MPS_M_R,Cropland,0,0,0,0,0,0,0,0,52,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MPS_M_R,Built-up,0,0,0,0,0,2,37,0,104,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MPS_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,0,3,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23MPS_M_R,Grassland,0,0,0,0,0,222,0,0,0,25,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23MPS_M_R,Shrubland,0,0,0,0,0,30,0,0,0,6,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23MPS_M_R,Wetland,0,0,0,0,0,786,0,0,0,264,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23MPS_M_R,Forest,0,0,0,0,0,729,0,0,0,213,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23MPS_M_R,Built-up,0,0,0,0,0,49,0,0,0,9,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23MPS_M_R,Cropland,0,0,0,0,0,30,0,0,0,2,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23MPS_M_R,Water,0,0,0,0,0,0,0,0,0,354,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23MPS_M_R,Bareland,0,0,0,0,0,113,0,0,0,31,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23MPS_M_R,Grassland,0,399,106,64,307,4,68,313,0,0,6,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23MPS_M_R,Bareland,122,177,0,63,314,2,51,132,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23MPS_M_R,Forest,870,0,406,285,695,112,558,709,0,0,46,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23MPS_M_R,Wetland,95,374,164,31,144,67,0,147,0,0,4,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23MPS_M_R,Built-up,174,162,39,0,220,2,37,160,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23MPS_M_R,Water,131,418,177,63,230,0,587,237,0,0,17,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23MPS_M_R,Cropland,179,279,0,42,0,0,0,201,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23MPS_M_R,Shrubland,37,38,17,16,38,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23MPS_M_R,Permanent_ice_and_snow,3,15,1,2,34,0,0,2,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23MPS_M_R,Grassland,0,270,8,290,418,107,236,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23MPS_M_R,Forest,0,0,6,805,456,557,642,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23MPS_M_R,Shrubland,0,75,2,93,116,33,61,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23MPS_M_R,Bareland,0,71,0,178,189,47,48,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23MPS_M_R,Built-up,0,36,3,0,25,1,10,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23MPS_M_R,Cropland,0,58,10,44,0,10,4,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23MPS_M_R,Water,0,69,39,62,1,0,306,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23MPS_M_R,Wetland,0,203,9,130,2,325,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23MPS_M_R,Permanent_ice_and_snow,0,6,0,13,0,1,1,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_23MPS_M_R,Forest,218,0,245,0,231,202,65,0,0,0,0,21
AMAZON_EXTENSION_2024_DynamicWorld_2024_23MPS_M_R,Shrubland,45,165,87,0,55,24,19,0,0,0,0,2
AMAZON_EXTENSION_2024_DynamicWorld_2024_23MPS_M_R,Cropland,106,61,225,0,0,2,2,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_23MPS_M_R,Wetland,151,873,67,0,10,501,0,0,0,0,0,6
AMAZON_EXTENSION_2024_DynamicWorld_2024_23MPS_M_R,Bareland,3,38,0,0,10,22,1,0,0,0,0,71
AMAZON_EXTENSION_2024_DynamicWorld_2024_23MPS_M_R,Built-up,4,230,25,0,25,14,5,0,0,0,0,6
AMAZON_EXTENSION_2024_DynamicWorld_2024_23MPS_M_R,Water,7,347,64,0,7,0,84,0,0,0,0,6
AMAZON_EXTENSION_2024_DynamicWorld_2024_23MPS_M_R,Grassland,0,448,175,0,142,135,65,0,0,0,0,48
