Dataset,MajorityClass,Grassland,Wetland,Bareland,Built-up,Forest,Water,Non_Wetland,Non_Water,Shrubland,Cropland,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NFE_M_R,Wetland,0,0,0,0,0,131,0,39,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NFE_M_R,Bareland,0,0,0,0,0,46,0,12,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NFE_M_R,Built-up,0,0,0,0,0,18,0,1,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NFE_M_R,Water,0,0,0,0,0,0,0,89,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NFE_M_R,Forest,0,0,0,0,0,78,0,24,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NFE_M_R,Cropland,0,0,0,0,0,7,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NFE_M_R,Permanent_ice_and_snow,0,0,0,0,0,20,0,4,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NFE_M_R,Water,58,63,2,9,44,0,0,0,54,5,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NFE_M_R,Cropland,10,1,2,5,9,0,0,0,15,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NFE_M_R,Wetland,28,0,1,7,23,8,0,0,28,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NFE_M_R,Bareland,22,24,0,13,12,15,0,0,45,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NFE_M_R,Built-up,8,1,5,0,7,0,0,0,14,4,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NFE_M_R,Forest,54,29,14,19,0,14,0,0,64,14,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NFE_M_R,Grassland,0,10,2,6,22,5,0,0,20,10,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NFE_M_R,Permanent_ice_and_snow,15,0,6,6,8,0,0,0,33,1,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19NFE_M_R,Grassland,0,25,6,20,28,26,0,0,0,15,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19NFE_M_R,Wetland,0,0,29,33,24,40,0,0,0,7,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19NFE_M_R,Bareland,0,20,0,19,3,11,0,0,0,1,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19NFE_M_R,Built-up,0,0,1,0,1,0,0,0,0,1,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19NFE_M_R,Water,0,70,49,36,29,0,0,0,0,1,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19NFE_M_R,Forest,0,47,13,39,0,33,0,0,0,9,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19NFE_M_R,Cropland,0,0,0,5,1,2,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19NFE_M_R,Permanent_ice_and_snow,0,21,5,11,1,8,0,0,0,1,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19NFE_M_R,Water,27,16,59,0,55,0,0,0,0,8,58
AMAZON_EXTENSION_2024_DynamicWorld_2024_19NFE_M_R,Wetland,29,0,37,0,56,38,0,0,0,7,50
AMAZON_EXTENSION_2024_DynamicWorld_2024_19NFE_M_R,Forest,15,4,6,0,0,10,0,0,0,7,8
AMAZON_EXTENSION_2024_DynamicWorld_2024_19NFE_M_R,Built-up,2,0,1,0,6,0,0,0,0,4,2
AMAZON_EXTENSION_2024_DynamicWorld_2024_19NFE_M_R,Grassland,0,7,10,0,14,4,0,0,0,8,13
AMAZON_EXTENSION_2024_DynamicWorld_2024_19NFE_M_R,Bareland,0,0,0,0,3,1,0,0,0,2,11
