Dataset,MajorityClass,Grassland,Cropland,Water,Forest,Bareland,Wetland,Built-up,Shrubland,Non_Wetland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LYE_M_R,Built-up,81,13,0,1,135,0,0,34,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LYE_M_R,Permanent_ice_and_snow,0,0,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LYE_M_R,Wetland,0,0,8,0,0,0,0,0,170,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LYE_M_R,Grassland,0,0,37,0,0,27,0,0,128,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LYE_M_R,Forest,0,0,101,0,0,115,0,0,500,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LYE_M_R,Water,0,0,0,0,0,121,0,0,109,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LYE_M_R,Shrubland,0,0,0,0,0,0,0,0,130,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LYE_M_R,Cropland,0,0,28,0,0,8,0,0,56,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LYE_M_R,Bareland,0,0,15,0,0,0,0,0,12,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LYE_M_R,Built-up,0,0,3,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LYE_M_R,Shrubland,0,0,39,0,0,0,0,0,0,20,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LYE_M_R,Grassland,0,0,60,0,0,0,0,0,0,20,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LYE_M_R,Wetland,0,0,45,0,0,0,0,0,0,31,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LYE_M_R,Water,0,0,0,0,0,0,0,0,0,203,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LYE_M_R,Cropland,0,0,39,0,0,0,0,0,0,10,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LYE_M_R,Bareland,0,0,9,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LYE_M_R,Built-up,0,0,2,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LYE_M_R,Forest,0,0,142,0,0,0,0,0,0,103,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LYE_M_R,Grassland,0,300,37,202,27,27,107,478,0,0,44,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LYE_M_R,Wetland,0,3,8,47,5,0,0,70,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LYE_M_R,Water,2,116,0,155,31,121,12,276,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LYE_M_R,Forest,154,425,101,0,79,115,96,634,0,0,11,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LYE_M_R,Bareland,1,162,15,50,0,0,80,198,0,0,21,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LYE_M_R,Cropland,107,0,28,208,21,8,143,472,0,0,47,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LYE_M_R,Shrubland,9,29,0,29,5,0,11,0,0,0,2,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LYE_M_R,Built-up,3,73,3,6,2,0,0,53,0,0,2,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LYE_M_R,Permanent_ice_and_snow,0,0,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LYE_M_R,Grassland,0,629,20,213,7,0,83,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LYE_M_R,Forest,0,506,211,0,0,10,121,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LYE_M_R,Shrubland,0,190,32,90,0,0,51,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LYE_M_R,Wetland,0,46,12,35,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LYE_M_R,Bareland,0,244,9,17,0,0,77,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LYE_M_R,Built-up,0,23,1,2,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LYE_M_R,Water,0,179,0,86,0,40,13,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LYE_M_R,Cropland,0,0,2,163,8,0,113,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21LYE_M_R,Forest,92,130,31,0,38,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21LYE_M_R,Shrubland,89,72,33,200,58,9,0,0,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_21LYE_M_R,Wetland,53,2,8,125,24,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21LYE_M_R,Cropland,165,0,13,216,160,3,0,0,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_21LYE_M_R,Bareland,20,48,6,47,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21LYE_M_R,Water,24,30,0,379,9,33,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21LYE_M_R,Built-up,4,36,0,28,4,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21LYE_M_R,Grassland,0,123,22,207,98,0,0,0,0,0,0,0
