Dataset,MajorityClass,Forest,Wetland,Built-up,Grassland,Water,Bareland,Non_Wetland,Cropland,Non_Water,Shrubland,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MPB_M_R,Grassland,0,42,0,0,8,0,618,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MPB_M_R,Wetland,0,0,0,0,74,0,1160,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MPB_M_R,Forest,0,254,0,0,78,0,1586,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MPB_M_R,Water,0,310,0,0,0,0,936,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MPB_M_R,Shrubland,0,0,0,0,0,0,25,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MPB_M_R,Cropland,0,0,0,0,0,0,52,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MPB_M_R,Lichens_and_Mosses,0,0,0,0,0,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MPB_M_R,Bareland,0,0,0,0,0,0,77,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MPB_M_R,Built-up,0,6,0,0,0,0,200,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MPB_M_R,Wetland,32,0,26,323,477,146,0,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MPB_M_R,Non_Wetland,1,9,0,2,5,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MPB_M_R,Forest,0,858,58,605,314,364,0,11,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MPB_M_R,Grassland,8,290,9,0,53,91,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MPB_M_R,Non_Water,0,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MPB_M_R,Water,22,732,10,159,0,171,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MPB_M_R,Shrubland,0,12,1,5,3,12,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MPB_M_R,Cropland,0,25,4,18,3,14,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MPB_M_R,Lichens_and_Mosses,0,2,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MPB_M_R,Bareland,0,30,1,14,13,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MPB_M_R,Built-up,2,105,0,77,25,129,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MPB_M_R,Grassland,0,0,0,0,337,0,0,0,16,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MPB_M_R,Wetland,0,0,0,0,855,0,0,0,237,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MPB_M_R,Forest,0,0,0,0,634,0,0,0,119,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MPB_M_R,Shrubland,0,0,0,0,7,0,0,0,1,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MPB_M_R,Bareland,0,0,0,0,50,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MPB_M_R,Built-up,0,0,0,0,124,0,0,0,10,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MPB_M_R,Water,0,0,0,0,0,0,0,0,250,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MPB_M_R,Cropland,0,0,0,0,17,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MPB_M_R,Forest,0,254,169,211,78,355,0,73,0,392,19,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MPB_M_R,Grassland,132,42,56,0,8,151,0,40,0,247,2,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MPB_M_R,Wetland,202,0,92,125,74,271,0,38,0,198,4,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MPB_M_R,Bareland,8,0,9,0,0,0,0,5,0,39,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MPB_M_R,Water,240,310,126,183,0,320,0,7,0,241,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MPB_M_R,Cropland,13,0,2,1,0,9,0,0,0,14,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MPB_M_R,Built-up,49,6,0,8,0,33,0,14,0,121,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MPB_M_R,Grassland,122,134,178,0,20,0,0,66,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MPB_M_R,Wetland,285,0,185,0,145,2,0,56,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MPB_M_R,Forest,0,371,337,0,257,4,0,36,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MPB_M_R,Bareland,9,8,68,0,5,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MPB_M_R,Water,195,481,193,0,0,28,0,13,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MPB_M_R,Built-up,3,1,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MPB_M_R,Cropland,0,1,4,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20MPB_M_R,Wetland,800,0,0,237,321,4,0,143,0,0,0,2
AMAZON_EXTENSION_2024_DynamicWorld_2024_20MPB_M_R,Forest,0,7,0,44,32,6,0,47,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20MPB_M_R,Bareland,36,0,0,5,7,0,0,9,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20MPB_M_R,Water,621,77,0,70,0,22,0,26,0,0,0,4
AMAZON_EXTENSION_2024_DynamicWorld_2024_20MPB_M_R,Built-up,49,0,0,1,6,0,0,3,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20MPB_M_R,Grassland,258,16,0,0,20,0,0,46,0,0,0,0
