Dataset,MajorityClass,Wetland,Grassland,Water,Bareland,Forest,Built-up,Non_Wetland,Non_Water,Shrubland,Cropland,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MLA_M_R,Built-up,0,0,14,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MLA_M_R,Water,0,0,0,0,0,0,0,219,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MLA_M_R,Bareland,0,0,3,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MLA_M_R,Forest,0,0,208,0,0,0,0,98,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MLA_M_R,Forest,124,98,35,170,0,63,0,0,170,26,8,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MLA_M_R,Grassland,12,0,3,29,61,16,0,0,70,8,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MLA_M_R,Wetland,0,41,32,112,81,23,0,0,53,5,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MLA_M_R,Bareland,0,0,0,0,1,2,0,0,7,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MLA_M_R,Water,223,123,0,200,156,59,0,0,89,1,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MLA_M_R,Built-up,2,0,0,4,18,0,0,0,47,2,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MLA_M_R,Cropland,0,0,0,2,1,0,0,0,2,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MLA_M_R,Bareland,2,0,0,0,0,12,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MLA_M_R,Water,218,0,0,7,160,35,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MLA_M_R,Forest,108,0,215,0,0,126,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MLA_M_R,Grassland,34,0,6,0,53,47,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MLA_M_R,Wetland,0,0,116,1,166,30,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20MLA_M_R,Wetland,0,149,159,0,397,0,0,0,0,55,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20MLA_M_R,Forest,3,43,13,0,0,0,0,0,0,22,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_20MLA_M_R,Water,46,91,0,5,466,0,0,0,0,33,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20MLA_M_R,Bareland,0,1,0,0,5,0,0,0,0,1,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20MLA_M_R,Grassland,0,0,7,0,57,0,0,0,0,8,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20MLA_M_R,Built-up,0,0,3,0,13,0,0,0,0,0,0,0
