Dataset,MajorityClass,Grassland,Cropland,Bareland,Built-up,Water,Forest,Wetland,Non_Wetland,Shrubland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24LWQ_M_R,Grassland,0,6,94,22,23,120,0,0,337,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24LWQ_M_R,Bareland,163,9,0,18,47,24,0,0,81,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24LWQ_M_R,Built-up,296,0,275,0,25,95,0,0,223,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24LWQ_M_R,Forest,458,19,211,41,63,0,0,0,819,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24LWQ_M_R,Water,394,0,355,59,0,539,0,0,550,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24LWQ_M_R,Non_Wetland,0,0,0,0,0,0,0,0,1,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24LWQ_M_R,Non_Water,0,0,0,0,1,1,0,0,2,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24LWQ_M_R,Shrubland,113,2,82,14,11,61,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24LWQ_M_R,Cropland,612,0,353,108,57,153,0,0,569,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24LWQ_M_R,Wetland,274,0,131,4,124,363,0,0,444,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24LWQ_M_R,Lichens_and_Mosses,2,0,0,0,0,0,0,0,1,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24LWQ_M_R,Permanent_ice_and_snow,5,0,3,0,0,0,0,0,1,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_24LWQ_M_R,Bareland,0,0,0,0,118,0,0,0,0,89,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_24LWQ_M_R,Grassland,0,0,0,0,91,0,0,0,0,79,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_24LWQ_M_R,Forest,0,0,0,0,142,0,0,0,0,215,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_24LWQ_M_R,Shrubland,0,0,0,0,83,0,0,0,0,59,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_24LWQ_M_R,Water,0,0,0,0,0,0,0,0,0,905,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_24LWQ_M_R,Built-up,0,0,0,0,111,0,0,0,0,61,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_24LWQ_M_R,Cropland,0,0,0,0,107,0,0,0,0,67,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_24LWQ_M_R,Wetland,0,0,0,0,293,0,0,0,0,302,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_24LWQ_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,0,0,1,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24LWQ_M_R,Grassland,0,479,59,117,9,257,93,0,272,0,7,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24LWQ_M_R,Bareland,5,353,0,194,3,91,55,0,178,0,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24LWQ_M_R,Built-up,37,291,46,0,1,96,59,0,198,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24LWQ_M_R,Water,26,714,80,130,0,308,729,0,484,0,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24LWQ_M_R,Forest,183,582,107,119,47,0,336,0,354,0,2,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24LWQ_M_R,Shrubland,28,76,33,20,0,57,0,0,0,0,4,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24LWQ_M_R,Cropland,106,0,50,125,5,254,42,0,267,0,2,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24LWQ_M_R,Wetland,8,158,25,12,5,47,0,0,43,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24LWQ_M_R,Permanent_ice_and_snow,0,10,0,2,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24LWQ_M_R,Grassland,0,426,3,188,118,249,9,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24LWQ_M_R,Shrubland,0,173,0,96,96,86,6,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24LWQ_M_R,Bareland,0,134,0,114,59,13,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24LWQ_M_R,Built-up,0,60,8,0,20,13,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24LWQ_M_R,Water,0,77,16,183,0,50,30,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24LWQ_M_R,Forest,0,405,0,259,277,0,47,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24LWQ_M_R,Wetland,0,202,0,125,326,127,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24LWQ_M_R,Cropland,0,0,0,105,31,115,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_24LWQ_M_R,Shrubland,86,128,72,0,89,162,121,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_24LWQ_M_R,Forest,191,118,47,0,94,0,191,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_24LWQ_M_R,Cropland,67,0,167,0,48,149,78,0,0,0,0,2
AMAZON_EXTENSION_2024_DynamicWorld_2024_24LWQ_M_R,Built-up,29,118,122,0,59,125,42,0,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_24LWQ_M_R,Wetland,65,87,46,0,116,145,0,0,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_24LWQ_M_R,Water,20,43,141,0,0,137,175,0,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_24LWQ_M_R,Grassland,0,160,166,0,62,168,98,0,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_24LWQ_M_R,Bareland,0,55,0,0,20,27,6,0,0,0,0,3
