Dataset,MajorityClass,Grassland,Cropland,Wetland,Bareland,Water,Forest,Built-up,Shrubland,Non_Wetland,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MGE_M_R,Shrubland,6,0,6,2,2,2,3,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MGE_M_R,Wetland,142,0,0,68,212,45,36,2,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MGE_M_R,Lichens_and_Mosses,1,0,2,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MGE_M_R,Built-up,35,0,31,50,21,12,0,2,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MGE_M_R,Water,85,0,200,46,0,18,27,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MGE_M_R,Forest,171,0,213,85,123,0,40,22,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MGE_M_R,Cropland,76,0,121,28,38,21,7,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MGE_M_R,Permanent_ice_and_snow,3,0,14,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MGE_M_R,Wetland,0,0,0,0,33,0,0,0,445,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MGE_M_R,Shrubland,0,0,0,0,0,0,0,0,14,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MGE_M_R,Grassland,0,0,28,0,10,0,0,0,238,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MGE_M_R,Lichens_and_Mosses,0,0,0,0,0,0,0,0,3,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MGE_M_R,Bareland,0,0,31,0,8,0,0,0,150,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MGE_M_R,Built-up,0,0,17,0,1,0,0,0,75,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MGE_M_R,Forest,0,0,86,0,19,0,0,0,341,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MGE_M_R,Cropland,0,0,33,0,8,0,0,0,171,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MGE_M_R,Water,0,0,84,0,0,0,0,0,203,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MGE_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,0,16,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MGE_M_R,Grassland,0,1,32,33,10,47,18,60,0,5,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MGE_M_R,Wetland,102,3,0,63,34,67,27,91,0,15,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MGE_M_R,Bareland,57,0,70,0,18,39,40,56,0,2,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MGE_M_R,Built-up,46,0,27,13,6,22,0,33,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MGE_M_R,Water,82,1,135,71,0,55,31,88,0,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MGE_M_R,Forest,141,0,118,76,36,0,45,101,0,13,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MGE_M_R,Cropland,72,0,37,26,8,50,23,67,0,5,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MGE_M_R,Permanent_ice_and_snow,5,0,0,1,0,3,0,4,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MGE_M_R,Grassland,0,94,31,2,37,78,48,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MGE_M_R,Wetland,0,175,0,33,158,138,78,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MGE_M_R,Bareland,0,47,18,0,67,46,36,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MGE_M_R,Built-up,0,8,0,0,2,2,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MGE_M_R,Water,0,78,70,46,0,58,28,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MGE_M_R,Forest,0,58,28,3,70,0,101,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MGE_M_R,Cropland,0,0,2,1,7,16,7,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MGE_M_R,Permanent_ice_and_snow,0,1,0,0,0,6,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22MGE_M_R,Wetland,124,138,0,96,114,195,0,0,0,0,18
AMAZON_EXTENSION_2024_DynamicWorld_2024_22MGE_M_R,Bareland,11,17,7,0,21,36,0,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_22MGE_M_R,Built-up,15,21,1,0,10,59,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22MGE_M_R,Forest,15,27,2,5,14,0,0,0,0,0,8
AMAZON_EXTENSION_2024_DynamicWorld_2024_22MGE_M_R,Shrubland,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22MGE_M_R,Water,61,57,65,72,0,106,0,0,0,0,2
AMAZON_EXTENSION_2024_DynamicWorld_2024_22MGE_M_R,Cropland,16,0,0,14,3,12,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22MGE_M_R,Grassland,0,30,12,18,17,50,0,0,0,0,8
