Dataset,MajorityClass,Forest,Water,Wetland,Built-up,Grassland,Cropland,Bareland,Non_Wetland,Non_Water,Shrubland,Lichens_and_Mosses
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MKC_M_R,Built-up,0,6,5,0,0,0,0,109,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MKC_M_R,Non_Wetland,0,3,5,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MKC_M_R,Forest,0,219,566,37,222,0,95,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MKC_M_R,Grassland,0,82,209,4,0,0,15,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MKC_M_R,Non_Water,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MKC_M_R,Wetland,17,513,0,1,98,0,33,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MKC_M_R,Water,47,0,866,33,65,0,46,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MKC_M_R,Shrubland,0,3,5,1,1,0,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MKC_M_R,Cropland,0,4,21,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MKC_M_R,Bareland,0,18,9,0,4,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MKC_M_R,Built-up,4,18,59,0,37,0,49,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MKC_M_R,Grassland,0,77,0,0,0,0,0,0,34,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MKC_M_R,Water,0,0,0,0,0,0,0,0,490,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MKC_M_R,Wetland,0,688,0,0,0,0,0,0,339,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MKC_M_R,Bareland,0,4,0,0,0,0,0,0,13,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MKC_M_R,Forest,0,203,0,0,0,0,0,0,134,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MKC_M_R,Built-up,0,14,0,0,0,0,0,0,10,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MKC_M_R,Cropland,0,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MKC_M_R,Grassland,65,16,17,33,0,15,62,0,0,68,8
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MKC_M_R,Wetland,212,99,0,86,182,47,278,0,0,132,24
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MKC_M_R,Forest,0,70,128,116,162,47,203,0,0,156,36
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MKC_M_R,Water,240,0,329,110,193,9,348,0,0,199,30
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MKC_M_R,Built-up,23,6,5,0,20,3,11,0,0,58,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MKC_M_R,Bareland,4,0,5,2,2,1,0,0,0,5,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MKC_M_R,Cropland,2,0,0,2,1,0,6,0,0,4,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MKC_M_R,Water,307,0,445,85,0,0,55,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MKC_M_R,Grassland,94,23,60,42,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MKC_M_R,Forest,0,172,131,143,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MKC_M_R,Wetland,298,252,0,62,0,0,16,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MKC_M_R,Bareland,0,0,0,20,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MKC_M_R,Cropland,2,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20MKC_M_R,Wetland,552,267,0,0,342,185,19,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20MKC_M_R,Forest,0,33,2,0,46,28,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20MKC_M_R,Water,596,0,124,0,231,76,59,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20MKC_M_R,Bareland,2,1,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20MKC_M_R,Built-up,19,4,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20MKC_M_R,Grassland,70,7,2,0,0,10,0,0,0,0,0
