Dataset,MajorityClass,Wetland,Bareland,Forest,Grassland,Water,Built-up,Non_Wetland,Non_Water,Shrubland,Lichens_and_Mosses,Cropland,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MER_M_R,Bareland,11,0,15,8,173,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MER_M_R,Built-up,1,32,0,0,12,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MER_M_R,Forest,142,423,0,123,353,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MER_M_R,Bareland,150,0,184,83,81,147,0,0,192,4,7,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MER_M_R,Water,279,263,268,138,0,90,0,0,184,5,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MER_M_R,Grassland,3,0,2,0,0,2,0,0,2,0,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MER_M_R,Wetland,0,19,11,8,3,8,0,0,15,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MER_M_R,Built-up,0,2,6,3,0,0,0,0,6,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MER_M_R,Forest,197,225,0,147,95,80,0,0,148,15,8,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MER_M_R,Bareland,167,0,187,0,229,197,0,0,0,0,0,1
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MER_M_R,Water,153,130,172,0,0,165,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MER_M_R,Forest,127,20,0,0,317,105,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MER_M_R,Grassland,7,0,6,0,9,4,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MER_M_R,Built-up,1,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MER_M_R,Wetland,0,10,54,0,63,46,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19MER_M_R,Water,62,149,586,13,0,0,0,0,0,0,17,24
AMAZON_EXTENSION_2024_DynamicWorld_2024_19MER_M_R,Wetland,0,27,159,1,37,0,0,0,0,0,0,2
AMAZON_EXTENSION_2024_DynamicWorld_2024_19MER_M_R,Bareland,48,0,200,3,127,0,0,0,0,0,4,18
AMAZON_EXTENSION_2024_DynamicWorld_2024_19MER_M_R,Forest,2,36,0,1,46,0,0,0,0,0,0,10
AMAZON_EXTENSION_2024_DynamicWorld_2024_19MER_M_R,Grassland,4,0,22,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19MER_M_R,Built-up,2,0,9,0,1,0,0,0,0,0,0,0
