Dataset,MajorityClass,Shrubland,Bareland,Water,Forest,Wetland,Built-up,Grassland,Cropland,Non_Wetland,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MCE_M_R,Permanent_ice_and_snow,0,5,2,0,2,0,4,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MCE_M_R,Wetland,0,0,17,0,0,0,0,0,327,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MCE_M_R,Shrubland,0,0,0,0,0,0,0,0,15,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MCE_M_R,Grassland,0,0,3,0,20,0,0,0,139,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MCE_M_R,Bareland,0,0,14,0,16,0,0,0,58,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MCE_M_R,Built-up,0,0,1,0,11,0,0,0,47,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MCE_M_R,Forest,0,0,18,0,64,0,0,0,406,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MCE_M_R,Cropland,0,0,0,0,2,0,0,0,50,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MCE_M_R,Water,0,0,0,0,54,0,0,0,177,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MCE_M_R,Permanent_ice_and_snow,0,0,1,0,2,0,0,0,14,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MCE_M_R,Grassland,48,19,3,37,20,21,0,2,0,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MCE_M_R,Wetland,67,47,17,51,0,32,51,1,0,10,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MCE_M_R,Bareland,43,0,14,17,16,38,47,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MCE_M_R,Built-up,34,3,1,19,11,0,35,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MCE_M_R,Water,73,52,0,42,54,47,43,2,0,4,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MCE_M_R,Forest,154,93,18,0,64,85,157,20,0,17,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MCE_M_R,Cropland,28,5,0,14,2,13,26,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MCE_M_R,Permanent_ice_and_snow,7,2,1,2,2,0,2,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MCE_M_R,Grassland,0,15,11,80,19,28,0,46,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MCE_M_R,Wetland,0,22,81,117,0,45,0,60,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MCE_M_R,Built-up,0,5,4,10,0,0,0,5,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MCE_M_R,Bareland,0,0,27,36,14,15,0,3,0,0,1
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MCE_M_R,Water,0,17,0,36,67,13,0,13,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MCE_M_R,Forest,0,20,93,0,64,82,0,37,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MCE_M_R,Shrubland,0,0,0,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MCE_M_R,Cropland,0,1,1,11,0,3,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MCE_M_R,Permanent_ice_and_snow,0,0,0,7,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22MCE_M_R,Wetland,0,34,98,166,0,0,98,55,0,0,33
AMAZON_EXTENSION_2024_DynamicWorld_2024_22MCE_M_R,Built-up,0,5,6,54,0,0,8,17,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22MCE_M_R,Water,0,16,0,90,29,0,26,7,0,0,7
AMAZON_EXTENSION_2024_DynamicWorld_2024_22MCE_M_R,Forest,0,17,40,0,2,0,27,39,0,0,18
AMAZON_EXTENSION_2024_DynamicWorld_2024_22MCE_M_R,Shrubland,0,0,0,2,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22MCE_M_R,Bareland,0,0,11,39,0,0,5,7,0,0,7
AMAZON_EXTENSION_2024_DynamicWorld_2024_22MCE_M_R,Grassland,0,6,14,48,5,0,0,22,0,0,9
