Dataset,MajorityClass,Wetland,Grassland,Forest,Bareland,Water,Built-up,Non_Wetland,Shrubland,Cropland,Lichens_and_Mosses,Non_Water,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MFQ_M_R,Forest,0,0,0,0,173,0,0,0,0,0,94,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MFQ_M_R,Grassland,1,0,17,1,2,30,0,0,9,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MFQ_M_R,Forest,25,0,0,3,171,68,0,0,8,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MFQ_M_R,Wetland,0,0,82,9,83,27,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MFQ_M_R,Water,38,0,121,38,0,10,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MFQ_M_R,Bareland,0,0,1,0,5,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19MFQ_M_R,Wetland,0,60,239,13,40,0,0,0,11,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19MFQ_M_R,Water,18,54,404,79,0,0,0,0,17,0,0,13
AMAZON_EXTENSION_2024_DynamicWorld_2024_19MFQ_M_R,Forest,0,12,0,7,7,0,0,0,3,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19MFQ_M_R,Grassland,1,0,41,0,1,0,0,0,2,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19MFQ_M_R,Built-up,0,0,1,0,0,0,0,0,0,0,0,0
