Dataset,MajorityClass,Forest,Bareland,Water,Wetland,Built-up,Grassland,Shrubland,Cropland,Lichens_and_Mosses,Non_Water,Non_Wetland,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18LZQ_M_R,Water,0,0,0,0,0,0,0,0,0,371,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18LZQ_M_R,Bareland,0,0,117,0,0,0,0,0,0,81,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18LZQ_M_R,Built-up,0,0,12,0,0,0,0,0,0,10,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18LZQ_M_R,Cropland,0,0,3,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18LZQ_M_R,Wetland,0,0,2,0,0,0,0,0,0,2,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18LZQ_M_R,Grassland,0,0,10,0,0,0,0,0,0,0,23,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18LZQ_M_R,Built-up,0,0,8,0,0,0,0,0,0,0,4,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18LZQ_M_R,Forest,0,0,141,62,0,0,0,0,0,0,267,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18LZQ_M_R,Water,0,0,0,80,0,0,0,0,0,0,117,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18LZQ_M_R,Cropland,0,0,1,0,0,0,0,0,0,0,3,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18LZQ_M_R,Bareland,0,0,30,2,0,0,0,0,0,0,42,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18LZQ_M_R,Wetland,0,0,0,0,0,0,0,0,0,0,6,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18LZQ_M_R,Grassland,80,1,71,0,73,0,0,49,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18LZQ_M_R,Forest,0,28,407,0,93,0,0,43,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18LZQ_M_R,Water,263,126,0,0,67,0,0,23,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18LZQ_M_R,Bareland,61,0,71,0,15,0,0,4,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18LZQ_M_R,Cropland,1,0,2,0,4,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18LZQ_M_R,Wetland,6,1,0,0,0,0,0,2,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18LZQ_M_R,Built-up,1,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18LZQ_M_R,Forest,0,94,85,1,0,22,0,71,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18LZQ_M_R,Water,560,362,0,2,0,4,0,56,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_18LZQ_M_R,Grassland,101,12,39,4,0,0,0,61,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18LZQ_M_R,Bareland,11,0,0,0,0,0,0,6,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18LZQ_M_R,Built-up,25,11,13,0,0,0,0,10,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18LZQ_M_R,Wetland,5,1,0,0,0,0,0,0,0,0,0,0
