Dataset,MajorityClass,Grassland,Wetland,Bareland,Built-up,Forest,Cropland,Water,Non_Wetland,Non_Water,Shrubland,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20LPK_M_R,Shrubland,0,0,0,0,0,0,3,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20LPK_M_R,Grassland,0,0,0,0,0,0,15,0,2,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20LPK_M_R,Wetland,0,0,0,0,0,0,47,0,30,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20LPK_M_R,Water,0,0,0,0,0,0,0,0,35,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20LPK_M_R,Forest,0,0,0,0,0,0,36,0,16,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20LPK_M_R,Built-up,0,0,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20LPK_M_R,Bareland,0,0,0,0,0,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LPK_M_R,Wetland,0,0,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20LPK_M_R,Cropland,4,0,1,1,2,0,0,0,0,8,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20LPK_M_R,Wetland,19,0,9,0,19,5,13,0,0,11,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20LPK_M_R,Bareland,15,0,0,9,5,3,0,0,0,12,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20LPK_M_R,Built-up,4,0,0,0,2,3,0,0,0,5,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20LPK_M_R,Water,9,22,9,0,18,0,0,0,0,10,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20LPK_M_R,Forest,36,27,21,9,0,15,10,0,0,40,2,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20LPK_M_R,Grassland,0,7,5,1,15,8,2,0,0,16,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20LPK_M_R,Permanent_ice_and_snow,2,0,0,2,3,2,0,0,0,6,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20LPK_M_R,Grassland,0,21,1,7,17,7,8,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20LPK_M_R,Forest,0,33,2,16,0,11,32,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20LPK_M_R,Water,0,40,0,1,5,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20LPK_M_R,Built-up,0,0,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20LPK_M_R,Wetland,0,0,0,4,22,0,32,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20LPK_M_R,Cropland,0,0,0,2,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20LPK_M_R,Bareland,0,1,0,5,6,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20LPK_M_R,Permanent_ice_and_snow,0,0,0,0,1,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20LPK_M_R,Cropland,2,0,0,0,3,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20LPK_M_R,Wetland,37,0,18,0,45,3,30,0,0,0,0,21
AMAZON_EXTENSION_2024_DynamicWorld_2024_20LPK_M_R,Built-up,1,0,3,0,2,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20LPK_M_R,Water,18,11,0,0,39,0,0,0,0,0,0,6
AMAZON_EXTENSION_2024_DynamicWorld_2024_20LPK_M_R,Forest,14,4,4,0,0,2,5,0,0,0,0,4
AMAZON_EXTENSION_2024_DynamicWorld_2024_20LPK_M_R,Grassland,0,1,7,0,8,3,2,0,0,0,0,4
AMAZON_EXTENSION_2024_DynamicWorld_2024_20LPK_M_R,Bareland,0,0,0,0,1,0,0,0,0,0,0,0
