Dataset,MajorityClass,Forest,Built-up,Grassland,Water,Bareland,Wetland,Non_Wetland,Non_Water,Shrubland,Cropland,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MEN_M_R,Grassland,26,1,0,23,28,84,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MEN_M_R,Non_Wetland,1,0,1,0,0,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MEN_M_R,Bareland,3,1,14,11,0,6,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MEN_M_R,Forest,0,3,174,222,76,430,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MEN_M_R,Shrubland,0,0,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MEN_M_R,Cropland,5,2,10,4,7,13,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MEN_M_R,Water,111,6,35,0,13,365,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MEN_M_R,Wetland,13,2,25,64,7,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MEN_M_R,Built-up,1,0,54,8,46,9,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MEN_M_R,Non_Wetland,0,0,2,0,0,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MEN_M_R,Forest,0,46,316,163,149,266,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MEN_M_R,Grassland,0,17,0,7,31,49,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MEN_M_R,Shrubland,0,0,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MEN_M_R,Cropland,0,6,12,1,15,7,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MEN_M_R,Wetland,6,7,68,62,55,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MEN_M_R,Water,31,32,137,0,130,140,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MEN_M_R,Bareland,0,3,2,7,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MEN_M_R,Built-up,0,0,17,6,30,10,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MEN_M_R,Grassland,0,0,0,69,0,0,0,10,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MEN_M_R,Wetland,0,0,0,175,0,0,0,54,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MEN_M_R,Cropland,0,0,0,10,0,0,0,2,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MEN_M_R,Built-up,0,0,0,27,0,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MEN_M_R,Water,0,0,0,0,0,0,0,145,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MEN_M_R,Forest,0,0,0,267,0,0,0,100,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MEN_M_R,Bareland,0,0,0,12,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MEN_M_R,Grassland,59,33,0,4,17,39,0,0,13,56,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MEN_M_R,Bareland,5,11,2,0,0,13,0,0,1,12,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MEN_M_R,Forest,0,69,93,73,127,200,0,0,48,122,8,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MEN_M_R,Wetland,6,2,1,0,4,0,0,0,2,5,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MEN_M_R,Water,112,28,53,0,93,293,0,0,8,50,3,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MEN_M_R,Built-up,19,0,8,9,3,15,0,0,3,38,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MEN_M_R,Cropland,5,1,0,0,0,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MEN_M_R,Grassland,29,43,0,21,1,0,0,0,0,29,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MEN_M_R,Wetland,103,18,0,96,14,0,0,0,0,28,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MEN_M_R,Bareland,2,12,0,10,0,0,0,0,0,2,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MEN_M_R,Built-up,1,0,0,0,0,0,0,0,0,4,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MEN_M_R,Forest,0,64,0,225,0,2,0,0,0,12,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MEN_M_R,Water,134,12,0,0,37,1,0,0,0,8,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MEN_M_R,Cropland,0,1,0,2,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19MEN_M_R,Water,447,0,30,0,77,10,0,0,0,20,0,9
AMAZON_EXTENSION_2024_DynamicWorld_2024_19MEN_M_R,Wetland,191,0,41,26,18,0,0,0,0,57,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19MEN_M_R,Forest,0,0,5,6,1,0,0,0,0,17,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19MEN_M_R,Built-up,35,0,2,2,2,0,0,0,0,4,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19MEN_M_R,Grassland,99,0,0,7,1,0,0,0,0,20,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19MEN_M_R,Cropland,3,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19MEN_M_R,Bareland,3,0,0,0,0,0,0,0,0,0,0,0
