Dataset,MajorityClass,Grassland,Cropland,Forest,Wetland,Bareland,Built-up,Water,Non_Wetland,Shrubland,Non_Water,Lichens_and_Mosses
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23MPP_M_R,Shrubland,26,19,57,0,5,20,0,0,0,0,1
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23MPP_M_R,Grassland,0,623,178,2,1,181,38,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23MPP_M_R,Built-up,0,38,3,4,3,0,4,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23MPP_M_R,Forest,0,689,0,40,0,501,216,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23MPP_M_R,Shrubland,0,170,62,2,0,97,20,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23MPP_M_R,Bareland,0,198,10,0,0,123,3,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23MPP_M_R,Wetland,0,72,17,0,0,4,61,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23MPP_M_R,Cropland,0,0,71,0,6,148,1,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23MPP_M_R,Water,0,60,24,13,0,14,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_23MPP_M_R,Forest,242,311,0,75,115,0,158,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_23MPP_M_R,Shrubland,81,111,130,20,50,0,52,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_23MPP_M_R,Wetland,96,15,132,0,3,0,67,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_23MPP_M_R,Cropland,158,0,102,0,168,0,7,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_23MPP_M_R,Bareland,9,63,24,0,0,0,5,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_23MPP_M_R,Water,37,3,106,30,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_23MPP_M_R,Built-up,9,143,156,0,10,0,3,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_23MPP_M_R,Grassland,0,200,182,30,105,0,69,0,0,0,0
