Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22NBJ_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22NBJ_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22NBJ_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22NBJ_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22NBJ_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22NBJ_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22NBJ_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22NBJ_M_R
30,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Forest
31,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
32,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
33,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
34,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
35,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
36,NULL,Forest,Water,NULL,Water,NULL,NULL,Forest
37,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
38,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
39,NULL,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
40,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
41,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
42,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
43,Grassland,Water,Wetland,Non_Water,Wetland,NULL,NULL,Water
44,Grassland,Water,Forest,NULL,Non_Wetland,NULL,NULL,Water
45,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
46,Grassland,Forest,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
47,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
48,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
49,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
50,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
51,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
52,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
53,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
54,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
55,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
56,Cropland,Water,Wetland,NULL,Wetland,NULL,NULL,Forest
57,Cropland,Water,Wetland,Non_Water,Wetland,NULL,NULL,Water
58,Cropland,Water,Water,NULL,Water,NULL,NULL,Forest
59,Cropland,Water,Forest,NULL,Non_Wetland,NULL,NULL,Water
60,Cropland,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
61,Cropland,Water,Forest,Water,Non_Wetland,NULL,NULL,Water
62,Cropland,Water,Forest,Water,Non_Wetland,NULL,NULL,Forest
63,Cropland,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Forest
64,Cropland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
65,Cropland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
66,Cropland,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
67,Cropland,Forest,Water,NULL,Water,NULL,NULL,Forest
68,Cropland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
69,Cropland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
70,Wetland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
71,Wetland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
72,Wetland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
73,Wetland,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
74,Wetland,NULL,Wetland,NULL,Wetland,NULL,NULL,Bareland
75,Wetland,NULL,Wetland,NULL,Wetland,NULL,NULL,Water
76,Wetland,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
77,Wetland,NULL,Wetland,Water,Wetland,NULL,NULL,Water
78,Wetland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
79,Wetland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Water
80,Wetland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
81,Wetland,Wetland,Wetland,NULL,Wetland,NULL,NULL,Forest
82,Wetland,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Forest
83,Wetland,Wetland,Wetland,Water,Wetland,NULL,NULL,Forest
84,Wetland,Wetland,Water,NULL,Water,NULL,NULL,Bareland
85,Wetland,Wetland,Water,Water,Water,NULL,NULL,Bareland
86,Wetland,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
87,Wetland,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
88,Wetland,Water,Wetland,NULL,Wetland,NULL,NULL,Grassland
89,Wetland,Water,Wetland,NULL,Wetland,NULL,NULL,Bareland
90,Wetland,Water,Wetland,NULL,Wetland,NULL,NULL,Water
91,Wetland,Water,Wetland,NULL,Wetland,NULL,NULL,Forest
92,Wetland,Water,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
93,Wetland,Water,Wetland,Non_Water,Wetland,NULL,NULL,Water
94,Wetland,Water,Wetland,Non_Water,Wetland,NULL,NULL,Forest
95,Wetland,Water,Wetland,Water,Wetland,NULL,NULL,Bareland
96,Wetland,Water,Wetland,Water,Wetland,NULL,NULL,Water
97,Wetland,Water,Wetland,Water,Wetland,NULL,NULL,Forest
98,Wetland,Water,Water,NULL,Water,NULL,NULL,Grassland
99,Wetland,Water,Water,NULL,Water,NULL,NULL,Bareland
100,Wetland,Water,Water,NULL,Water,NULL,NULL,Water
101,Wetland,Water,Water,NULL,Water,NULL,NULL,Forest
102,Wetland,Water,Water,Non_Water,Water,NULL,NULL,Bareland
103,Wetland,Water,Water,Water,Water,NULL,NULL,Grassland
104,Wetland,Water,Water,Water,Water,NULL,NULL,Bareland
105,Wetland,Water,Water,Water,Water,NULL,NULL,Water
106,Wetland,Water,Water,Water,Water,NULL,NULL,Forest
107,Wetland,Water,Forest,NULL,Non_Wetland,NULL,NULL,Water
108,Wetland,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
109,Wetland,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
110,Wetland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
111,Wetland,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
112,Wetland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
113,Bareland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
114,Bareland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
115,Bareland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
116,Bareland,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
117,Bareland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
118,Bareland,Water,Wetland,NULL,Wetland,NULL,NULL,Water
119,Bareland,Water,Wetland,NULL,Wetland,NULL,NULL,Forest
120,Bareland,Water,Water,Water,Water,NULL,NULL,Water
121,Bareland,Water,Water,Water,Water,NULL,NULL,Forest
122,Bareland,Water,Forest,NULL,Non_Wetland,NULL,NULL,Water
123,Bareland,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
124,Bareland,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
125,Bareland,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Forest
126,Bareland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
127,Bareland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
128,Bareland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
129,Water,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
130,Water,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
131,Water,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
132,Water,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
133,Water,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
134,Water,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
135,Water,NULL,Wetland,NULL,Wetland,NULL,NULL,Water
136,Water,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
137,Water,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
138,Water,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
139,Water,NULL,Water,NULL,Water,NULL,NULL,Grassland
140,Water,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
141,Water,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Water
142,Water,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
143,Water,Wetland,Wetland,NULL,Wetland,NULL,NULL,Forest
144,Water,Water,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
145,Water,Water,NULL,NULL,Non_Wetland,NULL,NULL,Water
146,Water,Water,NULL,NULL,Non_Wetland,NULL,NULL,Forest
147,Water,Water,NULL,Non_Water,Non_Wetland,NULL,NULL,Water
148,Water,Water,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
149,Water,Water,NULL,Water,Non_Wetland,NULL,NULL,Water
150,Water,Water,NULL,Water,Non_Wetland,NULL,NULL,Forest
151,Water,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
152,Water,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
153,Water,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
154,Water,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
155,Water,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
156,Water,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
157,Water,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
158,Water,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Water
159,Water,Water,Wetland,NULL,Wetland,NULL,NULL,Grassland
160,Water,Water,Wetland,NULL,Wetland,NULL,NULL,Wetland
161,Water,Water,Wetland,NULL,Wetland,NULL,NULL,Bareland
162,Water,Water,Wetland,NULL,Wetland,NULL,NULL,Water
163,Water,Water,Wetland,NULL,Wetland,NULL,NULL,Forest
164,Water,Water,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
165,Water,Water,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
166,Water,Water,Wetland,Non_Water,Wetland,NULL,NULL,Water
167,Water,Water,Wetland,Non_Water,Wetland,NULL,NULL,Forest
168,Water,Water,Wetland,Water,Wetland,NULL,NULL,Grassland
169,Water,Water,Wetland,Water,Wetland,NULL,NULL,Bareland
170,Water,Water,Wetland,Water,Wetland,NULL,NULL,Water
171,Water,Water,Wetland,Water,Wetland,NULL,NULL,Forest
172,Water,Water,Water,NULL,Water,NULL,NULL,Grassland
173,Water,Water,Water,NULL,Water,NULL,NULL,Bareland
174,Water,Water,Water,NULL,Water,NULL,NULL,Water
175,Water,Water,Water,NULL,Water,NULL,NULL,Forest
176,Water,Water,Water,Non_Water,Water,NULL,NULL,Grassland
177,Water,Water,Water,Non_Water,Water,NULL,NULL,Water
178,Water,Water,Water,Non_Water,Water,NULL,NULL,Forest
179,Water,Water,Water,Water,Water,NULL,NULL,Grassland
180,Water,Water,Water,Water,Water,NULL,NULL,Bareland
181,Water,Water,Water,Water,Water,NULL,NULL,Water
182,Water,Water,Water,Water,Water,NULL,NULL,Forest
183,Water,Water,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
184,Water,Water,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
185,Water,Water,Forest,NULL,Non_Wetland,NULL,NULL,Water
186,Water,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
187,Water,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
188,Water,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Bareland
189,Water,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
190,Water,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
191,Water,Water,Forest,Water,Non_Wetland,NULL,NULL,Grassland
192,Water,Water,Forest,Water,Non_Wetland,NULL,NULL,Water
193,Water,Water,Forest,Water,Non_Wetland,NULL,NULL,Forest
194,Water,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
195,Water,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Forest
196,Water,Forest,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
197,Water,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
198,Water,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
199,Water,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
200,Water,Forest,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
201,Water,Forest,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
202,Water,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
203,Water,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
204,Water,Forest,Wetland,NULL,Wetland,NULL,NULL,Grassland
205,Water,Forest,Wetland,NULL,Wetland,NULL,NULL,Bareland
206,Water,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
207,Water,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Forest
208,Water,Forest,Wetland,Water,Wetland,NULL,NULL,Forest
209,Water,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
210,Water,Forest,Water,NULL,Water,NULL,NULL,Grassland
211,Water,Forest,Water,NULL,Water,NULL,NULL,Forest
212,Water,Forest,Water,Non_Water,Water,NULL,NULL,Grassland
213,Water,Forest,Water,Non_Water,Water,NULL,NULL,Forest
214,Water,Forest,Water,Water,Water,NULL,NULL,Forest
215,Water,Forest,Forest,NULL,Non_Wetland,NULL,NULL,NULL
216,Water,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
217,Water,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
218,Water,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Water
219,Water,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
220,Water,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
221,Water,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
222,Water,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
223,Water,Forest,Forest,Water,Non_Wetland,NULL,NULL,Forest
224,Permanent_ice_and_snow,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
225,Permanent_ice_and_snow,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
226,Permanent_ice_and_snow,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
227,Permanent_ice_and_snow,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
228,Permanent_ice_and_snow,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
229,Permanent_ice_and_snow,Water,Wetland,NULL,Wetland,NULL,NULL,Water
230,Permanent_ice_and_snow,Water,Wetland,NULL,Wetland,NULL,NULL,Forest
231,Permanent_ice_and_snow,Water,Water,NULL,Water,NULL,NULL,Water
232,Permanent_ice_and_snow,Water,Water,Non_Water,Water,NULL,NULL,Water
233,Permanent_ice_and_snow,Water,Water,Water,Water,NULL,NULL,Forest
234,Permanent_ice_and_snow,Water,Forest,NULL,Non_Wetland,NULL,NULL,Water
235,Permanent_ice_and_snow,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
236,Permanent_ice_and_snow,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
237,Permanent_ice_and_snow,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
238,Permanent_ice_and_snow,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Forest
239,Permanent_ice_and_snow,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
240,Permanent_ice_and_snow,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
241,Permanent_ice_and_snow,Forest,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
242,Permanent_ice_and_snow,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
243,Permanent_ice_and_snow,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
244,Permanent_ice_and_snow,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
245,Permanent_ice_and_snow,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
246,Forest,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
247,Forest,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
248,Forest,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
249,Forest,NULL,Wetland,NULL,Wetland,NULL,NULL,Bareland
250,Forest,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
251,Forest,NULL,Water,NULL,Water,NULL,NULL,Forest
252,Forest,NULL,Water,Non_Water,Water,NULL,NULL,Grassland
253,Forest,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
254,Forest,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
255,Forest,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Water
256,Forest,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
257,Forest,Wetland,Wetland,NULL,Wetland,NULL,NULL,Forest
258,Forest,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Forest
259,Forest,Wetland,Water,Non_Water,Water,NULL,NULL,Forest
260,Forest,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
261,Forest,Water,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
262,Forest,Water,NULL,NULL,Non_Wetland,NULL,NULL,Water
263,Forest,Water,NULL,NULL,Non_Wetland,NULL,NULL,Forest
264,Forest,Water,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
265,Forest,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
266,Forest,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
267,Forest,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
268,Forest,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
269,Forest,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
270,Forest,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
271,Forest,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Water
272,Forest,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
273,Forest,Water,Wetland,NULL,Wetland,NULL,NULL,Grassland
274,Forest,Water,Wetland,NULL,Wetland,NULL,NULL,Wetland
275,Forest,Water,Wetland,NULL,Wetland,NULL,NULL,Bareland
276,Forest,Water,Wetland,NULL,Wetland,NULL,NULL,Water
277,Forest,Water,Wetland,NULL,Wetland,NULL,NULL,Forest
278,Forest,Water,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
279,Forest,Water,Wetland,Non_Water,Wetland,NULL,NULL,Water
280,Forest,Water,Wetland,Non_Water,Wetland,NULL,NULL,Forest
281,Forest,Water,Wetland,Water,Wetland,NULL,NULL,Grassland
282,Forest,Water,Wetland,Water,Wetland,NULL,NULL,Water
283,Forest,Water,Wetland,Water,Wetland,NULL,NULL,Forest
284,Forest,Water,Water,NULL,Water,NULL,NULL,Grassland
285,Forest,Water,Water,NULL,Water,NULL,NULL,Water
286,Forest,Water,Water,NULL,Water,NULL,NULL,Forest
287,Forest,Water,Water,Non_Water,Water,NULL,NULL,Grassland
288,Forest,Water,Water,Non_Water,Water,NULL,NULL,Water
289,Forest,Water,Water,Non_Water,Water,NULL,NULL,Forest
290,Forest,Water,Water,Water,Water,NULL,NULL,Grassland
291,Forest,Water,Water,Water,Water,NULL,NULL,Water
292,Forest,Water,Water,Water,Water,NULL,NULL,Forest
293,Forest,Water,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
294,Forest,Water,Forest,NULL,Non_Wetland,NULL,NULL,Water
295,Forest,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
296,Forest,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
297,Forest,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
298,Forest,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
299,Forest,Water,Forest,Water,Non_Wetland,NULL,NULL,Water
300,Forest,Water,Forest,Water,Non_Wetland,NULL,NULL,Forest
301,Forest,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
302,Forest,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Forest
303,Forest,Forest,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
304,Forest,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
305,Forest,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
306,Forest,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
307,Forest,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
308,Forest,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
309,Forest,Forest,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
310,Forest,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
311,Forest,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
312,Forest,Forest,Wetland,NULL,Wetland,NULL,NULL,NULL
313,Forest,Forest,Wetland,NULL,Wetland,NULL,NULL,Grassland
314,Forest,Forest,Wetland,NULL,Wetland,NULL,NULL,Bareland
315,Forest,Forest,Wetland,NULL,Wetland,NULL,NULL,Water
316,Forest,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
317,Forest,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Water
318,Forest,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Forest
319,Forest,Forest,Wetland,Water,Wetland,NULL,NULL,Forest
320,Forest,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
321,Forest,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
322,Forest,Forest,Water,NULL,Water,NULL,NULL,Water
323,Forest,Forest,Water,NULL,Water,NULL,NULL,Forest
324,Forest,Forest,Water,Non_Water,Water,NULL,NULL,Forest
325,Forest,Forest,Water,Water,Water,NULL,NULL,Grassland
326,Forest,Forest,Water,Water,Water,NULL,NULL,Water
327,Forest,Forest,Water,Water,Water,NULL,NULL,Forest
328,Forest,Forest,Forest,NULL,Non_Wetland,NULL,NULL,NULL
329,Forest,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
330,Forest,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
331,Forest,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Water
332,Forest,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
333,Forest,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
334,Forest,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
335,Forest,Forest,Forest,Water,Non_Wetland,NULL,NULL,Forest
