Dataset,MajorityClass,Grassland,Cropland,Bareland,Forest,Water,Built-up,Wetland,Shrubland,Non_Wetland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KGG_M_R,Built-up,219,42,367,101,0,0,43,130,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KGG_M_R,Wetland,14,0,41,14,17,0,0,55,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KGG_M_R,Cropland,547,0,539,270,8,290,99,336,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KGG_M_R,Permanent_ice_and_snow,1,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KGG_M_R,Grassland,0,0,0,0,29,0,36,0,199,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KGG_M_R,Wetland,0,0,0,0,7,0,0,0,141,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KGG_M_R,Forest,0,0,0,0,197,0,198,0,882,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KGG_M_R,Shrubland,0,0,0,0,0,0,0,0,95,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KGG_M_R,Cropland,0,0,0,0,35,0,15,0,227,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KGG_M_R,Bareland,0,0,0,0,41,0,1,0,10,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KGG_M_R,Built-up,0,0,0,0,26,0,6,0,65,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KGG_M_R,Water,0,0,0,0,0,0,320,0,396,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KGG_M_R,Forest,0,0,0,0,334,0,0,0,0,276,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KGG_M_R,Grassland,0,0,0,0,74,0,0,0,0,48,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KGG_M_R,Shrubland,0,0,0,0,37,0,0,0,0,21,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KGG_M_R,Cropland,0,0,0,0,72,0,0,0,0,44,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KGG_M_R,Water,0,0,0,0,0,0,0,0,0,612,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KGG_M_R,Bareland,0,0,0,0,18,0,0,0,0,6,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KGG_M_R,Wetland,0,0,0,0,37,0,0,0,0,43,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KGG_M_R,Built-up,0,0,0,0,26,0,0,0,0,12,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KGG_M_R,Grassland,0,590,5,243,29,136,36,550,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KGG_M_R,Bareland,0,362,0,67,41,178,1,298,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KGG_M_R,Built-up,1,370,3,119,26,0,6,340,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KGG_M_R,Water,0,796,115,412,0,77,320,749,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KGG_M_R,Forest,12,1164,53,0,197,295,198,1201,0,0,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KGG_M_R,Cropland,1,0,2,327,35,245,15,619,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KGG_M_R,Wetland,0,22,0,36,7,1,0,48,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KGG_M_R,Shrubland,0,43,2,22,0,10,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KGG_M_R,Permanent_ice_and_snow,0,2,0,0,0,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KGG_M_R,Grassland,0,605,3,185,124,191,4,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KGG_M_R,Wetland,0,109,0,16,30,14,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KGG_M_R,Bareland,0,315,0,40,67,249,1,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KGG_M_R,Forest,0,948,2,0,655,722,15,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KGG_M_R,Shrubland,0,223,0,87,62,118,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KGG_M_R,Built-up,0,158,7,15,12,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KGG_M_R,Water,0,559,2,113,0,139,7,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KGG_M_R,Cropland,0,0,6,164,49,299,1,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KGG_M_R,Permanent_ice_and_snow,0,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22KGG_M_R,Forest,218,191,156,0,183,0,18,0,0,0,0,3
AMAZON_EXTENSION_2024_DynamicWorld_2024_22KGG_M_R,Shrubland,73,71,70,210,66,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22KGG_M_R,Cropland,224,0,260,280,93,0,19,0,0,0,0,8
AMAZON_EXTENSION_2024_DynamicWorld_2024_22KGG_M_R,Bareland,16,30,0,55,28,0,1,0,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_22KGG_M_R,Built-up,63,204,180,297,67,0,0,0,0,0,0,3
AMAZON_EXTENSION_2024_DynamicWorld_2024_22KGG_M_R,Water,56,35,47,625,0,0,47,0,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_22KGG_M_R,Wetland,12,3,3,73,55,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22KGG_M_R,Grassland,0,82,98,151,65,0,8,0,0,0,0,0
