Dataset,MajorityClass,Grassland,Forest,Built-up,Cropland,Bareland,Wetland,Water,Shrubland,Non_Wetland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MGT_M_R,Forest,1057,0,154,0,206,620,245,337,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MGT_M_R,Non_Water,1,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MGT_M_R,Permanent_ice_and_snow,0,0,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MGT_M_R,Grassland,0,65,81,111,364,180,155,306,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MGT_M_R,Non_Wetland,2,0,0,2,3,8,2,4,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MGT_M_R,Wetland,222,29,20,19,229,0,237,137,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MGT_M_R,Forest,679,0,114,108,509,343,248,517,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MGT_M_R,Non_Water,0,0,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MGT_M_R,Water,298,97,65,14,304,297,0,207,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MGT_M_R,Shrubland,45,7,23,10,45,20,10,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MGT_M_R,Bareland,50,0,9,7,0,5,86,31,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MGT_M_R,Built-up,127,17,0,11,193,18,35,105,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MGT_M_R,Cropland,193,13,35,0,218,10,27,120,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MGT_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MGT_M_R,Wetland,0,0,0,0,0,0,26,0,189,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MGT_M_R,Grassland,0,0,0,0,0,120,44,0,455,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MGT_M_R,Forest,0,0,0,0,0,322,124,0,873,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MGT_M_R,Shrubland,0,0,0,0,0,0,0,0,61,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MGT_M_R,Bareland,0,0,0,0,0,147,26,0,32,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MGT_M_R,Cropland,0,0,0,0,0,7,2,0,77,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MGT_M_R,Built-up,0,0,0,0,0,41,10,0,56,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MGT_M_R,Water,0,0,0,0,0,629,0,0,298,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MGT_M_R,Grassland,0,0,0,0,0,0,132,0,0,61,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MGT_M_R,Water,0,0,0,0,0,0,0,0,0,437,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MGT_M_R,Shrubland,0,0,0,0,0,0,8,0,0,6,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MGT_M_R,Bareland,0,0,0,0,0,0,96,0,0,53,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MGT_M_R,Cropland,0,0,0,0,0,0,12,0,0,3,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MGT_M_R,Wetland,0,0,0,0,0,0,322,0,0,253,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MGT_M_R,Forest,0,0,0,0,0,0,225,0,0,163,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MGT_M_R,Built-up,0,0,0,0,0,0,34,0,0,21,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MGT_M_R,Grassland,0,342,82,210,87,120,44,440,0,0,10,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MGT_M_R,Forest,415,0,113,169,112,322,124,535,0,0,9,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MGT_M_R,Wetland,10,63,3,2,21,0,26,49,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MGT_M_R,Bareland,48,62,103,146,0,147,26,154,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MGT_M_R,Built-up,90,104,0,113,12,41,10,213,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MGT_M_R,Cropland,112,139,31,0,7,7,2,167,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MGT_M_R,Water,101,278,25,55,131,629,0,311,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MGT_M_R,Shrubland,8,10,7,11,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MGT_M_R,Permanent_ice_and_snow,0,0,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MGT_M_R,Grassland,0,243,235,495,14,26,128,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MGT_M_R,Forest,0,0,448,284,0,65,325,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MGT_M_R,Bareland,0,65,126,61,0,0,41,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MGT_M_R,Water,0,67,92,54,60,54,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MGT_M_R,Shrubland,0,24,77,33,0,0,18,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MGT_M_R,Built-up,0,13,0,13,7,0,5,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MGT_M_R,Wetland,0,133,106,30,37,0,239,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MGT_M_R,Cropland,0,18,41,0,1,0,4,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MGT_M_R,Permanent_ice_and_snow,0,0,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22MGT_M_R,Forest,79,0,0,130,32,8,44,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22MGT_M_R,Shrubland,17,82,0,48,10,0,16,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22MGT_M_R,Wetland,59,539,0,54,39,0,120,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22MGT_M_R,Cropland,37,39,0,0,69,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22MGT_M_R,Built-up,12,123,0,106,53,3,34,0,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_22MGT_M_R,Water,36,515,0,28,113,58,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22MGT_M_R,Bareland,6,32,0,17,0,0,14,0,0,0,0,5
AMAZON_EXTENSION_2024_DynamicWorld_2024_22MGT_M_R,Grassland,0,345,0,199,133,13,97,0,0,0,0,1
