Dataset,MajorityClass,Grassland,Wetland,Bareland,Water,Forest,Cropland,Built-up,Shrubland,Non_Wetland,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MDE_M_R,Bareland,53,7,0,6,12,0,36,52,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MDE_M_R,Built-up,46,16,11,6,18,0,0,48,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MDE_M_R,Forest,117,90,81,27,0,14,72,103,0,19,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MDE_M_R,Cropland,34,6,8,1,18,0,17,28,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MDE_M_R,Water,59,80,53,0,39,1,59,58,0,17,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MDE_M_R,Permanent_ice_and_snow,1,0,2,0,4,0,0,5,0,1,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MDE_M_R,Wetland,0,0,3,92,132,115,79,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MDE_M_R,Grassland,0,23,1,9,67,71,49,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MDE_M_R,Bareland,0,5,0,9,34,15,40,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MDE_M_R,Built-up,0,0,4,3,3,7,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MDE_M_R,Water,0,59,3,0,75,41,41,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MDE_M_R,Forest,0,21,1,75,0,37,75,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MDE_M_R,Shrubland,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MDE_M_R,Cropland,0,0,0,3,10,0,7,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MDE_M_R,Permanent_ice_and_snow,0,0,0,0,7,0,1,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22MDE_M_R,Wetland,101,0,39,113,175,72,0,0,0,0,32
AMAZON_EXTENSION_2024_DynamicWorld_2024_22MDE_M_R,Water,26,41,4,0,104,3,0,0,0,0,2
AMAZON_EXTENSION_2024_DynamicWorld_2024_22MDE_M_R,Shrubland,2,0,0,0,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22MDE_M_R,Bareland,6,3,0,5,36,13,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22MDE_M_R,Built-up,15,1,11,11,61,25,0,0,0,0,5
AMAZON_EXTENSION_2024_DynamicWorld_2024_22MDE_M_R,Forest,26,2,9,36,0,24,0,0,0,0,26
AMAZON_EXTENSION_2024_DynamicWorld_2024_22MDE_M_R,Grassland,0,7,11,17,36,19,0,0,0,0,3
