Dataset,MajorityClass,Built-up,Water,Wetland,Forest,Bareland,Grassland,Cropland,Non_Wetland,Shrubland,Lichens_and_Mosses,Non_Water
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MZA_M_R,Built-up,0,6,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MZA_M_R,Cropland,0,1,5,0,0,0,0,2,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MZA_M_R,Bareland,1,13,18,4,0,1,0,0,9,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MZA_M_R,Built-up,0,6,0,12,9,10,1,0,44,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MZA_M_R,Forest,49,79,157,0,104,98,55,0,205,9,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MZA_M_R,Water,29,0,224,86,79,49,23,0,95,6,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MZA_M_R,Cropland,0,1,5,8,5,4,0,0,17,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MZA_M_R,Wetland,1,6,0,9,2,1,0,0,11,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MZA_M_R,Grassland,4,7,11,14,9,0,6,0,29,1,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MZA_M_R,Shrubland,0,1,0,0,0,0,0,0,0,0,1
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MZA_M_R,Wetland,0,78,0,0,0,0,0,0,0,0,64
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MZA_M_R,Lichens_and_Mosses,0,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MZA_M_R,Bareland,0,9,0,0,0,0,0,0,0,0,14
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MZA_M_R,Water,0,0,0,0,0,0,0,0,0,0,249
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MZA_M_R,Forest,0,236,0,0,0,0,0,0,0,0,169
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MZA_M_R,Built-up,0,19,0,0,0,0,0,0,0,0,5
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MZA_M_R,Grassland,0,23,0,0,0,0,0,0,0,0,16
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MZA_M_R,Cropland,0,11,0,0,0,0,0,0,0,0,5
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MZA_M_R,Wetland,15,35,0,35,13,0,11,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MZA_M_R,Water,46,0,35,146,55,0,12,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MZA_M_R,Forest,69,177,38,0,3,0,12,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MZA_M_R,Grassland,23,15,15,18,0,0,7,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MZA_M_R,Built-up,0,0,0,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MZA_M_R,Cropland,4,0,0,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MZA_M_R,Bareland,1,5,0,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18MZA_M_R,Water,0,0,8,397,107,59,79,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18MZA_M_R,Forest,0,15,2,0,4,22,18,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18MZA_M_R,Wetland,0,24,0,75,14,30,37,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18MZA_M_R,Built-up,0,0,0,18,3,1,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18MZA_M_R,Grassland,0,1,0,19,0,0,3,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18MZA_M_R,Bareland,0,0,0,4,0,0,0,0,0,0,0
