Dataset,MajorityClass,Cropland,Bareland,Forest,Built-up,Water,Wetland,Grassland,Non_Wetland,Shrubland,Lichens_and_Mosses,Non_Water,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KBU_M_R,Shrubland,7,6,5,6,0,8,5,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KBU_M_R,Built-up,19,42,13,0,0,13,32,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KBU_M_R,Cropland,0,75,70,75,16,87,89,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KBU_M_R,Lichens_and_Mosses,0,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KBU_M_R,Wetland,1,0,17,0,16,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KBU_M_R,Grassland,167,9,106,66,5,4,0,0,123,7,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KBU_M_R,Bareland,63,0,12,50,3,0,0,0,16,2,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KBU_M_R,Built-up,44,2,15,0,1,0,4,0,25,1,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KBU_M_R,Forest,214,46,0,72,32,52,70,0,130,1,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KBU_M_R,Cropland,0,16,93,68,7,1,22,0,88,5,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KBU_M_R,Wetland,33,2,39,0,0,0,2,0,19,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KBU_M_R,Water,262,80,191,68,0,88,40,0,75,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KBU_M_R,Shrubland,0,0,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KBU_M_R,Cropland,0,0,0,0,49,0,0,0,0,0,25,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KBU_M_R,Water,0,0,0,0,0,0,0,0,0,0,215,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KBU_M_R,Grassland,0,0,0,0,19,0,0,0,0,0,6,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KBU_M_R,Bareland,0,0,0,0,5,0,0,0,0,0,5,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KBU_M_R,Built-up,0,0,0,0,13,0,0,0,0,0,3,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KBU_M_R,Wetland,0,0,0,0,25,0,0,0,0,0,35,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KBU_M_R,Forest,0,0,0,0,107,0,0,0,0,0,78,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22KBU_M_R,Built-up,64,11,52,0,27,0,29,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22KBU_M_R,Forest,97,6,0,0,91,17,48,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22KBU_M_R,Cropland,0,13,53,0,28,0,30,0,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_22KBU_M_R,Wetland,29,2,91,0,64,0,28,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22KBU_M_R,Bareland,21,0,13,0,20,0,3,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22KBU_M_R,Water,96,12,132,0,0,23,9,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22KBU_M_R,Grassland,80,3,87,0,19,0,0,0,0,0,0,0
