Dataset,MajorityClass,Non_Wetland,Wetland,Water,Forest,Bareland,Shrubland,Grassland,Built-up,Cropland,Non_Water,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_22NDJ_M_R,Grassland,0,35,0,81,3,0,0,3,2,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22NDJ_M_R,Cropland,0,6,0,10,0,0,15,2,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22NDJ_M_R,Forest,0,91,22,0,15,0,228,29,2,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22NDJ_M_R,Built-up,0,2,0,30,2,0,22,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22NDJ_M_R,Permanent_ice_and_snow,0,0,0,2,0,0,3,1,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22NDJ_M_R,Wetland,0,0,259,0,0,0,0,0,0,191,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22NDJ_M_R,Shrubland,0,0,2,0,0,0,0,0,0,1,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22NDJ_M_R,Bareland,0,0,17,0,0,0,0,0,0,8,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22NDJ_M_R,Water,0,0,0,0,0,0,0,0,0,193,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22NDJ_M_R,Forest,0,0,83,0,0,0,0,0,0,56,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22NDJ_M_R,Grassland,0,0,16,0,0,0,0,0,0,1,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22NDJ_M_R,Cropland,0,0,1,0,0,0,0,0,0,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22NDJ_M_R,Wetland,0,0,62,158,0,269,53,2,25,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22NDJ_M_R,Forest,0,157,45,0,0,327,83,7,16,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22NDJ_M_R,Grassland,0,14,2,98,0,181,0,3,15,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22NDJ_M_R,Bareland,0,13,3,14,0,71,1,0,3,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22NDJ_M_R,Water,0,328,0,212,4,192,11,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22NDJ_M_R,Cropland,0,0,0,4,0,26,1,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22NDJ_M_R,Built-up,0,2,0,14,0,33,6,0,5,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22NDJ_M_R,Permanent_ice_and_snow,0,0,0,0,0,6,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22NDJ_M_R,Grassland,0,6,4,103,0,0,0,34,7,0,0
