Dataset,MajorityClass,Grassland,Forest,Cropland,Built-up,Water,Bareland,Wetland,Shrubland,Non_Wetland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23MPQ_M_R,Forest,0,0,640,631,368,2,270,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23MPQ_M_R,Shrubland,0,59,97,89,6,0,3,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23MPQ_M_R,Bareland,0,79,242,179,12,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23MPQ_M_R,Built-up,0,15,41,0,1,2,2,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23MPQ_M_R,Wetland,0,34,50,37,87,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23MPQ_M_R,Water,0,19,32,36,0,1,124,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23MPQ_M_R,Cropland,0,99,0,85,3,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_23MPQ_M_R,Forest,223,0,321,0,218,192,167,0,0,0,0,5
AMAZON_EXTENSION_2024_DynamicWorld_2024_23MPQ_M_R,Shrubland,38,107,62,0,25,51,11,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_23MPQ_M_R,Cropland,150,102,0,0,5,205,38,0,0,0,0,2
AMAZON_EXTENSION_2024_DynamicWorld_2024_23MPQ_M_R,Bareland,12,41,18,0,14,0,0,0,0,0,0,9
AMAZON_EXTENSION_2024_DynamicWorld_2024_23MPQ_M_R,Built-up,10,203,49,0,7,62,1,0,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_23MPQ_M_R,Water,16,118,6,0,0,11,42,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_23MPQ_M_R,Wetland,32,117,18,0,141,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_23MPQ_M_R,Grassland,0,286,183,0,157,153,108,0,0,0,0,12
