Dataset,MajorityClass,Cropland,Forest,Wetland,Built-up,Bareland,Grassland,Water,Non_Wetland,Shrubland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24LZP_M_R,Cropland,0,168,14,52,19,164,1,0,188,0,10,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24LZP_M_R,Bareland,129,18,72,112,0,28,20,0,56,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24LZP_M_R,Water,54,137,231,44,27,61,0,0,78,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24LZP_M_R,Permanent_ice_and_snow,2,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24LZP_M_R,Grassland,377,140,20,149,3,0,17,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24LZP_M_R,Wetland,146,179,0,119,2,0,186,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24LZP_M_R,Built-up,41,8,0,0,4,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24LZP_M_R,Bareland,58,15,0,54,0,0,101,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24LZP_M_R,Forest,298,0,39,152,0,0,143,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24LZP_M_R,Water,68,18,1,32,13,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24LZP_M_R,Cropland,0,37,0,42,0,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24LZP_M_R,Permanent_ice_and_snow,0,0,0,3,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24LZP_M_R,Shrubland,1,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_24LZP_M_R,Wetland,26,308,0,0,5,113,100,0,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_24LZP_M_R,Cropland,0,86,24,0,122,108,40,0,0,0,0,6
AMAZON_EXTENSION_2024_DynamicWorld_2024_24LZP_M_R,Forest,56,0,20,0,11,71,44,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_24LZP_M_R,Built-up,41,40,6,0,21,10,5,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_24LZP_M_R,Bareland,0,5,8,0,0,1,28,0,0,0,0,3
AMAZON_EXTENSION_2024_DynamicWorld_2024_24LZP_M_R,Water,4,71,32,0,43,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_24LZP_M_R,Grassland,102,166,58,0,73,0,10,0,0,0,0,10
AMAZON_EXTENSION_2024_DynamicWorld_2024_24LZP_M_R,Shrubland,0,1,0,0,0,0,0,0,0,0,0,0
