Dataset,MajorityClass,Forest,Wetland,Built-up,Bareland,Water,Grassland,Shrubland,Non_Wetland,Non_Water,Cropland,Lichens_and_Mosses
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MPA_M_R,Built-up,0,0,0,0,94,0,0,0,19,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MPA_M_R,Water,0,0,0,0,0,0,0,0,316,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MPA_M_R,Bareland,0,0,0,0,37,0,0,0,2,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MPA_M_R,Forest,0,0,0,0,379,0,0,0,116,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MPA_M_R,Cropland,0,0,0,0,11,0,0,0,1,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MPA_M_R,Forest,0,201,158,259,66,135,351,0,0,70,11
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MPA_M_R,Grassland,130,40,73,117,9,0,248,0,0,35,2
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MPA_M_R,Wetland,199,0,90,252,89,110,207,0,0,37,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MPA_M_R,Bareland,7,1,11,0,0,0,34,0,0,4,2
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MPA_M_R,Built-up,42,7,0,27,0,3,120,0,0,8,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MPA_M_R,Water,244,327,182,359,0,172,296,0,0,6,1
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MPA_M_R,Cropland,15,0,4,5,0,0,38,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MPA_M_R,Grassland,99,107,146,0,25,0,0,0,0,80,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MPA_M_R,Forest,0,188,288,0,223,0,0,0,0,45,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MPA_M_R,Wetland,315,0,199,2,202,0,0,0,0,52,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MPA_M_R,Built-up,0,1,0,0,1,0,0,0,0,2,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MPA_M_R,Bareland,9,3,61,0,2,0,0,0,0,1,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MPA_M_R,Water,285,448,235,25,0,0,0,0,0,21,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MPA_M_R,Cropland,0,0,17,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20MPA_M_R,Wetland,705,0,0,8,339,286,0,0,0,129,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20MPA_M_R,Forest,0,6,0,4,40,44,0,0,0,51,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20MPA_M_R,Water,571,104,0,8,0,146,0,0,0,39,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20MPA_M_R,Bareland,33,2,0,0,6,4,0,0,0,12,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20MPA_M_R,Built-up,57,1,0,2,10,1,0,0,0,13,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20MPA_M_R,Grassland,185,6,0,7,31,0,0,0,0,57,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20MPA_M_R,Shrubland,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20MPA_M_R,Cropland,1,0,0,0,0,0,0,0,0,0,0
