Dataset,MajorityClass,Grassland,Wetland,Shrubland,Bareland,Water,Forest,Built-up,Cropland,Non_Wetland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_22MGD_M_R,Water,556,654,0,208,0,658,79,10,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MGD_M_R,Shrubland,26,3,0,2,2,19,5,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MGD_M_R,Forest,831,192,0,72,152,0,166,1,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MGD_M_R,Permanent_ice_and_snow,4,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MGD_M_R,Wetland,0,0,0,0,98,0,0,0,1219,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MGD_M_R,Grassland,0,158,0,0,18,0,0,0,911,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MGD_M_R,Bareland,0,182,0,0,46,0,0,0,378,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MGD_M_R,Forest,0,491,0,0,116,0,0,0,1222,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MGD_M_R,Water,0,701,0,0,0,0,0,0,718,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MGD_M_R,Shrubland,0,0,0,0,0,0,0,0,30,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MGD_M_R,Built-up,0,133,0,0,17,0,0,0,277,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MGD_M_R,Cropland,0,116,0,0,4,0,0,0,334,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MGD_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,0,4,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MGD_M_R,Wetland,434,0,0,900,504,58,77,267,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MGD_M_R,Non_Wetland,2,5,0,7,2,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MGD_M_R,Bareland,40,64,0,0,19,3,135,64,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MGD_M_R,Forest,641,524,0,994,206,0,232,86,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MGD_M_R,Grassland,0,371,0,463,48,51,145,187,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MGD_M_R,Water,119,702,0,1170,0,167,131,43,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MGD_M_R,Shrubland,5,11,0,24,2,0,10,2,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MGD_M_R,Built-up,109,127,0,456,47,22,0,21,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MGD_M_R,Cropland,42,73,0,94,13,5,29,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MGD_M_R,Permanent_ice_and_snow,0,1,0,3,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MGD_M_R,Grassland,0,0,0,0,159,0,0,0,0,35,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MGD_M_R,Wetland,0,0,0,0,977,0,0,0,0,467,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MGD_M_R,Bareland,0,0,0,0,349,0,0,0,0,97,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MGD_M_R,Water,0,0,0,0,0,0,0,0,0,577,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MGD_M_R,Shrubland,0,0,0,0,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MGD_M_R,Built-up,0,0,0,0,168,0,0,0,0,61,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MGD_M_R,Forest,0,0,0,0,418,0,0,0,0,255,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MGD_M_R,Cropland,0,0,0,0,73,0,0,0,0,11,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MGD_M_R,Grassland,0,168,297,97,18,225,89,1,0,0,11,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MGD_M_R,Wetland,275,0,334,186,102,200,30,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MGD_M_R,Bareland,318,234,358,0,53,165,241,0,0,0,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MGD_M_R,Forest,570,657,372,269,220,0,213,0,0,0,19,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MGD_M_R,Built-up,203,191,223,73,23,113,0,0,0,0,2,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MGD_M_R,Water,293,990,356,262,0,231,222,0,0,0,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MGD_M_R,Cropland,144,116,179,44,4,121,28,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MGD_M_R,Permanent_ice_and_snow,1,0,3,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MGD_M_R,Grassland,0,70,0,16,111,220,353,410,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MGD_M_R,Wetland,0,0,0,36,461,341,376,605,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MGD_M_R,Bareland,0,41,0,0,183,145,421,63,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MGD_M_R,Forest,0,83,0,11,402,0,653,205,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MGD_M_R,Shrubland,0,0,0,0,0,0,0,2,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MGD_M_R,Built-up,0,0,0,12,14,26,0,19,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MGD_M_R,Water,0,188,0,94,0,216,470,135,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MGD_M_R,Cropland,0,7,0,0,1,11,20,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MGD_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22MGD_M_R,Forest,77,3,0,75,56,0,0,137,0,0,0,6
AMAZON_EXTENSION_2024_DynamicWorld_2024_22MGD_M_R,Cropland,56,3,0,35,14,42,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22MGD_M_R,Wetland,541,0,0,302,447,986,0,362,0,0,0,15
AMAZON_EXTENSION_2024_DynamicWorld_2024_22MGD_M_R,Bareland,30,11,0,0,136,177,0,43,0,0,0,66
AMAZON_EXTENSION_2024_DynamicWorld_2024_22MGD_M_R,Built-up,45,1,0,88,102,210,0,136,0,0,0,9
AMAZON_EXTENSION_2024_DynamicWorld_2024_22MGD_M_R,Water,145,190,0,216,0,675,0,79,0,0,0,20
AMAZON_EXTENSION_2024_DynamicWorld_2024_22MGD_M_R,Grassland,0,30,0,104,45,346,0,179,0,0,0,13
