Dataset,MajorityClass,Forest,Water,Wetland,Bareland,Built-up,Cropland,Grassland,Shrubland,Non_Wetland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MYS_M_R,Bareland,0,27,19,0,0,0,0,0,65,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MYS_M_R,Water,0,0,262,0,0,0,0,0,464,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MYS_M_R,Cropland,0,3,0,0,0,0,0,0,25,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MYS_M_R,Lichens_and_Mosses,0,0,0,0,0,0,0,0,1,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MYS_M_R,Built-up,0,21,3,0,0,0,0,0,38,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_18MYS_M_R,Non_Wetland,0,0,3,4,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_18MYS_M_R,Forest,0,469,398,772,120,0,923,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_18MYS_M_R,Grassland,33,233,83,500,97,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_18MYS_M_R,Non_Water,0,0,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_18MYS_M_R,Shrubland,0,3,3,6,1,0,5,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_18MYS_M_R,Water,133,0,123,737,216,0,699,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_18MYS_M_R,Bareland,0,193,0,0,30,0,20,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_18MYS_M_R,Cropland,5,34,9,99,30,0,64,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_18MYS_M_R,Wetland,10,53,0,32,5,0,64,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_18MYS_M_R,Lichens_and_Mosses,0,1,0,2,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_18MYS_M_R,Built-up,5,65,6,168,0,0,106,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_18MYS_M_R,Permanent_ice_and_snow,0,1,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MYS_M_R,Water,0,0,0,0,0,0,0,0,0,939,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MYS_M_R,Forest,0,421,0,0,0,0,0,0,0,522,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MYS_M_R,Grassland,0,207,0,0,0,0,0,0,0,213,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MYS_M_R,Shrubland,0,1,0,0,0,0,0,0,0,2,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MYS_M_R,Bareland,0,86,0,0,0,0,0,0,0,223,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MYS_M_R,Built-up,0,33,0,0,0,0,0,0,0,61,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MYS_M_R,Cropland,0,2,0,0,0,0,0,0,0,20,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MYS_M_R,Wetland,0,42,0,0,0,0,0,0,0,68,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MYS_M_R,Grassland,353,63,30,58,159,149,0,244,0,0,26,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MYS_M_R,Forest,0,184,234,225,192,178,408,274,0,0,88,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MYS_M_R,Wetland,19,1,0,5,4,1,8,12,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MYS_M_R,Bareland,95,27,19,0,91,23,188,53,0,0,46,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MYS_M_R,Built-up,89,21,3,25,0,44,141,36,0,0,22,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MYS_M_R,Water,561,0,262,268,228,44,473,304,0,0,86,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MYS_M_R,Cropland,36,3,0,3,22,0,31,26,0,0,2,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MYS_M_R,Grassland,211,236,136,24,303,403,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MYS_M_R,Forest,0,532,79,18,350,192,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MYS_M_R,Bareland,61,61,7,0,116,73,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MYS_M_R,Built-up,9,10,2,1,0,21,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MYS_M_R,Water,291,0,115,244,183,155,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MYS_M_R,Wetland,50,57,0,6,8,8,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MYS_M_R,Cropland,6,2,0,1,18,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MYS_M_R,Permanent_ice_and_snow,0,0,0,0,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18MYS_M_R,Bareland,78,31,6,0,0,62,22,0,0,0,0,9
AMAZON_EXTENSION_2024_DynamicWorld_2024_18MYS_M_R,Water,877,0,99,293,0,247,101,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18MYS_M_R,Forest,0,100,19,33,0,152,74,0,0,0,0,6
AMAZON_EXTENSION_2024_DynamicWorld_2024_18MYS_M_R,Wetland,134,26,0,2,0,11,37,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18MYS_M_R,Built-up,99,21,1,31,0,71,11,0,0,0,0,3
AMAZON_EXTENSION_2024_DynamicWorld_2024_18MYS_M_R,Cropland,3,3,0,3,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18MYS_M_R,Grassland,358,208,89,59,0,220,0,0,0,0,0,11
AMAZON_EXTENSION_2024_DynamicWorld_2024_18MYS_M_R,Shrubland,1,0,0,0,0,0,0,0,0,0,0,0
