Dataset,MajorityClass,Grassland,Wetland,Bareland,Built-up,Forest,Water,Cropland,Non_Wetland,Non_Water,Shrubland,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18NVG_M_R,Cropland,0,0,0,0,0,1,0,2,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18NVG_M_R,Bareland,0,23,0,0,0,14,0,38,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18NVG_M_R,Shrubland,0,0,0,0,0,4,0,0,1,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18NVG_M_R,Grassland,0,0,0,0,0,68,0,0,29,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18NVG_M_R,Cropland,0,0,0,0,0,12,0,0,9,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18NVG_M_R,Wetland,0,0,0,0,0,86,0,0,36,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18NVG_M_R,Bareland,0,0,0,0,0,91,0,0,62,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18NVG_M_R,Built-up,0,0,0,0,0,11,0,0,3,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18NVG_M_R,Water,0,0,0,0,0,0,0,0,186,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18NVG_M_R,Forest,0,0,0,0,0,100,0,0,62,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18NVG_M_R,Water,80,57,53,51,97,0,52,0,0,102,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18NVG_M_R,Cropland,11,0,8,10,21,1,0,0,0,25,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18NVG_M_R,Wetland,12,0,5,3,24,6,5,0,0,29,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18NVG_M_R,Bareland,38,23,0,49,45,14,40,0,0,65,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18NVG_M_R,Built-up,9,2,4,0,9,1,6,0,0,15,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18NVG_M_R,Forest,55,30,37,43,0,19,37,0,0,83,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18NVG_M_R,Grassland,0,13,19,22,35,8,23,0,0,49,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18NVG_M_R,Permanent_ice_and_snow,1,0,0,0,1,0,0,0,0,3,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18NVG_M_R,Grassland,0,50,10,17,39,47,44,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18NVG_M_R,Wetland,0,0,10,16,22,30,21,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18NVG_M_R,Bareland,0,38,0,15,31,57,45,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18NVG_M_R,Built-up,0,0,0,0,1,3,3,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18NVG_M_R,Forest,0,59,14,37,0,58,40,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18NVG_M_R,Water,0,87,77,39,51,0,61,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18NVG_M_R,Cropland,0,2,6,7,8,15,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18NVG_M_R,Permanent_ice_and_snow,0,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18NVG_M_R,Water,66,40,88,0,89,0,25,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18NVG_M_R,Wetland,43,0,27,0,41,29,7,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18NVG_M_R,Bareland,8,0,0,0,13,19,9,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18NVG_M_R,Built-up,6,0,7,0,8,7,6,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18NVG_M_R,Forest,30,8,22,0,0,26,12,0,0,0,5
AMAZON_EXTENSION_2024_DynamicWorld_2024_18NVG_M_R,Cropland,1,0,2,0,4,2,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18NVG_M_R,Grassland,0,5,14,0,14,9,5,0,0,0,0
