Dataset,MajorityClass,Grassland,Wetland,Bareland,Water,Forest,Built-up,Non_Wetland,Non_Water,Shrubland,Cropland,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NUE_M_R,Grassland,0,2,0,0,4,0,0,0,8,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NUE_M_R,Cropland,0,0,0,0,2,0,0,0,5,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NUE_M_R,Permanent_ice_and_snow,0,0,0,0,4,0,0,0,5,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NUE_M_R,Water,0,58,18,0,36,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NUE_M_R,Forest,0,29,0,29,0,15,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NUE_M_R,Wetland,0,0,4,33,31,1,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NUE_M_R,Grassland,0,0,0,1,6,6,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NUE_M_R,Cropland,0,0,0,0,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NUE_M_R,Bareland,0,3,0,2,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NUE_M_R,Permanent_ice_and_snow,0,0,0,1,1,2,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21NUE_M_R,Wetland,4,0,11,36,36,0,0,0,0,5,15
AMAZON_EXTENSION_2024_DynamicWorld_2024_21NUE_M_R,Forest,7,5,15,16,0,0,0,0,0,10,16
AMAZON_EXTENSION_2024_DynamicWorld_2024_21NUE_M_R,Water,0,38,31,0,42,0,0,0,0,4,10
AMAZON_EXTENSION_2024_DynamicWorld_2024_21NUE_M_R,Grassland,0,0,1,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21NUE_M_R,Built-up,0,0,0,0,1,0,0,0,0,0,0
