Dataset,MajorityClass,Grassland,Cropland,Forest,Wetland,Built-up,Bareland,Water,Shrubland,Non_Wetland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LVC_M_R,Water,1097,0,185,612,39,42,0,320,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LVC_M_R,Forest,1205,0,0,868,54,158,513,811,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LVC_M_R,Non_Water,1,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LVC_M_R,Lichens_and_Mosses,1,0,0,0,0,1,1,5,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LVC_M_R,Permanent_ice_and_snow,3,0,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LVC_M_R,Wetland,0,0,0,0,0,0,169,0,1521,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LVC_M_R,Shrubland,0,0,0,0,0,0,0,0,233,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LVC_M_R,Grassland,0,0,0,122,0,0,142,0,886,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LVC_M_R,Forest,0,0,0,363,0,0,326,0,2174,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LVC_M_R,Water,0,0,0,544,0,0,0,0,895,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LVC_M_R,Bareland,0,0,0,10,0,0,18,0,50,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LVC_M_R,Built-up,0,0,0,6,0,0,21,0,89,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LVC_M_R,Cropland,0,0,0,8,0,0,37,0,426,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LVC_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,0,2,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LVC_M_R,Non_Wetland,9,2,3,16,0,3,5,9,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LVC_M_R,Grassland,0,68,75,306,35,256,160,196,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LVC_M_R,Wetland,683,18,275,0,1,90,646,405,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LVC_M_R,Forest,1000,150,0,748,48,476,422,788,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LVC_M_R,Non_Water,0,0,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LVC_M_R,Water,582,24,167,651,40,522,0,289,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LVC_M_R,Shrubland,83,13,16,42,6,69,15,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LVC_M_R,Bareland,58,4,2,8,0,0,14,12,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LVC_M_R,Built-up,143,0,1,19,0,146,9,24,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LVC_M_R,Cropland,444,0,42,136,59,442,40,146,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LVC_M_R,Lichens_and_Mosses,1,0,0,0,0,5,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LVC_M_R,Permanent_ice_and_snow,0,0,0,0,0,3,1,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LVC_M_R,Grassland,0,0,0,0,0,0,132,0,0,142,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LVC_M_R,Water,0,0,0,0,0,0,0,0,0,796,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LVC_M_R,Wetland,0,0,0,0,0,0,498,0,0,508,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LVC_M_R,Shrubland,0,0,0,0,0,0,12,0,0,16,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LVC_M_R,Bareland,0,0,0,0,0,0,18,0,0,15,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LVC_M_R,Cropland,0,0,0,0,0,0,19,0,0,17,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LVC_M_R,Forest,0,0,0,0,0,0,335,0,0,260,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LVC_M_R,Built-up,0,0,0,0,0,0,9,0,0,7,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LVC_M_R,Grassland,0,591,401,122,139,65,142,590,0,0,37,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LVC_M_R,Wetland,21,249,508,0,12,55,169,368,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LVC_M_R,Bareland,3,214,39,10,96,0,18,129,0,0,14,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LVC_M_R,Forest,148,731,0,363,153,142,326,735,0,0,5,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LVC_M_R,Built-up,0,137,29,6,0,0,21,75,0,0,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LVC_M_R,Water,6,428,532,544,56,74,0,405,0,0,2,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LVC_M_R,Cropland,18,0,156,8,96,0,37,275,0,0,19,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LVC_M_R,Shrubland,7,22,18,0,10,2,0,0,0,0,2,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LVC_M_R,Permanent_ice_and_snow,0,3,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LVC_M_R,Grassland,0,576,166,126,132,11,88,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LVC_M_R,Forest,0,490,0,490,216,0,416,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LVC_M_R,Shrubland,0,96,32,25,17,0,11,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LVC_M_R,Wetland,0,295,270,0,31,3,312,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LVC_M_R,Bareland,0,129,9,2,47,0,14,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LVC_M_R,Built-up,0,24,1,1,0,0,3,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LVC_M_R,Water,0,249,178,378,92,16,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LVC_M_R,Cropland,0,0,37,4,51,5,3,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21LVC_M_R,Wetland,435,102,956,0,0,94,478,0,0,0,0,3
AMAZON_EXTENSION_2024_DynamicWorld_2024_21LVC_M_R,Forest,202,147,0,81,0,76,125,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21LVC_M_R,Shrubland,54,47,155,15,0,38,39,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21LVC_M_R,Cropland,101,0,166,6,0,94,33,0,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_21LVC_M_R,Water,165,59,823,201,0,121,0,0,0,0,0,14
AMAZON_EXTENSION_2024_DynamicWorld_2024_21LVC_M_R,Bareland,8,23,29,1,0,0,24,0,0,0,0,2
AMAZON_EXTENSION_2024_DynamicWorld_2024_21LVC_M_R,Built-up,9,62,107,0,0,9,20,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21LVC_M_R,Grassland,0,143,289,61,0,129,100,0,0,0,0,8
