Dataset,MajorityClass,Forest,Built-up,Wetland,Bareland,Grassland,Water,Non_Wetland,Cropland,Non_Water,Shrubland,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MWU_M_R,Grassland,14,17,153,149,0,19,0,3,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MWU_M_R,Wetland,52,1,0,188,233,408,0,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MWU_M_R,Non_Water,0,0,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MWU_M_R,Water,41,2,692,143,64,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MWU_M_R,Shrubland,1,4,12,15,10,2,0,2,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MWU_M_R,Bareland,1,14,45,0,23,7,0,3,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MWU_M_R,Built-up,2,0,40,84,37,2,0,4,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MWU_M_R,Cropland,0,0,5,22,4,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MWU_M_R,Permanent_ice_and_snow,0,0,1,3,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MWU_M_R,Grassland,0,0,0,0,0,98,0,0,6,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MWU_M_R,Wetland,0,0,0,0,0,627,0,0,263,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MWU_M_R,Forest,0,0,0,0,0,346,0,0,124,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MWU_M_R,Bareland,0,0,0,0,0,171,0,0,32,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MWU_M_R,Shrubland,0,0,0,0,0,5,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MWU_M_R,Water,0,0,0,0,0,0,0,0,306,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MWU_M_R,Built-up,0,0,0,0,0,11,0,0,4,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MWU_M_R,Grassland,87,46,36,80,0,6,0,5,0,205,9,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MWU_M_R,Wetland,101,22,0,217,65,76,0,0,0,190,2,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MWU_M_R,Bareland,62,107,42,0,57,33,0,18,0,151,36,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MWU_M_R,Forest,0,122,272,293,271,104,0,12,0,412,17,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MWU_M_R,Water,136,31,365,263,96,0,0,0,0,181,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MWU_M_R,Built-up,17,0,6,3,23,0,0,0,0,66,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MWU_M_R,Cropland,3,7,0,1,3,0,0,0,0,16,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MWU_M_R,Permanent_ice_and_snow,0,1,0,0,0,0,0,0,0,3,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MWU_M_R,Grassland,84,98,138,1,0,20,0,41,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MWU_M_R,Built-up,1,0,0,0,0,0,0,6,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MWU_M_R,Bareland,65,62,48,0,0,92,0,14,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MWU_M_R,Wetland,155,120,0,37,0,259,0,18,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MWU_M_R,Forest,0,276,416,3,0,333,0,10,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MWU_M_R,Water,104,48,419,66,0,0,0,21,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MWU_M_R,Cropland,1,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MWU_M_R,Permanent_ice_and_snow,0,2,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MWU_M_R,Wetland,772,0,0,96,169,284,0,32,0,0,0,6
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MWU_M_R,Forest,0,0,12,25,40,32,0,57,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MWU_M_R,Bareland,109,0,0,0,17,6,0,25,0,0,0,3
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MWU_M_R,Built-up,49,0,0,7,6,1,0,12,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MWU_M_R,Water,621,0,75,86,28,0,0,1,0,0,0,4
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MWU_M_R,Grassland,198,0,14,8,0,9,0,56,0,0,0,1
