Dataset,MajorityClass,Grassland,Wetland,Bareland,Built-up,Forest,Water,Cropland,Non_Wetland,Non_Water,Shrubland,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LGH_M_R,Permanent_ice_and_snow,0,0,0,0,0,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LGH_M_R,Water,34,62,40,18,42,0,5,0,0,29,2,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LGH_M_R,Cropland,11,2,2,1,10,0,0,0,0,5,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LGH_M_R,Wetland,13,0,15,0,28,10,7,0,0,2,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LGH_M_R,Bareland,16,24,0,17,7,7,4,0,0,15,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LGH_M_R,Built-up,7,1,0,0,3,0,4,0,0,3,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LGH_M_R,Forest,53,40,51,26,0,18,35,0,0,56,10,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LGH_M_R,Grassland,0,9,16,2,26,5,7,0,0,11,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LGH_M_R,Permanent_ice_and_snow,1,0,1,1,2,0,4,0,0,3,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LGH_M_R,Grassland,0,16,1,6,28,13,8,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LGH_M_R,Forest,0,44,5,23,0,48,5,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LGH_M_R,Water,0,46,30,2,53,0,4,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LGH_M_R,Wetland,0,0,14,9,53,47,1,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LGH_M_R,Built-up,0,0,2,0,1,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LGH_M_R,Cropland,0,2,1,4,5,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LGH_M_R,Bareland,0,0,0,2,14,12,1,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LGH_M_R,Permanent_ice_and_snow,0,0,0,3,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19LGH_M_R,Water,44,23,44,0,89,0,12,0,0,0,0,8
AMAZON_EXTENSION_2024_DynamicWorld_2024_19LGH_M_R,Cropland,1,0,2,0,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19LGH_M_R,Wetland,44,0,22,0,63,36,26,0,0,0,0,13
AMAZON_EXTENSION_2024_DynamicWorld_2024_19LGH_M_R,Built-up,1,0,1,0,9,0,4,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19LGH_M_R,Forest,21,10,9,0,0,15,11,0,0,0,0,3
AMAZON_EXTENSION_2024_DynamicWorld_2024_19LGH_M_R,Grassland,0,5,6,0,10,2,4,0,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_19LGH_M_R,Bareland,0,0,0,0,7,4,0,0,0,0,0,0
