Dataset,MajorityClass,Forest,Built-up,Wetland,Water,Bareland,Grassland,Non_Wetland,Shrubland,Non_Water,Cropland,Lichens_and_Mosses
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MGQ_M_R,Forest,0,33,604,258,193,203,0,5,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MGQ_M_R,Water,54,9,597,0,67,56,0,1,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MGQ_M_R,Shrubland,2,0,3,0,1,2,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MGQ_M_R,Cropland,3,0,11,0,10,11,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MGQ_M_R,Wetland,20,0,0,94,14,26,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MGQ_M_R,Bareland,7,0,9,12,0,10,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MGQ_M_R,Built-up,11,0,33,8,69,18,0,1,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MGQ_M_R,Non_Wetland,0,0,2,0,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MGQ_M_R,Forest,0,3,452,235,222,460,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MGQ_M_R,Grassland,1,14,156,41,106,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MGQ_M_R,Water,43,6,340,0,106,201,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MGQ_M_R,Shrubland,0,0,2,0,4,3,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MGQ_M_R,Cropland,0,0,2,2,12,19,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MGQ_M_R,Wetland,11,0,0,128,46,152,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MGQ_M_R,Bareland,0,0,1,13,0,7,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MGQ_M_R,Built-up,2,0,30,26,68,61,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MGQ_M_R,Grassland,0,0,0,131,0,0,0,0,31,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MGQ_M_R,Wetland,0,0,0,303,0,0,0,0,103,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MGQ_M_R,Shrubland,0,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MGQ_M_R,Water,0,0,0,0,0,0,0,0,201,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MGQ_M_R,Built-up,0,0,0,49,0,0,0,0,2,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MGQ_M_R,Forest,0,0,0,252,0,0,0,0,103,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MGQ_M_R,Bareland,0,0,0,14,0,0,0,0,2,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MGQ_M_R,Cropland,0,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MGQ_M_R,Grassland,113,79,24,25,76,0,0,89,0,45,7
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MGQ_M_R,Forest,0,132,154,80,197,194,0,124,0,69,31
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MGQ_M_R,Wetland,42,22,0,30,71,30,0,28,0,9,3
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MGQ_M_R,Bareland,7,21,8,2,0,4,0,13,0,3,1
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MGQ_M_R,Built-up,25,0,0,10,7,31,0,36,0,13,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MGQ_M_R,Water,125,76,269,0,185,99,0,77,0,8,9
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MGQ_M_R,Cropland,6,5,0,0,1,2,0,4,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MGQ_M_R,Grassland,73,108,39,32,1,0,0,0,0,147,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MGQ_M_R,Forest,0,163,71,200,1,0,0,0,0,73,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MGQ_M_R,Water,159,63,94,0,36,0,0,0,0,25,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MGQ_M_R,Wetland,116,30,0,117,5,0,0,0,0,7,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MGQ_M_R,Built-up,1,0,0,0,0,0,0,0,0,2,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MGQ_M_R,Bareland,3,25,1,8,0,0,0,0,0,12,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MGQ_M_R,Cropland,0,3,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19MGQ_M_R,Wetland,360,0,0,101,6,106,0,0,0,36,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19MGQ_M_R,Forest,0,0,2,5,2,26,0,0,0,17,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19MGQ_M_R,Water,543,0,26,0,52,104,0,0,0,53,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19MGQ_M_R,Built-up,25,0,0,0,1,6,0,0,0,4,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19MGQ_M_R,Grassland,212,0,11,20,0,0,0,0,0,60,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19MGQ_M_R,Bareland,14,0,0,1,0,0,0,0,0,5,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19MGQ_M_R,Shrubland,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19MGQ_M_R,Cropland,1,0,0,0,0,0,0,0,0,0,0
