Dataset,MajorityClass,Grassland,Built-up,Forest,Wetland,Cropland,Water,Bareland,Shrubland,Non_Wetland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MHV_M_R,Bareland,287,116,113,25,0,181,0,12,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MHV_M_R,Built-up,189,0,72,22,0,26,146,65,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MHV_M_R,Water,608,72,216,173,0,0,38,25,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MHV_M_R,Forest,1210,202,0,498,0,348,230,401,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MHV_M_R,Non_Water,0,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MHV_M_R,Shrubland,0,0,0,0,0,0,0,0,105,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MHV_M_R,Wetland,0,0,0,0,0,21,0,0,352,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MHV_M_R,Grassland,0,0,0,141,0,52,0,0,680,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MHV_M_R,Forest,0,0,0,460,0,186,0,0,1207,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MHV_M_R,Bareland,0,0,0,103,0,18,0,0,36,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MHV_M_R,Built-up,0,0,0,38,0,13,0,0,61,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MHV_M_R,Cropland,0,0,0,16,0,7,0,0,104,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MHV_M_R,Water,0,0,0,444,0,0,0,0,346,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MHV_M_R,Grassland,0,104,136,260,220,97,477,271,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MHV_M_R,Non_Wetland,7,0,1,11,0,0,5,8,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MHV_M_R,Wetland,187,2,69,0,4,147,191,113,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MHV_M_R,Forest,892,159,0,578,170,307,819,580,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MHV_M_R,Bareland,55,38,9,3,102,86,0,8,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MHV_M_R,Non_Water,1,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MHV_M_R,Water,252,30,185,342,23,0,429,115,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MHV_M_R,Shrubland,45,11,10,30,11,11,55,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MHV_M_R,Built-up,171,0,17,32,53,25,288,62,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MHV_M_R,Cropland,247,77,82,39,0,44,359,109,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MHV_M_R,Grassland,0,0,0,0,0,154,0,0,0,82,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MHV_M_R,Forest,0,0,0,0,0,268,0,0,0,255,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MHV_M_R,Shrubland,0,0,0,0,0,3,0,0,0,5,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MHV_M_R,Water,0,0,0,0,0,0,0,0,0,420,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MHV_M_R,Cropland,0,0,0,0,0,24,0,0,0,4,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MHV_M_R,Wetland,0,0,0,0,0,144,0,0,0,205,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MHV_M_R,Bareland,0,0,0,0,0,68,0,0,0,110,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MHV_M_R,Built-up,0,0,0,0,0,18,0,0,0,10,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MHV_M_R,Grassland,0,173,393,141,207,52,147,532,0,0,10,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MHV_M_R,Bareland,160,168,114,103,146,18,0,267,0,0,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MHV_M_R,Forest,675,264,0,460,248,186,245,707,0,0,19,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MHV_M_R,Wetland,25,5,126,0,8,21,37,79,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MHV_M_R,Built-up,137,0,86,38,103,13,28,249,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MHV_M_R,Cropland,239,124,195,16,0,7,56,332,0,0,13,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MHV_M_R,Water,198,47,282,444,67,0,153,299,0,0,2,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MHV_M_R,Shrubland,4,1,10,0,4,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MHV_M_R,Grassland,0,297,285,72,719,169,42,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MHV_M_R,Forest,0,506,0,185,597,364,12,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MHV_M_R,Wetland,0,66,122,0,79,171,6,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MHV_M_R,Bareland,0,224,72,6,220,38,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MHV_M_R,Built-up,0,0,19,0,68,4,20,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MHV_M_R,Water,0,102,66,76,60,0,70,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MHV_M_R,Shrubland,0,29,21,12,37,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MHV_M_R,Cropland,0,54,46,0,0,3,28,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22MHV_M_R,Wetland,141,0,450,0,21,142,39,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22MHV_M_R,Forest,165,0,0,23,223,119,141,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22MHV_M_R,Shrubland,34,0,74,4,26,10,6,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22MHV_M_R,Cropland,59,0,69,0,0,12,130,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22MHV_M_R,Bareland,14,0,59,2,49,26,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22MHV_M_R,Water,31,0,344,50,13,0,116,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22MHV_M_R,Built-up,16,0,172,0,161,40,106,0,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_22MHV_M_R,Grassland,0,0,445,49,249,163,183,0,0,0,0,1
