Dataset,MajorityClass,Forest,Built-up,Cropland,Wetland,Bareland,Water,Grassland,Shrubland,Non_Wetland,Non_Water,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MDS_M_R,Forest,0,1,0,385,662,124,248,112,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MDS_M_R,Wetland,5,0,0,0,149,15,22,6,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MDS_M_R,Built-up,2,0,0,1,12,0,7,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MDS_M_R,Permanent_ice_and_snow,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MDS_M_R,Grassland,23,0,8,29,118,15,0,30,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MDS_M_R,Non_Wetland,0,0,0,4,2,3,3,3,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MDS_M_R,Forest,0,0,10,113,463,196,465,152,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MDS_M_R,Wetland,6,0,1,0,185,34,77,6,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MDS_M_R,Water,37,0,0,18,525,0,161,5,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MDS_M_R,Shrubland,2,0,1,8,15,5,18,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MDS_M_R,Bareland,7,0,5,3,0,27,51,5,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MDS_M_R,Cropland,1,0,0,0,27,0,15,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MDS_M_R,Built-up,0,0,0,0,16,0,11,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MDS_M_R,Permanent_ice_and_snow,0,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MDS_M_R,Grassland,0,0,0,12,0,9,0,0,166,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MDS_M_R,Wetland,0,0,0,0,0,3,0,0,92,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MDS_M_R,Forest,0,0,0,193,0,81,0,0,563,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MDS_M_R,Shrubland,0,0,0,0,0,0,0,0,28,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MDS_M_R,Bareland,0,0,0,99,0,65,0,0,365,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MDS_M_R,Water,0,0,0,254,0,0,0,0,170,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MDS_M_R,Cropland,0,0,0,0,0,0,0,0,7,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MDS_M_R,Built-up,0,0,0,0,0,0,0,0,1,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MDS_M_R,Wetland,0,0,0,0,0,91,0,0,0,24,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MDS_M_R,Bareland,0,0,0,0,0,366,0,0,0,48,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MDS_M_R,Grassland,0,0,0,0,0,22,0,0,0,3,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MDS_M_R,Shrubland,0,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MDS_M_R,Cropland,0,0,0,0,0,4,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MDS_M_R,Water,0,0,0,0,0,0,0,0,0,142,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MDS_M_R,Forest,0,0,0,0,0,263,0,0,0,64,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MDS_M_R,Grassland,78,14,37,12,1,9,0,110,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MDS_M_R,Wetland,15,2,10,0,0,3,23,29,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MDS_M_R,Bareland,187,98,162,99,0,65,204,226,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MDS_M_R,Forest,0,36,80,193,49,81,259,281,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MDS_M_R,Water,188,23,42,254,31,0,117,125,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MDS_M_R,Shrubland,0,0,0,0,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MDS_M_R,Built-up,1,0,0,0,0,0,2,3,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MDS_M_R,Cropland,3,4,0,0,0,0,2,5,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MDS_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MDS_M_R,Grassland,64,30,59,57,1,25,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MDS_M_R,Bareland,137,79,24,338,0,202,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MDS_M_R,Water,73,6,1,95,33,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MDS_M_R,Forest,0,47,6,153,4,280,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MDS_M_R,Shrubland,4,0,0,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MDS_M_R,Cropland,0,0,0,5,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MDS_M_R,Wetland,32,0,0,0,1,58,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22MDS_M_R,Forest,0,0,19,1,55,52,18,0,0,0,9
AMAZON_EXTENSION_2024_DynamicWorld_2024_22MDS_M_R,Wetland,129,0,1,0,18,45,8,0,0,0,8
AMAZON_EXTENSION_2024_DynamicWorld_2024_22MDS_M_R,Bareland,197,0,21,34,0,154,4,0,0,0,45
AMAZON_EXTENSION_2024_DynamicWorld_2024_22MDS_M_R,Water,394,0,6,5,59,0,2,0,0,0,7
AMAZON_EXTENSION_2024_DynamicWorld_2024_22MDS_M_R,Grassland,135,0,34,4,22,31,0,0,0,0,6
AMAZON_EXTENSION_2024_DynamicWorld_2024_22MDS_M_R,Cropland,4,0,0,0,0,2,0,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_22MDS_M_R,Shrubland,17,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22MDS_M_R,Built-up,1,0,0,0,0,0,0,0,0,0,0
