Dataset,MajorityClass,Grassland,Bareland,Built-up,Forest,Water,Cropland,Wetland,Shrubland,Non_Wetland,Non_Water,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23LLH_M_R,Forest,106,56,95,0,83,346,46,481,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23LLH_M_R,Cropland,13,31,116,160,35,0,0,332,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23LLH_M_R,Built-up,15,20,0,39,28,146,0,152,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23LLH_M_R,Water,0,38,13,141,0,41,63,255,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23LLH_M_R,Shrubland,8,5,19,29,0,37,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23LLH_M_R,Permanent_ice_and_snow,0,0,1,0,0,6,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23LLH_M_R,Grassland,0,2,90,128,12,212,11,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23LLH_M_R,Bareland,0,0,154,77,27,168,0,0,0,0,1
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23LLH_M_R,Shrubland,0,4,111,99,40,118,19,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23LLH_M_R,Wetland,0,0,0,37,50,13,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23LLH_M_R,Forest,0,3,244,0,187,253,87,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23LLH_M_R,Built-up,0,1,0,6,3,34,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23LLH_M_R,Water,0,2,55,22,0,17,47,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23LLH_M_R,Cropland,0,1,175,66,8,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23LLH_M_R,Permanent_ice_and_snow,0,0,0,3,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_23LLH_M_R,Forest,80,30,0,0,20,72,0,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_23LLH_M_R,Shrubland,61,87,0,178,32,84,10,0,0,0,8
AMAZON_EXTENSION_2024_DynamicWorld_2024_23LLH_M_R,Wetland,38,5,0,120,53,16,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_23LLH_M_R,Cropland,87,165,0,105,14,0,0,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_23LLH_M_R,Water,12,24,0,245,0,6,54,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_23LLH_M_R,Built-up,2,90,0,79,1,73,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_23LLH_M_R,Grassland,0,69,0,113,4,73,4,0,0,0,14
AMAZON_EXTENSION_2024_DynamicWorld_2024_23LLH_M_R,Bareland,0,0,0,54,9,23,0,0,0,0,24
