Dataset,MajorityClass,Forest,Built-up,Bareland,Wetland,Cropland,Grassland,Water,Non_Wetland,Non_Water,Shrubland,Lichens_and_Mosses
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MBA_M_R,Forest,0,22,106,340,0,278,211,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MBA_M_R,Shrubland,2,3,7,9,0,7,4,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MBA_M_R,Built-up,0,0,41,6,0,21,5,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MBA_M_R,Wetland,17,0,20,0,0,59,301,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MBA_M_R,Grassland,0,0,0,42,0,0,3,164,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MBA_M_R,Wetland,0,0,0,0,0,0,1,149,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MBA_M_R,Forest,0,0,0,170,0,0,38,422,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MBA_M_R,Water,0,0,0,380,0,0,0,305,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MBA_M_R,Shrubland,0,0,0,0,0,0,0,23,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MBA_M_R,Bareland,0,0,0,15,0,0,0,12,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MBA_M_R,Built-up,0,0,0,0,0,0,0,22,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MBA_M_R,Cropland,0,0,0,0,0,0,0,14,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MBA_M_R,Wetland,0,0,0,0,0,0,363,0,154,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MBA_M_R,Grassland,0,0,0,0,0,0,48,0,8,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MBA_M_R,Bareland,0,0,0,0,0,0,18,0,3,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MBA_M_R,Shrubland,0,0,0,0,0,0,3,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MBA_M_R,Water,0,0,0,0,0,0,0,0,173,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MBA_M_R,Built-up,0,0,0,0,0,0,3,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MBA_M_R,Cropland,0,0,0,0,0,0,1,0,1,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MBA_M_R,Forest,0,0,0,0,0,0,151,0,82,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MBA_M_R,Grassland,76,45,39,42,6,0,3,0,0,128,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MBA_M_R,Built-up,6,0,0,0,0,19,0,0,0,25,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MBA_M_R,Forest,0,58,120,170,7,181,38,0,0,204,6
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MBA_M_R,Wetland,8,41,12,0,0,7,1,0,0,68,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MBA_M_R,Water,95,69,88,380,0,54,0,0,0,187,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MBA_M_R,Bareland,3,20,0,15,0,13,0,0,0,26,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MBA_M_R,Cropland,5,4,0,0,0,9,0,0,0,18,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MBA_M_R,Grassland,79,43,1,4,92,0,63,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MBA_M_R,Forest,0,39,0,62,43,0,245,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MBA_M_R,Wetland,49,0,45,0,40,0,214,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MBA_M_R,Bareland,3,9,0,0,3,0,5,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MBA_M_R,Water,33,2,45,59,10,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MBA_M_R,Built-up,5,0,0,0,2,0,1,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MBA_M_R,Cropland,0,0,0,0,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22MBA_M_R,Forest,0,0,0,0,30,15,23,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22MBA_M_R,Bareland,6,0,0,0,7,1,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22MBA_M_R,Wetland,293,0,42,0,28,9,88,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22MBA_M_R,Built-up,23,0,5,0,3,2,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22MBA_M_R,Grassland,155,0,7,0,56,0,47,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22MBA_M_R,Water,333,0,70,63,10,0,0,0,0,0,0
