Dataset,MajorityClass,Grassland,Forest,Cropland,Bareland,Wetland,Built-up,Water,Shrubland,Non_Wetland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LUG_M_R,Bareland,100,33,0,0,11,9,13,27,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LUG_M_R,Built-up,95,35,0,100,26,0,3,30,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LUG_M_R,Forest,687,0,0,183,421,15,185,491,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LUG_M_R,Lichens_and_Mosses,0,1,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LUG_M_R,Water,398,146,0,8,224,21,0,46,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LUG_M_R,Permanent_ice_and_snow,3,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LUG_M_R,Grassland,0,18,72,212,90,13,18,104,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LUG_M_R,Non_Wetland,2,0,1,2,10,0,1,4,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LUG_M_R,Forest,591,0,149,620,355,12,177,551,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LUG_M_R,Water,159,59,17,214,291,11,0,88,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LUG_M_R,Bareland,26,1,26,0,1,3,1,15,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LUG_M_R,Shrubland,49,3,13,55,24,5,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LUG_M_R,Cropland,436,27,0,443,49,95,4,153,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LUG_M_R,Built-up,119,1,40,175,5,0,0,24,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LUG_M_R,Wetland,56,5,2,40,0,0,95,51,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LUG_M_R,Lichens_and_Mosses,3,0,0,3,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LUG_M_R,Permanent_ice_and_snow,0,0,0,4,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LUG_M_R,Grassland,0,0,0,0,47,0,48,0,200,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LUG_M_R,Wetland,0,0,0,0,0,0,24,0,165,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LUG_M_R,Forest,0,0,0,0,256,0,118,0,734,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LUG_M_R,Water,0,0,0,0,205,0,0,0,303,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LUG_M_R,Shrubland,0,0,0,0,0,0,0,0,66,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LUG_M_R,Cropland,0,0,0,0,5,0,24,0,172,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LUG_M_R,Bareland,0,0,0,0,2,0,10,0,20,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LUG_M_R,Lichens_and_Mosses,0,0,0,0,0,0,0,0,1,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LUG_M_R,Built-up,0,0,0,0,0,0,3,0,31,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LUG_M_R,Grassland,0,0,0,0,0,0,44,0,0,33,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LUG_M_R,Shrubland,0,0,0,0,0,0,0,0,0,1,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LUG_M_R,Wetland,0,0,0,0,0,0,49,0,0,70,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LUG_M_R,Water,0,0,0,0,0,0,0,0,0,241,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LUG_M_R,Forest,0,0,0,0,0,0,80,0,0,140,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LUG_M_R,Cropland,0,0,0,0,0,0,15,0,0,7,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LUG_M_R,Built-up,0,0,0,0,0,0,0,0,0,1,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LUG_M_R,Bareland,0,0,0,0,0,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LUG_M_R,Grassland,0,199,287,14,47,62,48,414,0,0,39,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LUG_M_R,Forest,44,0,422,77,256,147,118,649,0,0,21,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LUG_M_R,Cropland,22,194,0,1,5,95,24,426,0,0,49,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LUG_M_R,Wetland,0,40,12,4,0,2,24,48,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LUG_M_R,Bareland,1,45,125,0,2,56,10,137,0,0,7,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LUG_M_R,Built-up,2,16,114,0,0,0,3,108,0,0,9,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LUG_M_R,Shrubland,1,7,11,1,0,4,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LUG_M_R,Water,19,167,112,46,205,17,0,239,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LUG_M_R,Permanent_ice_and_snow,0,0,1,0,0,1,0,2,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LUG_M_R,Grassland,0,144,534,9,4,96,68,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LUG_M_R,Bareland,0,15,155,0,8,95,25,0,0,0,0,2
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LUG_M_R,Forest,0,0,458,1,69,259,350,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LUG_M_R,Shrubland,0,42,90,0,10,40,8,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LUG_M_R,Wetland,0,74,82,0,0,3,123,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LUG_M_R,Built-up,0,3,45,0,0,0,3,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LUG_M_R,Water,0,71,111,1,42,7,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LUG_M_R,Cropland,0,102,0,17,1,136,5,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21LUG_M_R,Forest,84,0,160,54,5,0,40,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21LUG_M_R,Shrubland,37,97,49,22,0,0,4,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21LUG_M_R,Cropland,130,195,0,154,1,0,23,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21LUG_M_R,Bareland,7,42,27,0,0,0,5,0,0,0,0,6
AMAZON_EXTENSION_2024_DynamicWorld_2024_21LUG_M_R,Built-up,3,56,53,38,0,0,4,0,0,0,0,5
AMAZON_EXTENSION_2024_DynamicWorld_2024_21LUG_M_R,Wetland,13,235,5,1,0,0,80,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21LUG_M_R,Water,7,337,6,10,33,0,0,0,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_21LUG_M_R,Grassland,0,185,96,68,0,0,77,0,0,0,0,6
