Dataset,MajorityClass,Built-up,Water,Forest,Bareland,Grassland,Non_Wetland,Wetland,Non_Water,Shrubland,Cropland,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MBM_M_R,Bareland,9,86,15,0,28,0,51,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MBM_M_R,Built-up,0,7,9,66,63,0,10,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MBM_M_R,Water,23,0,239,155,362,0,450,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MBM_M_R,Forest,46,344,0,158,401,0,509,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MBM_M_R,Shrubland,0,2,0,3,2,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MBM_M_R,Cropland,4,5,2,16,23,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MBM_M_R,Wetland,0,10,5,1,8,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MBM_M_R,Lichens_and_Mosses,0,0,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MBM_M_R,Permanent_ice_and_snow,0,0,0,0,1,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MBM_M_R,Non_Wetland,0,1,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MBM_M_R,Forest,55,300,0,317,663,0,190,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MBM_M_R,Grassland,70,116,17,174,0,0,11,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MBM_M_R,Water,88,0,83,297,520,0,33,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MBM_M_R,Shrubland,0,3,0,3,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MBM_M_R,Bareland,5,73,0,0,8,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MBM_M_R,Cropland,13,8,0,10,21,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MBM_M_R,Wetland,0,17,5,9,36,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MBM_M_R,Lichens_and_Mosses,0,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MBM_M_R,Built-up,0,25,3,64,66,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MBM_M_R,Permanent_ice_and_snow,0,0,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MBM_M_R,Grassland,0,81,0,0,0,0,0,117,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MBM_M_R,Water,0,0,0,0,0,0,0,510,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MBM_M_R,Forest,0,301,0,0,0,0,0,295,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MBM_M_R,Wetland,0,16,0,0,0,0,0,24,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MBM_M_R,Bareland,0,38,0,0,0,0,0,61,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MBM_M_R,Built-up,0,3,0,0,0,0,0,19,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MBM_M_R,Cropland,0,1,0,0,0,0,0,6,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MBM_M_R,Grassland,82,47,227,29,0,0,9,0,104,94,13,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MBM_M_R,Bareland,28,11,31,0,73,0,2,0,19,6,14,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MBM_M_R,Forest,82,129,0,151,231,0,123,0,142,91,43,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MBM_M_R,Water,92,0,366,144,228,0,143,0,166,33,43,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MBM_M_R,Built-up,0,6,45,5,61,0,0,0,16,23,6,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MBM_M_R,Cropland,6,0,7,1,3,0,1,0,2,0,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MBM_M_R,Wetland,4,1,12,0,1,0,0,0,2,2,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MBM_M_R,Permanent_ice_and_snow,1,0,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MBM_M_R,Grassland,98,126,112,3,0,0,63,0,0,172,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MBM_M_R,Forest,124,349,0,1,0,0,11,0,0,64,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MBM_M_R,Built-up,0,3,2,1,0,0,0,0,0,26,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MBM_M_R,Bareland,21,36,22,0,0,0,0,0,0,9,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MBM_M_R,Water,47,0,212,66,0,0,29,0,0,45,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MBM_M_R,Wetland,0,26,34,0,0,0,0,0,0,1,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MBM_M_R,Cropland,1,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19MBM_M_R,Water,0,0,577,298,52,0,12,0,0,25,0,9
AMAZON_EXTENSION_2024_DynamicWorld_2024_19MBM_M_R,Forest,0,75,0,16,24,0,5,0,0,33,0,14
AMAZON_EXTENSION_2024_DynamicWorld_2024_19MBM_M_R,Built-up,0,15,44,14,2,0,0,0,0,9,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19MBM_M_R,Grassland,0,113,225,47,0,0,34,0,0,86,0,40
AMAZON_EXTENSION_2024_DynamicWorld_2024_19MBM_M_R,Bareland,0,3,15,0,0,0,0,0,0,9,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_19MBM_M_R,Wetland,0,8,56,1,0,0,0,0,0,3,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19MBM_M_R,Cropland,0,0,4,0,0,0,0,0,0,0,0,0
