Dataset,MajorityClass,Wetland,Grassland,Bareland,Water,Forest,Shrubland,Built-up,Non_Wetland,Cropland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MQD_M_R,Shrubland,0,0,0,2,0,0,0,0,0,2,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MQD_M_R,Forest,0,0,0,258,0,0,0,0,0,126,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MQD_M_R,Bareland,0,0,0,9,0,0,0,0,0,2,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MQD_M_R,Built-up,0,0,0,2,0,0,0,0,0,1,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MQD_M_R,Cropland,0,0,0,1,0,0,0,0,0,1,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MQD_M_R,Grassland,29,0,70,15,75,139,61,0,28,0,2,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MQD_M_R,Bareland,1,1,0,0,1,13,14,0,1,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MQD_M_R,Forest,180,201,195,73,0,295,95,0,40,0,17,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MQD_M_R,Wetland,0,103,114,59,64,88,25,0,0,0,10,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MQD_M_R,Water,153,192,196,0,142,145,43,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MQD_M_R,Cropland,0,1,1,0,5,10,6,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MQD_M_R,Built-up,0,0,1,0,9,30,0,0,3,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MQD_M_R,Grassland,17,0,1,19,45,0,50,0,54,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MQD_M_R,Forest,152,0,2,225,0,0,76,0,40,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MQD_M_R,Wetland,0,0,5,118,87,0,48,0,9,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MQD_M_R,Water,281,0,24,0,67,0,28,0,5,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MQD_M_R,Bareland,1,0,0,1,1,0,8,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MQD_M_R,Built-up,0,0,0,0,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MQD_M_R,Cropland,0,0,0,0,1,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20MQD_M_R,Forest,3,25,11,17,0,0,0,0,36,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20MQD_M_R,Wetland,0,97,3,110,448,0,0,0,6,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20MQD_M_R,Water,84,62,25,0,548,0,0,0,6,0,0,3
AMAZON_EXTENSION_2024_DynamicWorld_2024_20MQD_M_R,Cropland,0,1,1,0,3,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20MQD_M_R,Grassland,5,0,14,34,139,0,0,0,27,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20MQD_M_R,Built-up,0,0,4,1,11,0,0,0,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_20MQD_M_R,Bareland,0,0,0,1,3,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20MQD_M_R,Shrubland,0,0,0,0,2,0,0,0,0,0,0,0
