Dataset,MajorityClass,Grassland,Wetland,Built-up,Forest,Bareland,Water,Cropland,Non_Wetland,Non_Water,Shrubland,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20PRQ_M_R,Water,15,53,11,28,12,0,29,0,0,46,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20PRQ_M_R,Cropland,2,0,0,6,0,0,0,0,0,5,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20PRQ_M_R,Wetland,1,0,0,4,0,6,2,0,0,8,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20PRQ_M_R,Bareland,2,7,2,1,0,0,6,0,0,5,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20PRQ_M_R,Built-up,4,3,0,5,0,0,6,0,0,9,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20PRQ_M_R,Forest,11,30,13,0,16,10,21,0,0,36,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20PRQ_M_R,Grassland,0,2,1,5,1,0,5,0,0,6,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20PRQ_M_R,Permanent_ice_and_snow,2,0,0,3,0,0,2,0,0,4,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20PRQ_M_R,Wetland,0,0,12,49,3,49,3,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20PRQ_M_R,Grassland,0,0,9,12,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20PRQ_M_R,Water,0,7,18,40,5,0,1,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20PRQ_M_R,Forest,0,0,15,0,1,38,4,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20PRQ_M_R,Cropland,0,0,3,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20PRQ_M_R,Bareland,0,0,0,5,0,12,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20PRQ_M_R,Permanent_ice_and_snow,0,0,5,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20PRQ_M_R,Wetland,8,0,0,34,22,27,9,0,0,0,11
AMAZON_EXTENSION_2024_DynamicWorld_2024_20PRQ_M_R,Water,1,18,0,46,20,0,5,0,0,0,11
AMAZON_EXTENSION_2024_DynamicWorld_2024_20PRQ_M_R,Forest,9,4,0,0,4,22,10,0,0,0,12
AMAZON_EXTENSION_2024_DynamicWorld_2024_20PRQ_M_R,Grassland,0,0,0,2,0,3,3,0,0,0,3
AMAZON_EXTENSION_2024_DynamicWorld_2024_20PRQ_M_R,Built-up,0,0,0,1,0,10,0,0,0,0,4
