Dataset,MajorityClass,Grassland,Built-up,Forest,Water,Wetland,Cropland,Bareland,Shrubland,Non_Wetland,Non_Water,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LFJ_M_R,Permanent_ice_and_snow,1,0,0,0,0,0,2,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LFJ_M_R,Shrubland,0,0,0,0,0,0,0,0,196,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LFJ_M_R,Wetland,0,0,0,38,0,0,0,0,239,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LFJ_M_R,Grassland,0,0,0,56,63,0,0,0,180,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LFJ_M_R,Water,0,0,0,0,419,0,0,0,339,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LFJ_M_R,Cropland,0,0,0,37,22,0,0,0,134,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LFJ_M_R,Bareland,0,0,0,70,10,0,0,0,2,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LFJ_M_R,Forest,0,0,0,255,206,0,0,0,677,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LFJ_M_R,Built-up,0,0,0,31,8,0,0,0,5,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LFJ_M_R,Forest,0,0,0,424,0,0,0,0,0,298,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LFJ_M_R,Grassland,0,0,0,189,0,0,0,0,0,72,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LFJ_M_R,Shrubland,0,0,0,78,0,0,0,0,0,43,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LFJ_M_R,Bareland,0,0,0,39,0,0,0,0,0,19,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LFJ_M_R,Water,0,0,0,0,0,0,0,0,0,831,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LFJ_M_R,Cropland,0,0,0,93,0,0,0,0,0,29,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LFJ_M_R,Wetland,0,0,0,101,0,0,0,0,0,68,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LFJ_M_R,Built-up,0,0,0,28,0,0,0,0,0,9,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LFJ_M_R,Grassland,0,143,328,56,63,520,38,581,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LFJ_M_R,Bareland,2,157,74,70,10,205,0,282,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LFJ_M_R,Water,34,95,575,0,419,643,120,853,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LFJ_M_R,Forest,206,267,0,255,206,813,69,1008,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LFJ_M_R,Built-up,25,0,72,31,8,246,5,259,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LFJ_M_R,Cropland,73,221,275,37,22,0,3,542,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LFJ_M_R,Wetland,0,1,86,38,0,11,2,63,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LFJ_M_R,Shrubland,8,13,40,0,0,38,1,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LFJ_M_R,Permanent_ice_and_snow,0,0,2,0,0,0,0,1,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LFJ_M_R,Grassland,0,190,208,146,0,810,4,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LFJ_M_R,Bareland,0,131,27,37,0,202,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LFJ_M_R,Forest,0,434,0,579,8,1085,1,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LFJ_M_R,Shrubland,0,76,89,72,4,314,1,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LFJ_M_R,Wetland,0,9,41,72,0,237,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LFJ_M_R,Built-up,0,0,3,6,0,113,7,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LFJ_M_R,Water,0,128,125,0,26,899,49,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LFJ_M_R,Cropland,0,155,95,11,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22LFJ_M_R,Forest,176,0,0,191,30,134,75,0,0,0,3
AMAZON_EXTENSION_2024_DynamicWorld_2024_22LFJ_M_R,Shrubland,98,0,256,102,25,58,41,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22LFJ_M_R,Cropland,188,0,283,108,6,0,142,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22LFJ_M_R,Water,107,0,687,0,107,30,42,0,0,0,9
AMAZON_EXTENSION_2024_DynamicWorld_2024_22LFJ_M_R,Bareland,6,0,52,51,1,29,0,0,0,0,13
AMAZON_EXTENSION_2024_DynamicWorld_2024_22LFJ_M_R,Built-up,34,0,195,40,0,150,133,0,0,0,2
AMAZON_EXTENSION_2024_DynamicWorld_2024_22LFJ_M_R,Wetland,30,0,112,80,0,2,1,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22LFJ_M_R,Grassland,0,0,247,134,15,123,102,0,0,0,2
