Dataset,MajorityClass,Forest,Wetland,Bareland,Cropland,Built-up,Water,Grassland,Shrubland,Non_Wetland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MBD_M_R,Bareland,0,18,0,0,0,9,0,0,46,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MBD_M_R,Built-up,0,17,0,0,0,0,0,0,44,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MBD_M_R,Cropland,0,4,0,0,0,0,0,0,39,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MBD_M_R,Wetland,77,0,323,35,2,703,564,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MBD_M_R,Non_Wetland,0,14,2,1,0,1,5,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MBD_M_R,Forest,0,563,240,21,30,114,444,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MBD_M_R,Grassland,32,295,197,36,39,59,0,4,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MBD_M_R,Water,54,740,129,4,15,0,194,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MBD_M_R,Shrubland,0,17,14,12,2,3,13,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MBD_M_R,Bareland,1,13,0,7,0,21,29,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MBD_M_R,Built-up,0,17,57,4,0,2,31,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MBD_M_R,Cropland,2,19,52,0,2,1,43,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MBD_M_R,Grassland,0,0,0,0,0,142,0,0,0,34,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MBD_M_R,Water,0,0,0,0,0,0,0,0,0,307,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MBD_M_R,Wetland,0,0,0,0,0,981,0,0,0,544,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MBD_M_R,Shrubland,0,0,0,0,0,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MBD_M_R,Forest,0,0,0,0,0,188,0,0,0,74,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MBD_M_R,Built-up,0,0,0,0,0,13,0,0,0,4,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MBD_M_R,Bareland,0,0,0,0,0,11,0,0,0,21,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MBD_M_R,Grassland,123,115,81,3,68,17,0,289,0,0,8,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MBD_M_R,Wetland,148,0,198,1,46,154,257,270,0,0,15,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MBD_M_R,Forest,0,206,197,15,85,56,330,320,0,0,22,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MBD_M_R,Bareland,7,18,0,0,69,9,38,71,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MBD_M_R,Built-up,10,17,4,0,0,0,40,48,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MBD_M_R,Water,124,506,192,0,49,0,172,226,0,0,3,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MBD_M_R,Cropland,15,4,5,0,9,0,27,44,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MBD_M_R,Grassland,177,177,5,216,85,107,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MBD_M_R,Wetland,367,0,30,299,54,349,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MBD_M_R,Forest,0,151,2,79,105,226,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MBD_M_R,Bareland,12,9,0,24,12,16,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MBD_M_R,Built-up,6,0,0,9,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MBD_M_R,Water,122,427,45,76,15,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MBD_M_R,Cropland,0,0,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22MBD_M_R,Wetland,749,0,214,331,0,504,575,0,0,0,0,28
AMAZON_EXTENSION_2024_DynamicWorld_2024_22MBD_M_R,Forest,0,4,26,82,0,37,48,0,0,0,0,5
AMAZON_EXTENSION_2024_DynamicWorld_2024_22MBD_M_R,Water,340,131,99,73,0,0,187,0,0,0,0,11
AMAZON_EXTENSION_2024_DynamicWorld_2024_22MBD_M_R,Bareland,19,1,0,12,0,1,1,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22MBD_M_R,Built-up,29,0,7,11,0,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22MBD_M_R,Grassland,260,56,70,128,0,54,0,0,0,0,0,2
AMAZON_EXTENSION_2024_DynamicWorld_2024_22MBD_M_R,Cropland,0,0,2,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22MBD_M_R,Shrubland,4,0,0,0,0,0,0,0,0,0,0,0
