Dataset,MajorityClass,Grassland,Forest,Cropland,Built-up,Wetland,Bareland,Water,Shrubland,Non_Wetland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KBF_M_R,Water,147,97,0,30,282,42,0,235,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KBF_M_R,Forest,559,0,0,93,598,272,459,862,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KBF_M_R,Non_Water,0,0,0,0,0,0,3,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KBF_M_R,Wetland,0,0,0,0,0,0,9,0,447,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KBF_M_R,Grassland,0,0,0,0,5,0,13,0,235,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KBF_M_R,Water,0,0,0,0,151,0,0,0,524,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KBF_M_R,Forest,0,0,0,0,80,0,83,0,1367,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KBF_M_R,Shrubland,0,0,0,0,0,0,0,0,191,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KBF_M_R,Bareland,0,0,0,0,1,0,9,0,27,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KBF_M_R,Cropland,0,0,0,0,6,0,12,0,255,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KBF_M_R,Built-up,0,0,0,0,0,0,8,0,73,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KBF_M_R,Grassland,0,59,58,14,87,139,27,155,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KBF_M_R,Non_Wetland,5,0,0,0,19,8,0,6,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KBF_M_R,Wetland,20,6,0,0,0,125,62,36,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KBF_M_R,Forest,525,0,122,36,797,738,265,646,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KBF_M_R,Bareland,93,1,7,11,3,0,7,18,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KBF_M_R,Water,85,78,1,28,375,398,0,190,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KBF_M_R,Non_Water,0,0,0,0,0,2,0,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KBF_M_R,Shrubland,83,20,19,10,66,93,11,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KBF_M_R,Cropland,492,118,0,90,134,378,21,280,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KBF_M_R,Built-up,180,24,5,0,47,180,6,104,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KBF_M_R,Grassland,0,0,0,0,0,0,36,0,0,14,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KBF_M_R,Water,0,0,0,0,0,0,0,0,0,319,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KBF_M_R,Wetland,0,0,0,0,0,0,54,0,0,62,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KBF_M_R,Shrubland,0,0,0,0,0,0,33,0,0,19,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KBF_M_R,Bareland,0,0,0,0,0,0,8,0,0,4,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KBF_M_R,Cropland,0,0,0,0,0,0,16,0,0,11,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KBF_M_R,Built-up,0,0,0,0,0,0,1,0,0,5,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KBF_M_R,Forest,0,0,0,0,0,0,195,0,0,169,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KBF_M_R,Grassland,0,207,405,131,5,9,13,423,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KBF_M_R,Wetland,0,108,20,5,0,13,9,169,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KBF_M_R,Forest,13,0,792,301,80,44,83,888,0,0,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KBF_M_R,Bareland,0,29,197,130,1,0,9,147,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KBF_M_R,Cropland,0,197,0,193,6,4,12,383,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KBF_M_R,Water,10,327,202,43,151,49,0,386,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KBF_M_R,Built-up,0,38,183,0,0,2,8,127,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KBF_M_R,Shrubland,0,18,28,15,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KBF_M_R,Grassland,0,179,407,112,5,4,32,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KBF_M_R,Forest,0,0,597,317,124,0,334,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KBF_M_R,Shrubland,0,79,142,64,6,0,37,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KBF_M_R,Wetland,0,51,33,3,0,0,39,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KBF_M_R,Bareland,0,22,170,88,1,0,5,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KBF_M_R,Built-up,0,5,69,0,0,7,1,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KBF_M_R,Water,0,96,76,12,130,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KBF_M_R,Cropland,0,154,0,113,0,6,2,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22KBF_M_R,Forest,104,0,177,0,4,65,42,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22KBF_M_R,Shrubland,65,195,79,0,6,31,33,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22KBF_M_R,Wetland,28,245,4,0,0,4,52,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22KBF_M_R,Cropland,135,242,0,0,1,123,15,0,0,0,0,4
AMAZON_EXTENSION_2024_DynamicWorld_2024_22KBF_M_R,Bareland,5,64,28,0,2,0,7,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22KBF_M_R,Built-up,9,133,96,0,0,60,23,0,0,0,0,5
AMAZON_EXTENSION_2024_DynamicWorld_2024_22KBF_M_R,Water,11,540,22,0,45,8,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22KBF_M_R,Grassland,0,149,85,0,5,71,27,0,0,0,0,2
