Dataset,MajorityClass,Forest,Built-up,Wetland,Grassland,Bareland,Water,Shrubland,Non_Wetland,Non_Water,Cropland,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MPT_M_R,Bareland,0,0,37,13,0,43,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MPT_M_R,Built-up,0,0,18,19,2,8,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MPT_M_R,Permanent_ice_and_snow,0,0,6,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MPT_M_R,Grassland,0,0,6,0,0,0,0,163,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MPT_M_R,Wetland,0,0,0,0,0,7,0,314,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MPT_M_R,Forest,0,0,144,0,0,48,0,820,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MPT_M_R,Water,0,0,217,0,0,0,0,404,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MPT_M_R,Shrubland,0,0,0,0,0,0,0,11,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MPT_M_R,Cropland,0,0,0,0,0,0,0,11,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MPT_M_R,Bareland,0,0,10,0,0,1,0,61,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MPT_M_R,Built-up,0,0,0,0,0,0,0,31,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MPT_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,7,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MPT_M_R,Grassland,0,0,0,0,0,30,0,0,2,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MPT_M_R,Wetland,0,0,0,0,0,156,0,0,58,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MPT_M_R,Water,0,0,0,0,0,0,0,0,144,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MPT_M_R,Built-up,0,0,0,0,0,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MPT_M_R,Bareland,0,0,0,0,0,11,0,0,4,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MPT_M_R,Forest,0,0,0,0,0,212,0,0,91,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MPT_M_R,Grassland,33,20,6,0,17,0,44,0,0,30,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MPT_M_R,Wetland,36,30,0,52,48,7,65,0,0,18,4,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MPT_M_R,Forest,0,93,144,165,165,48,178,0,0,71,5,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MPT_M_R,Water,134,69,217,139,140,0,97,0,0,22,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MPT_M_R,Bareland,1,11,10,10,0,1,12,0,0,12,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MPT_M_R,Built-up,0,0,0,0,0,0,5,0,0,4,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MPT_M_R,Cropland,0,1,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MPT_M_R,Permanent_ice_and_snow,0,1,0,0,0,0,3,0,0,2,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MPT_M_R,Wetland,64,25,0,0,21,110,0,0,0,4,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MPT_M_R,Grassland,32,53,17,0,2,29,0,0,0,3,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MPT_M_R,Water,43,5,129,0,27,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MPT_M_R,Forest,0,77,92,0,5,304,0,0,0,1,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MPT_M_R,Bareland,2,0,0,0,0,9,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20MPT_M_R,Wetland,301,0,0,10,42,84,0,0,0,6,0,16
AMAZON_EXTENSION_2024_DynamicWorld_2024_20MPT_M_R,Forest,0,0,1,6,5,8,0,0,0,10,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_20MPT_M_R,Grassland,104,0,1,0,3,6,0,0,0,5,0,5
AMAZON_EXTENSION_2024_DynamicWorld_2024_20MPT_M_R,Water,457,0,4,0,110,0,0,0,0,1,0,6
AMAZON_EXTENSION_2024_DynamicWorld_2024_20MPT_M_R,Cropland,0,0,0,0,2,0,0,0,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_20MPT_M_R,Built-up,4,0,0,0,1,0,0,0,0,0,0,2
AMAZON_EXTENSION_2024_DynamicWorld_2024_20MPT_M_R,Shrubland,2,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20MPT_M_R,Bareland,2,0,0,0,0,0,0,0,0,0,0,0
